[rosmaster.main][INFO] 2017-11-04 12:34:17,923: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 12:34:17,923: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 12:34:17,923: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 12:34:17,924: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 12:34:17,924: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 12:34:17,924: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 12:34:17,949: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:34:17,950: +PARAM [/roslaunch/uris/host_mdas_meerkat__46883] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:34:18,007: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:34:18,008: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:34:18,008: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:34:18,008: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:34:18,008: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:34:18,008: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:34:18,013: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:39599/
[rosmaster.master][INFO] 2017-11-04 12:34:18,015: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:39599/
[rosmaster.master][INFO] 2017-11-04 12:34:18,016: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:39599/
[rosmaster.master][INFO] 2017-11-04 12:34:18,019: +SUB [/rosout] /rosout http://mdas-Meerkat:39599/
[rosmaster.master][INFO] 2017-11-04 12:34:18,019: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:39727/
[rosmaster.master][INFO] 2017-11-04 12:34:18,020: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:39727/
[rosmaster.master][INFO] 2017-11-04 12:34:18,020: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:39727/
[rosmaster.master][INFO] 2017-11-04 12:34:18,023: publisherUpdate[/rosout] -> http://mdas-Meerkat:39599/
[rosmaster.master][INFO] 2017-11-04 12:34:18,025: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:39727/
[rosmaster.master][INFO] 2017-11-04 12:34:18,026: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:39727/
[rosmaster.master][INFO] 2017-11-04 12:34:18,030: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:39727/
[rosmaster.master][INFO] 2017-11-04 12:34:18,031: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:39727/
[rosmaster.master][INFO] 2017-11-04 12:34:18,127: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:39727/
[rosmaster.master][INFO] 2017-11-04 12:34:18,130: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:37889
