[rosmaster.main][INFO] 2017-11-10 11:05:46,035: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-10 11:05:46,035: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-10 11:05:46,035: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-10 11:05:46,036: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-10 11:05:46,036: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-10 11:05:46,036: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-10 11:05:46,068: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,069: +PARAM [/roslaunch/uris/host_mdas_meerkat__41679] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,147: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,148: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,148: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,148: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,148: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,148: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,148: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,148: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,148: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,148: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,148: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,148: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,148: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,148: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,148: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,148: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,148: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,148: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,148: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,149: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:05:46,149: +PARAM [/base_laser1/port] by /roslaunch
