[rosmaster.main][INFO] 2017-11-03 15:20:22,259: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-03 15:20:22,259: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-03 15:20:22,260: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-03 15:20:22,260: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-03 15:20:22,260: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-03 15:20:22,260: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-03 15:20:22,286: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,286: +PARAM [/roslaunch/uris/host_mdas_meerkat__37527] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,346: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,346: +PARAM [/imu_node/magn_x_max] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,346: +PARAM [/imu_node/magn_ellipsoid_center] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,346: +PARAM [/imu_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,347: +PARAM [/imu_node/accel_y_max] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,347: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,347: +PARAM [/imu_node/magn_y_max] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,347: +PARAM [/imu_node/magn_z_max] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,347: +PARAM [/imu_node/accel_y_min] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,347: +PARAM [/imu_node/accel_z_max] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,347: +PARAM [/imu_node/gyro_average_offset_z] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,347: +PARAM [/imu_node/gyro_average_offset_y] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,347: +PARAM [/imu_node/gyro_average_offset_x] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,347: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,347: +PARAM [/imu_node/magn_x_min] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,347: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,348: +PARAM [/imu_node/imu_yaw_calibration] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,348: +PARAM [/imu_node/accel_z_min] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,348: +PARAM [/imu_node/magn_z_min] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,348: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,348: +PARAM [/imu_node/calibration_magn_use_extended] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,348: +PARAM [/imu_node/accel_x_min] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,348: +PARAM [/imu_node/magn_ellipsoid_transform] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,348: +PARAM [/imu_node/accel_x_max] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,349: +PARAM [/imu_node/magn_y_min] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,349: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:20:22,349: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:42255/
[rosmaster.master][INFO] 2017-11-03 15:20:22,350: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:42255/
[rosmaster.master][INFO] 2017-11-03 15:20:22,351: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:42255/
[rosmaster.master][INFO] 2017-11-03 15:20:22,357: +SUB [/rosout] /rosout http://mdas-Meerkat:42255/
[rosmaster.master][INFO] 2017-11-03 15:20:22,362: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:38557/
[rosmaster.master][INFO] 2017-11-03 15:20:22,362: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:38557/
[rosmaster.master][INFO] 2017-11-03 15:20:22,363: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:38557/
[rosmaster.master][INFO] 2017-11-03 15:20:22,366: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:38557/
[rosmaster.master][INFO] 2017-11-03 15:20:22,368: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:38557/
[rosmaster.master][INFO] 2017-11-03 15:20:22,376: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:38557/
[rosmaster.master][INFO] 2017-11-03 15:20:22,376: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:38557/
[rosmaster.master][INFO] 2017-11-03 15:20:22,460: publisherUpdate[/rosout] -> http://mdas-Meerkat:42255/
[rosmaster.master][INFO] 2017-11-03 15:20:22,562: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:38557/
