[rosmaster.main][INFO] 2017-11-03 16:10:35,975: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-03 16:10:35,975: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-03 16:10:35,975: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-03 16:10:35,976: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-03 16:10:35,976: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-03 16:10:35,976: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-03 16:10:36,005: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:10:36,007: +PARAM [/roslaunch/uris/host_mdas_meerkat__37803] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:10:36,089: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:10:36,089: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:10:36,089: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:10:36,090: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:10:36,090: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:10:36,090: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:10:36,090: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:10:36,090: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:10:36,090: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:10:36,090: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:10:36,090: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:10:36,090: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:10:36,090: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:10:36,090: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:10:36,090: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:10:36,091: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:10:36,092: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:32953/
[rosmaster.master][INFO] 2017-11-03 16:10:36,093: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:32953/
[rosmaster.master][INFO] 2017-11-03 16:10:36,094: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:32953/
