[rosmaster.main][INFO] 2017-11-04 10:40:14,207: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 10:40:14,207: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 10:40:14,208: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 10:40:14,208: Started XML-RPC server [http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 10:40:14,208: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 10:40:14,208: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 10:40:14,235: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:40:14,236: +PARAM [/roslaunch/uris/host_mdas_meerkat__41615] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:40:14,293: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:40:14,293: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:40:14,293: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:40:14,293: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:40:14,293: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:40:14,293: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:40:14,293: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:40:14,293: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:40:14,293: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:40:14,293: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:40:14,293: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:40:14,293: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:40:14,293: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:40:14,293: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:40:14,294: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:40:14,294: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:40:14,296: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:14,297: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:14,300: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:14,305: +SUB [/rosout] /rosout http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:14,306: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:40631/
[rosmaster.master][INFO] 2017-11-04 10:40:14,306: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:40631/
[rosmaster.master][INFO] 2017-11-04 10:40:14,307: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:40631/
[rosmaster.master][INFO] 2017-11-04 10:40:14,308: publisherUpdate[/rosout] -> http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:14,310: +PUB [/rosout] /novatel_node http://mdas-Meerkat:43435/
[rosmaster.master][INFO] 2017-11-04 10:40:14,311: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:43435/
[rosmaster.master][INFO] 2017-11-04 10:40:14,312: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:43435/
[rosmaster.master][INFO] 2017-11-04 10:40:14,314: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:40631/
[rosmaster.master][INFO] 2017-11-04 10:40:14,316: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:40631/
[rosmaster.master][INFO] 2017-11-04 10:40:14,325: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:40631/
[rosmaster.master][INFO] 2017-11-04 10:40:14,325: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:40631/
[rosmaster.master][INFO] 2017-11-04 10:40:14,328: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:43435/
[rosmaster.master][INFO] 2017-11-04 10:40:14,328: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:43435/
[rosmaster.master][INFO] 2017-11-04 10:40:14,328: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:43435/
[rosmaster.master][INFO] 2017-11-04 10:40:14,329: +PUB [/range] /novatel_node http://mdas-Meerkat:43435/
[rosmaster.master][INFO] 2017-11-04 10:40:14,329: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:43435/
[rosmaster.master][INFO] 2017-11-04 10:40:14,330: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:43435/
[rosmaster.master][INFO] 2017-11-04 10:40:14,408: publisherUpdate[/rosout] -> http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:14,411: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:40631/
[rosmaster.master][INFO] 2017-11-04 10:40:14,413: publisherUpdate[/rosout] -> http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:14,417: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:58941
[rosmaster.master][INFO] 2017-11-04 10:40:14,420: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:58941
[rosmaster.master][INFO] 2017-11-04 10:40:14,656: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:38291/
[rosmaster.master][INFO] 2017-11-04 10:40:14,659: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:38291/
[rosmaster.master][INFO] 2017-11-04 10:40:14,660: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:38291/
[rosmaster.master][INFO] 2017-11-04 10:40:14,673: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:38291/
[rosmaster.master][INFO] 2017-11-04 10:40:14,677: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:38291/
[rosmaster.master][INFO] 2017-11-04 10:40:14,692: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:38291/
[rosmaster.master][INFO] 2017-11-04 10:40:14,694: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:38291/
[rosmaster.master][INFO] 2017-11-04 10:40:14,710: publisherUpdate[/rosout] -> http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:14,813: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:38291/
[rosmaster.master][INFO] 2017-11-04 10:40:14,816: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:40017
[rosmaster.master][INFO] 2017-11-04 10:40:14,817: publisherUpdate[/rosout] -> http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:14,820: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:40017
[rosmaster.master][INFO] 2017-11-04 10:40:14,966: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:42581/
[rosmaster.master][INFO] 2017-11-04 10:40:14,969: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:42581/
[rosmaster.master][INFO] 2017-11-04 10:40:14,971: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:42581/
[rosmaster.master][INFO] 2017-11-04 10:40:14,985: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:42581/
[rosmaster.master][INFO] 2017-11-04 10:40:14,989: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:42581/
[rosmaster.master][INFO] 2017-11-04 10:40:15,005: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:42581/
[rosmaster.master][INFO] 2017-11-04 10:40:15,007: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:42581/
[rosmaster.master][INFO] 2017-11-04 10:40:15,011: publisherUpdate[/rosout] -> http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:15,115: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:42581/
[rosmaster.master][INFO] 2017-11-04 10:40:15,118: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:45679
[rosmaster.master][INFO] 2017-11-04 10:40:15,121: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:45679
[rosmaster.master][INFO] 2017-11-04 10:40:15,122: publisherUpdate[/rosout] -> http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:15,282: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:46285/
[rosmaster.master][INFO] 2017-11-04 10:40:15,284: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:46285/
[rosmaster.master][INFO] 2017-11-04 10:40:15,286: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:46285/
[rosmaster.master][INFO] 2017-11-04 10:40:15,305: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:46285/
[rosmaster.master][INFO] 2017-11-04 10:40:15,310: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:46285/
[rosmaster.master][INFO] 2017-11-04 10:40:15,314: publisherUpdate[/rosout] -> http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:15,331: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:46285/
[rosmaster.master][INFO] 2017-11-04 10:40:15,333: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:46285/
[rosmaster.master][INFO] 2017-11-04 10:40:15,418: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:46285/
[rosmaster.master][INFO] 2017-11-04 10:40:15,421: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:44627
[rosmaster.master][INFO] 2017-11-04 10:40:15,424: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:44627
[rosmaster.master][INFO] 2017-11-04 10:40:15,425: publisherUpdate[/rosout] -> http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:15,591: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:36933/
[rosmaster.master][INFO] 2017-11-04 10:40:15,593: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:36933/
[rosmaster.master][INFO] 2017-11-04 10:40:15,595: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:36933/
[rosmaster.master][INFO] 2017-11-04 10:40:15,608: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:36933/
[rosmaster.master][INFO] 2017-11-04 10:40:15,612: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:36933/
[rosmaster.master][INFO] 2017-11-04 10:40:15,617: publisherUpdate[/rosout] -> http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:15,629: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:36933/
[rosmaster.master][INFO] 2017-11-04 10:40:15,630: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:36933/
[rosmaster.master][INFO] 2017-11-04 10:40:15,721: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:36933/
[rosmaster.master][INFO] 2017-11-04 10:40:15,724: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:40173
[rosmaster.master][INFO] 2017-11-04 10:40:15,726: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:40173
[rosmaster.master][INFO] 2017-11-04 10:40:15,728: publisherUpdate[/rosout] -> http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:15,904: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:33131/
[rosmaster.master][INFO] 2017-11-04 10:40:15,905: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:33131/
[rosmaster.master][INFO] 2017-11-04 10:40:15,907: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:33131/
[rosmaster.master][INFO] 2017-11-04 10:40:15,919: publisherUpdate[/rosout] -> http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:15,920: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:33131/
[rosmaster.master][INFO] 2017-11-04 10:40:15,924: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:33131/
[rosmaster.master][INFO] 2017-11-04 10:40:15,940: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:33131/
[rosmaster.master][INFO] 2017-11-04 10:40:15,941: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:33131/
[rosmaster.master][INFO] 2017-11-04 10:40:16,023: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:33131/
[rosmaster.master][INFO] 2017-11-04 10:40:16,026: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:60749
[rosmaster.master][INFO] 2017-11-04 10:40:16,029: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:60749
[rosmaster.master][INFO] 2017-11-04 10:40:16,031: publisherUpdate[/rosout] -> http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:16,217: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:38533/
[rosmaster.master][INFO] 2017-11-04 10:40:16,219: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:38533/
[rosmaster.master][INFO] 2017-11-04 10:40:16,222: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:38533/
[rosmaster.master][INFO] 2017-11-04 10:40:16,223: publisherUpdate[/rosout] -> http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:16,235: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:38533/
[rosmaster.master][INFO] 2017-11-04 10:40:16,239: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:38533/
[rosmaster.master][INFO] 2017-11-04 10:40:16,254: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:38533/
[rosmaster.master][INFO] 2017-11-04 10:40:16,255: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:38533/
[rosmaster.master][INFO] 2017-11-04 10:40:16,429: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:38533/
[rosmaster.master][INFO] 2017-11-04 10:40:16,432: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:41089
[rosmaster.master][INFO] 2017-11-04 10:40:16,434: publisherUpdate[/rosout] -> http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:16,435: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:41089
[rosmaster.master][INFO] 2017-11-04 10:40:16,629: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:41825/
[rosmaster.master][INFO] 2017-11-04 10:40:16,631: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:41825/
[rosmaster.master][INFO] 2017-11-04 10:40:16,632: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:41825/
[rosmaster.master][INFO] 2017-11-04 10:40:16,639: publisherUpdate[/rosout] -> http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:16,646: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:41825/
[rosmaster.master][INFO] 2017-11-04 10:40:16,649: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:41825/
[rosmaster.master][INFO] 2017-11-04 10:40:16,665: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:41825/
[rosmaster.master][INFO] 2017-11-04 10:40:16,667: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:41825/
[rosmaster.master][INFO] 2017-11-04 10:40:16,743: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:41825/
[rosmaster.master][INFO] 2017-11-04 10:40:16,746: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:43263
[rosmaster.master][INFO] 2017-11-04 10:40:16,749: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:43263
[rosmaster.master][INFO] 2017-11-04 10:40:16,825: publisherUpdate[/rosout] -> http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:16,938: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:35425/
[rosmaster.master][INFO] 2017-11-04 10:40:16,940: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:35425/
[rosmaster.master][INFO] 2017-11-04 10:40:16,941: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:35425/
[rosmaster.master][INFO] 2017-11-04 10:40:16,943: publisherUpdate[/rosout] -> http://mdas-Meerkat:40207/
[rosmaster.master][INFO] 2017-11-04 10:40:16,951: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:35425/
