[rosmaster.main][INFO] 2017-11-29 12:16:48,315: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-29 12:16:48,315: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-29 12:16:48,315: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-29 12:16:48,316: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-29 12:16:48,316: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-29 12:16:48,316: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-29 12:16:48,342: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,343: +PARAM [/roslaunch/uris/host_mdas_meerkat__42171] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,401: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,401: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,401: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,401: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,401: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,401: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,402: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,402: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,402: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,402: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,402: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,402: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,402: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,402: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,402: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,402: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,402: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,402: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,402: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,402: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,402: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,402: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,402: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:16:48,404: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:36841/
[rosmaster.master][INFO] 2017-11-29 12:16:48,405: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:36841/
[rosmaster.master][INFO] 2017-11-29 12:16:48,406: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:36841/
[rosmaster.master][INFO] 2017-11-29 12:16:48,409: +SUB [/rosout] /rosout http://mdas-Meerkat:36841/
[rosmaster.master][INFO] 2017-11-29 12:16:48,414: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:36201/
[rosmaster.master][INFO] 2017-11-29 12:16:48,414: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:36201/
[rosmaster.master][INFO] 2017-11-29 12:16:48,415: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:36201/
[rosmaster.master][INFO] 2017-11-29 12:16:48,415: publisherUpdate[/rosout] -> http://mdas-Meerkat:36841/
[rosmaster.master][INFO] 2017-11-29 12:16:48,424: +PUB [/rosout] /novatel_node http://mdas-Meerkat:37539/
[rosmaster.master][INFO] 2017-11-29 12:16:48,425: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:37539/
[rosmaster.master][INFO] 2017-11-29 12:16:48,425: +PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:45349/
[rosmaster.master][INFO] 2017-11-29 12:16:48,426: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:37539/
[rosmaster.master][INFO] 2017-11-29 12:16:48,427: +SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 http://mdas-Meerkat:45349/
[rosmaster.master][INFO] 2017-11-29 12:16:48,428: +SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 http://mdas-Meerkat:45349/
[rosmaster.master][INFO] 2017-11-29 12:16:48,432: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:36201/
[rosmaster.master][INFO] 2017-11-29 12:16:48,435: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:36201/
[rosmaster.master][INFO] 2017-11-29 12:16:48,449: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:37539/
[rosmaster.master][INFO] 2017-11-29 12:16:48,449: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:37539/
[rosmaster.master][INFO] 2017-11-29 12:16:48,449: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:37539/
[rosmaster.master][INFO] 2017-11-29 12:16:48,450: +PUB [/range] /novatel_node http://mdas-Meerkat:37539/
[rosmaster.master][INFO] 2017-11-29 12:16:48,450: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:37539/
[rosmaster.master][INFO] 2017-11-29 12:16:48,451: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:37539/
[rosmaster.master][INFO] 2017-11-29 12:16:48,466: +PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:45349/
[rosmaster.master][INFO] 2017-11-29 12:16:48,466: +PUB [/usb_cam_1/camera_info] /usb_cam_1 http://mdas-Meerkat:45349/
[rosmaster.master][INFO] 2017-11-29 12:16:48,475: +SERVICE [/usb_cam_1/set_camera_info] /usb_cam_1 http://mdas-Meerkat:45349/
[rosmaster.master][INFO] 2017-11-29 12:16:48,476: +SERVICE [/usb_cam_1/start_capture] /usb_cam_1 http://mdas-Meerkat:45349/
[rosmaster.master][INFO] 2017-11-29 12:16:48,476: +SERVICE [/usb_cam_1/stop_capture] /usb_cam_1 http://mdas-Meerkat:45349/
[rosmaster.master][INFO] 2017-11-29 12:16:48,515: publisherUpdate[/rosout] -> http://mdas-Meerkat:36841/
[rosmaster.master][INFO] 2017-11-29 12:16:48,517: publisherUpdate[/rosout] -> http://mdas-Meerkat:36841/
[rosmaster.master][INFO] 2017-11-29 12:18:20,543: -PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:45349/
[rosmaster.master][INFO] 2017-11-29 12:18:20,544: -PUB [/rosout] /novatel_node http://mdas-Meerkat:37539/
[rosmaster.master][INFO] 2017-11-29 12:18:20,544: -PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:45349/
[rosmaster.master][INFO] 2017-11-29 12:18:20,545: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:36201/
[rosmaster.master][INFO] 2017-11-29 12:18:20,545: -PUB [/gps_odom] /novatel_node http://mdas-Meerkat:37539/
[rosmaster.master][INFO] 2017-11-29 12:18:20,546: -PUB [/usb_cam_1/camera_info] /usb_cam_1 http://mdas-Meerkat:45349/
[rosmaster.master][INFO] 2017-11-29 12:18:20,546: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:36201/
[rosmaster.master][INFO] 2017-11-29 12:18:20,546: -PUB [/gps_fix] /novatel_node http://mdas-Meerkat:37539/
[rosmaster.master][INFO] 2017-11-29 12:18:20,547: -SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 rosrpc://mdas-Meerkat:47839
[rosmaster.master][INFO] 2017-11-29 12:18:20,547: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:36201/
[rosmaster.master][INFO] 2017-11-29 12:18:20,548: -PUB [/ephemeris] /novatel_node http://mdas-Meerkat:37539/
[rosmaster.master][INFO] 2017-11-29 12:18:20,548: -SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 rosrpc://mdas-Meerkat:47839
[rosmaster.master][INFO] 2017-11-29 12:18:20,549: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:42535
[rosmaster.master][INFO] 2017-11-29 12:18:20,549: -PUB [/range] /novatel_node http://mdas-Meerkat:37539/
[rosmaster.master][INFO] 2017-11-29 12:18:20,549: -SERVICE [/usb_cam_1/set_camera_info] /usb_cam_1 rosrpc://mdas-Meerkat:47839
[rosmaster.master][INFO] 2017-11-29 12:18:20,550: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:42535
[rosmaster.master][INFO] 2017-11-29 12:18:20,551: -PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:37539/
[rosmaster.master][INFO] 2017-11-29 12:18:20,551: -SERVICE [/usb_cam_1/start_capture] /usb_cam_1 rosrpc://mdas-Meerkat:47839
[rosmaster.master][INFO] 2017-11-29 12:18:20,551: -PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:37539/
[rosmaster.master][INFO] 2017-11-29 12:18:20,551: -SERVICE [/usb_cam_1/stop_capture] /usb_cam_1 rosrpc://mdas-Meerkat:47839
[rosmaster.master][INFO] 2017-11-29 12:18:20,552: -SERVICE [/novatel_node/get_loggers] /novatel_node rosrpc://mdas-Meerkat:36789
[rosmaster.master][INFO] 2017-11-29 12:18:20,552: -SERVICE [/novatel_node/set_logger_level] /novatel_node rosrpc://mdas-Meerkat:36789
[rosmaster.master][INFO] 2017-11-29 12:18:20,553: publisherUpdate[/rosout] -> http://mdas-Meerkat:36841/
[rosmaster.master][INFO] 2017-11-29 12:18:20,553: publisherUpdate[/rosout] -> http://mdas-Meerkat:36841/
[rosmaster.master][INFO] 2017-11-29 12:18:20,554: publisherUpdate[/rosout] -> http://mdas-Meerkat:36841/
[rosmaster.master][INFO] 2017-11-29 12:18:21,757: -PUB [/rosout_agg] /rosout http://mdas-Meerkat:36841/
[rosmaster.master][INFO] 2017-11-29 12:18:21,757: -SUB [/rosout] /rosout http://mdas-Meerkat:36841/
[rosmaster.master][INFO] 2017-11-29 12:18:21,758: -SERVICE [/rosout/get_loggers] /rosout rosrpc://mdas-Meerkat:41343
[rosmaster.master][INFO] 2017-11-29 12:18:21,758: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://mdas-Meerkat:41343
[rosmaster.main][INFO] 2017-11-29 12:18:21,846: keyboard interrupt, will exit
[rosmaster.main][INFO] 2017-11-29 12:18:21,847: stopping master...
[rospy.core][INFO] 2017-11-29 12:18:21,847: signal_shutdown [atexit]
