[rosmaster.main][INFO] 2017-11-03 16:11:06,133: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-03 16:11:06,134: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-03 16:11:06,134: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-03 16:11:06,135: Started XML-RPC server [http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-03 16:11:06,135: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-03 16:11:06,135: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-03 16:11:06,160: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:11:06,161: +PARAM [/roslaunch/uris/host_mdas_meerkat__38275] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:11:06,220: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:11:06,220: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:11:06,220: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:11:06,220: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:11:06,220: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:11:06,221: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:11:06,221: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:11:06,221: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:11:06,221: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:11:06,221: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:11:06,222: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:11:06,222: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:11:06,222: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:11:06,222: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:11:06,222: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:11:06,222: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:11:06,224: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:41345/
[rosmaster.master][INFO] 2017-11-03 16:11:06,225: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:41345/
[rosmaster.master][INFO] 2017-11-03 16:11:06,226: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:41345/
[rosmaster.master][INFO] 2017-11-03 16:11:06,230: +SUB [/rosout] /rosout http://mdas-Meerkat:41345/
[rosmaster.master][INFO] 2017-11-03 16:11:06,233: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:43535/
[rosmaster.master][INFO] 2017-11-03 16:11:06,234: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:43535/
[rosmaster.master][INFO] 2017-11-03 16:11:06,234: publisherUpdate[/rosout] -> http://mdas-Meerkat:41345/
[rosmaster.master][INFO] 2017-11-03 16:11:06,235: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:43535/
[rosmaster.master][INFO] 2017-11-03 16:11:06,237: +PUB [/rosout] /novatel_node http://mdas-Meerkat:43905/
[rosmaster.master][INFO] 2017-11-03 16:11:06,238: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:43905/
[rosmaster.master][INFO] 2017-11-03 16:11:06,239: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:43905/
[rosmaster.master][INFO] 2017-11-03 16:11:06,242: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:43535/
[rosmaster.master][INFO] 2017-11-03 16:11:06,244: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:43535/
[rosmaster.master][INFO] 2017-11-03 16:11:06,255: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:43535/
[rosmaster.master][INFO] 2017-11-03 16:11:06,256: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:43535/
[rosmaster.master][INFO] 2017-11-03 16:11:06,257: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:43905/
[rosmaster.master][INFO] 2017-11-03 16:11:06,257: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:43905/
[rosmaster.master][INFO] 2017-11-03 16:11:06,258: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:43905/
[rosmaster.master][INFO] 2017-11-03 16:11:06,258: +PUB [/range] /novatel_node http://mdas-Meerkat:43905/
[rosmaster.master][INFO] 2017-11-03 16:11:06,258: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:43905/
[rosmaster.master][INFO] 2017-11-03 16:11:06,259: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:43905/
[rosmaster.master][INFO] 2017-11-03 16:11:06,335: publisherUpdate[/rosout] -> http://mdas-Meerkat:41345/
[rosmaster.master][INFO] 2017-11-03 16:11:06,439: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:43535/
[rosmaster.master][INFO] 2017-11-03 16:11:06,442: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:53271
[rosmaster.master][INFO] 2017-11-03 16:11:06,445: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:53271
[rosmaster.master][INFO] 2017-11-03 16:11:06,536: publisherUpdate[/rosout] -> http://mdas-Meerkat:41345/
[rosmaster.master][INFO] 2017-11-03 16:11:06,682: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:40695/
[rosmaster.master][INFO] 2017-11-03 16:11:06,683: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:40695/
[rosmaster.master][INFO] 2017-11-03 16:11:06,684: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:40695/
[rosmaster.master][INFO] 2017-11-03 16:11:06,691: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:40695/
[rosmaster.master][INFO] 2017-11-03 16:11:06,693: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:40695/
[rosmaster.master][INFO] 2017-11-03 16:11:06,699: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:40695/
[rosmaster.master][INFO] 2017-11-03 16:11:06,700: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:40695/
[rosmaster.master][INFO] 2017-11-03 16:11:06,738: publisherUpdate[/rosout] -> http://mdas-Meerkat:41345/
[rosmaster.master][INFO] 2017-11-03 16:11:06,841: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:40695/
[rosmaster.master][INFO] 2017-11-03 16:11:06,844: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:51229
[rosmaster.master][INFO] 2017-11-03 16:11:06,847: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:51229
[rosmaster.master][INFO] 2017-11-03 16:11:06,938: publisherUpdate[/rosout] -> http://mdas-Meerkat:41345/
[rosmaster.master][INFO] 2017-11-03 16:11:07,096: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:33227/
[rosmaster.master][INFO] 2017-11-03 16:11:07,097: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:33227/
[rosmaster.master][INFO] 2017-11-03 16:11:07,098: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:33227/
[rosmaster.master][INFO] 2017-11-03 16:11:07,106: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:33227/
[rosmaster.master][INFO] 2017-11-03 16:11:07,108: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:33227/
