[rosmaster.main][INFO] 2017-11-04 14:22:35,811: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 14:22:35,811: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 14:22:35,811: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 14:22:35,811: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 14:22:35,812: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 14:22:35,812: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 14:22:35,843: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,846: +PARAM [/roslaunch/uris/host_mdas_meerkat__42091] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,923: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,923: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,923: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,923: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,923: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,923: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,923: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,923: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,923: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,924: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,924: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,924: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,924: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,924: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,924: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,924: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,924: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,924: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,924: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,924: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,924: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,924: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,924: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:35,926: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:34923/
[rosmaster.master][INFO] 2017-11-04 14:22:35,926: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:34923/
[rosmaster.master][INFO] 2017-11-04 14:22:35,927: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:34923/
[rosmaster.master][INFO] 2017-11-04 14:22:35,937: +SUB [/rosout] /rosout http://mdas-Meerkat:34923/
[rosmaster.master][INFO] 2017-11-04 14:22:35,937: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:35593/
[rosmaster.master][INFO] 2017-11-04 14:22:35,938: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:35593/
[rosmaster.master][INFO] 2017-11-04 14:22:35,938: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:35593/
[rosmaster.master][INFO] 2017-11-04 14:22:35,945: +PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:38169/
[rosmaster.master][INFO] 2017-11-04 14:22:35,947: +SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 http://mdas-Meerkat:38169/
[rosmaster.master][INFO] 2017-11-04 14:22:35,948: +PUB [/rosout] /novatel_node http://mdas-Meerkat:41099/
[rosmaster.master][INFO] 2017-11-04 14:22:35,949: +SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 http://mdas-Meerkat:38169/
[rosmaster.master][INFO] 2017-11-04 14:22:35,950: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:41099/
[rosmaster.master][INFO] 2017-11-04 14:22:35,953: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:35593/
[rosmaster.master][INFO] 2017-11-04 14:22:35,953: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:41099/
[rosmaster.master][INFO] 2017-11-04 14:22:35,955: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:35593/
[rosmaster.master][INFO] 2017-11-04 14:22:35,976: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:41099/
[rosmaster.master][INFO] 2017-11-04 14:22:35,976: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:41099/
[rosmaster.master][INFO] 2017-11-04 14:22:35,977: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:41099/
[rosmaster.master][INFO] 2017-11-04 14:22:35,977: +PUB [/range] /novatel_node http://mdas-Meerkat:41099/
[rosmaster.master][INFO] 2017-11-04 14:22:35,978: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:41099/
[rosmaster.master][INFO] 2017-11-04 14:22:35,978: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:41099/
[rosmaster.master][INFO] 2017-11-04 14:22:35,990: +PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:38169/
[rosmaster.master][INFO] 2017-11-04 14:22:35,991: +PUB [/usb_cam_1/camera_info] /usb_cam_1 http://mdas-Meerkat:38169/
[rosmaster.master][INFO] 2017-11-04 14:22:36,000: +SERVICE [/usb_cam_1/set_camera_info] /usb_cam_1 http://mdas-Meerkat:38169/
[rosmaster.master][INFO] 2017-11-04 14:22:36,001: +SERVICE [/usb_cam_1/start_capture] /usb_cam_1 http://mdas-Meerkat:38169/
[rosmaster.master][INFO] 2017-11-04 14:22:36,001: +SERVICE [/usb_cam_1/stop_capture] /usb_cam_1 http://mdas-Meerkat:38169/
[rosmaster.master][INFO] 2017-11-04 14:22:36,011: publisherUpdate[/rosout] -> http://mdas-Meerkat:34923/
[rosmaster.master][INFO] 2017-11-04 14:22:36,013: publisherUpdate[/rosout] -> http://mdas-Meerkat:34923/
[rosmaster.master][INFO] 2017-11-04 14:22:36,013: publisherUpdate[/rosout] -> http://mdas-Meerkat:34923/
[rosmaster.master][INFO] 2017-11-04 14:22:46,069: +PARAM [/roslaunch/uris/host_mdas_meerkat__43107] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,078: +PARAM [/move_base/DWAPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,078: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,078: +PARAM [/move_base/DWAPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,078: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,078: +PARAM [/move_base/DWAPlannerROS/trans_stopped_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,079: +PARAM [/move_base/DWAPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,079: +PARAM [/move_base/DWAPlannerROS/min_rot_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,079: +PARAM [/move_base/DWAPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,079: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,079: +PARAM [/move_base/DWAPlannerROS/path_distance_bias] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,079: +PARAM [/move_base/local_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,080: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,080: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,080: +PARAM [/move_base/DWAPlannerROS/yaw_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,080: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,080: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,080: +PARAM [/move_base/DWAPlannerROS/publish_traj_pc] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,080: +PARAM [/move_base/DWAPlannerROS/stop_time_buffer] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,080: +PARAM [/move_base/DWAPlannerROS/min_vel_y] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,080: +PARAM [/move_base/DWAPlannerROS/min_trans_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,080: +PARAM [/move_base/DWAPlannerROS/vy_samples] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,080: +PARAM [/move_base/DWAPlannerROS/oscillation_reset_dist] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,080: +PARAM [/move_base/DWAPlannerROS/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,081: +PARAM [/move_base/global_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,081: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,081: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,081: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,081: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,081: +PARAM [/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,081: +PARAM [/move_base/DWAPlannerROS/vtheta_samples] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,081: +PARAM [/move_base/DWAPlannerROS/latch_xy_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,081: +PARAM [/move_base/DWAPlannerROS/occdist_scale] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,081: +PARAM [/slam_gmapping/map_update_interval] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,081: +PARAM [/slam_gmapping/xmax] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,081: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,082: +PARAM [/move_base/global_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,082: +PARAM [/move_base/planner_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,082: +PARAM [/move_base/DWAPlannerROS/scaling_speed] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,082: +PARAM [/move_base/local_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,082: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,082: +PARAM [/move_base/DWAPlannerROS/xy_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,082: +PARAM [/slam_gmapping/xmin] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,082: +PARAM [/move_base/DWAPlannerROS/forward_point_distance] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,082: +PARAM [/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,082: +PARAM [/slam_gmapping/delta] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,082: +PARAM [/move_base/global_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,082: +PARAM [/move_base/global_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,082: +PARAM [/move_base/DWAPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,082: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,082: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,082: +PARAM [/move_base/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,083: +PARAM [/move_base/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,083: +PARAM [/move_base/DWAPlannerROS/rot_stopped_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,084: +PARAM [/move_base/DWAPlannerROS/max_rot_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,084: +PARAM [/move_base/DWAPlannerROS/holonomic_robot] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,084: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,084: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,084: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,084: +PARAM [/move_base/local_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,084: +PARAM [/move_base/global_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,084: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,084: +PARAM [/move_base/DWAPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,084: +PARAM [/slam_gmapping/ymin] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,084: +PARAM [/move_base/global_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,084: +PARAM [/slam_gmapping/ymax] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,084: +PARAM [/move_base/DWAPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,084: +PARAM [/move_base/DWAPlannerROS/max_vel_y] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,084: +PARAM [/move_base/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,084: +PARAM [/move_base/global_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,084: +PARAM [/move_base/DWAPlannerROS/max_trans_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,084: +PARAM [/move_base/base_local_planner] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,085: +PARAM [/move_base/global_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,085: +PARAM [/move_base/local_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,085: +PARAM [/slam_gmapping/linearUpdate] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,085: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,085: +PARAM [/move_base/DWAPlannerROS/max_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,085: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,085: +PARAM [/move_base/global_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,085: +PARAM [/move_base/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,085: +PARAM [/move_base/controller_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,085: +PARAM [/move_base/DWAPlannerROS/goal_distance_bias] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,085: +PARAM [/move_base/global_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,085: +PARAM [/move_base/local_costmap/publish_voxel_map] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,085: +PARAM [/move_base/DWAPlannerROS/publish_cost_grid_pc] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:46,148: +PUB [/rosout] /base_laser1_broadcaster http://mdas-Meerkat:41549/
[rosmaster.master][INFO] 2017-11-04 14:22:46,156: +SERVICE [/base_laser1_broadcaster/get_loggers] /base_laser1_broadcaster http://mdas-Meerkat:41549/
[rosmaster.master][INFO] 2017-11-04 14:22:46,160: +SERVICE [/base_laser1_broadcaster/set_logger_level] /base_laser1_broadcaster http://mdas-Meerkat:41549/
[rosmaster.master][INFO] 2017-11-04 14:22:46,162: +PUB [/rosout] /robot_state_publisher http://mdas-Meerkat:32813/
[rosmaster.master][INFO] 2017-11-04 14:22:46,173: +PUB [/rosout] /pub_des_state_startup http://mdas-Meerkat:33585/
[rosmaster.master][INFO] 2017-11-04 14:22:46,174: +PUB [/rosout] /odom_tf http://mdas-Meerkat:38157/
[rosmaster.master][INFO] 2017-11-04 14:22:46,175: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://mdas-Meerkat:32813/
[rosmaster.master][INFO] 2017-11-04 14:22:46,176: +PARAM [/slam_gmapping/base_frame] by /slam_gmapping
[rosmaster.master][INFO] 2017-11-04 14:22:46,177: +SERVICE [/pub_des_state_startup/get_loggers] /pub_des_state_startup http://mdas-Meerkat:33585/
[rosmaster.master][INFO] 2017-11-04 14:22:46,178: +PUB [/tf] /base_laser1_broadcaster http://mdas-Meerkat:41549/
[rosmaster.master][INFO] 2017-11-04 14:22:46,179: +SERVICE [/odom_tf/get_loggers] /odom_tf http://mdas-Meerkat:38157/
[rosmaster.master][INFO] 2017-11-04 14:22:46,179: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://mdas-Meerkat:32813/
[rosmaster.master][INFO] 2017-11-04 14:22:46,180: +SERVICE [/pub_des_state_startup/set_logger_level] /pub_des_state_startup http://mdas-Meerkat:33585/
[rosmaster.master][INFO] 2017-11-04 14:22:46,181: +PUB [/rosout] /navigation_goals http://mdas-Meerkat:40287/
[rosmaster.master][INFO] 2017-11-04 14:22:46,181: +SERVICE [/odom_tf/set_logger_level] /odom_tf http://mdas-Meerkat:38157/
