[rosmaster.main][INFO] 2017-11-29 12:02:54,063: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-29 12:02:54,063: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-29 12:02:54,064: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-29 12:02:54,064: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-29 12:02:54,064: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-29 12:02:54,064: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-29 12:02:54,089: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:02:54,089: +PARAM [/roslaunch/uris/host_mdas_meerkat__46629] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:02:54,157: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:02:54,157: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:02:54,191: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:42445/
[rosmaster.master][INFO] 2017-11-29 12:02:54,194: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:42445/
[rosmaster.master][INFO] 2017-11-29 12:02:54,198: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:42445/
[rosmaster.master][INFO] 2017-11-29 12:02:54,209: +SUB [/rosout] /rosout http://mdas-Meerkat:42445/
[rosmaster.master][INFO] 2017-11-29 12:05:01,049: +PUB [/rosout] /play_1511975101048118939 http://mdas-Meerkat:43537/
[rosmaster.master][INFO] 2017-11-29 12:05:01,050: +SERVICE [/play_1511975101048118939/get_loggers] /play_1511975101048118939 http://mdas-Meerkat:43537/
[rosmaster.master][INFO] 2017-11-29 12:05:01,050: +SERVICE [/play_1511975101048118939/set_logger_level] /play_1511975101048118939 http://mdas-Meerkat:43537/
[rosmaster.master][INFO] 2017-11-29 12:05:01,051: +PUB [/clock] /play_1511975101048118939 http://mdas-Meerkat:43537/
[rosmaster.master][INFO] 2017-11-29 12:05:01,110: publisherUpdate[/rosout] -> http://mdas-Meerkat:42445/
[rosmaster.master][INFO] 2017-11-29 12:05:01,398: +PUB [/received_messages] /play_1511975101048118939 http://mdas-Meerkat:43537/
[rosmaster.master][INFO] 2017-11-29 12:05:01,398: +PUB [/usb_cam_1/camera_info] /play_1511975101048118939 http://mdas-Meerkat:43537/
[rosmaster.master][INFO] 2017-11-29 12:05:01,399: +PUB [/usb_cam_1/image_raw] /play_1511975101048118939 http://mdas-Meerkat:43537/
[rosmaster.master][INFO] 2017-11-29 12:05:01,399: +PUB [/sensor_msgs/LaserScan] /play_1511975101048118939 http://mdas-Meerkat:43537/
[rosmaster.master][INFO] 2017-11-29 12:05:01,400: +PUB [/diagnostics] /play_1511975101048118939 http://mdas-Meerkat:43537/
[rosmaster.master][INFO] 2017-11-29 12:05:01,400: +PUB [/gps_fix] /play_1511975101048118939 http://mdas-Meerkat:43537/
[rosmaster.master][INFO] 2017-11-29 12:05:01,401: +PUB [/gps_fix_psr] /play_1511975101048118939 http://mdas-Meerkat:43537/
[rosmaster.master][INFO] 2017-11-29 12:05:01,401: +PUB [/gps_odom] /play_1511975101048118939 http://mdas-Meerkat:43537/
