[rosmaster.main][INFO] 2017-11-04 13:18:22,694: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 13:18:22,695: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 13:18:22,695: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 13:18:22,695: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 13:18:22,695: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 13:18:22,696: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 13:18:22,721: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:18:22,722: +PARAM [/roslaunch/uris/host_mdas_meerkat__44985] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:18:22,789: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:18:22,789: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:18:22,789: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:18:22,789: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:18:22,789: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:18:22,790: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:18:22,809: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:40093/
[rosmaster.master][INFO] 2017-11-04 13:18:22,810: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:39071/
[rosmaster.master][INFO] 2017-11-04 13:18:22,810: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:40093/
[rosmaster.master][INFO] 2017-11-04 13:18:22,811: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:39071/
[rosmaster.master][INFO] 2017-11-04 13:18:22,812: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:40093/
[rosmaster.master][INFO] 2017-11-04 13:18:22,813: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:39071/
[rosmaster.master][INFO] 2017-11-04 13:18:22,818: +SUB [/rosout] /rosout http://mdas-Meerkat:39071/
[rosmaster.master][INFO] 2017-11-04 13:18:22,820: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:40093/
[rosmaster.master][INFO] 2017-11-04 13:18:22,821: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:40093/
[rosmaster.master][INFO] 2017-11-04 13:18:57,012: +PARAM [/roslaunch/uris/host_mdas_meerkat__42439] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:18:57,014: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:18:57,014: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:18:57,263: +PUB [/rosout] /rviz http://mdas-Meerkat:45977/
[rosmaster.master][INFO] 2017-11-04 13:18:57,264: +SERVICE [/rviz/get_loggers] /rviz http://mdas-Meerkat:45977/
[rosmaster.master][INFO] 2017-11-04 13:18:57,264: +SERVICE [/rviz/set_logger_level] /rviz http://mdas-Meerkat:45977/
[rosmaster.master][INFO] 2017-11-04 13:18:57,357: publisherUpdate[/rosout] -> http://mdas-Meerkat:39071/
[rosmaster.master][INFO] 2017-11-04 13:18:57,869: +SUB [/tf] /rviz http://mdas-Meerkat:45977/
[rosmaster.master][INFO] 2017-11-04 13:18:57,873: +SUB [/tf_static] /rviz http://mdas-Meerkat:45977/
[rosmaster.master][INFO] 2017-11-04 13:18:57,962: +PUB [/initialpose] /rviz http://mdas-Meerkat:45977/
[rosmaster.master][INFO] 2017-11-04 13:18:57,963: +PUB [/goal] /rviz http://mdas-Meerkat:45977/
[rosmaster.master][INFO] 2017-11-04 13:18:58,006: +SUB [/move_base/DWAPlannerROS/local_plan] /rviz http://mdas-Meerkat:45977/
[rosmaster.master][INFO] 2017-11-04 13:18:58,008: +SUB [/move_base/DWAPlannerROS/global_plan] /rviz http://mdas-Meerkat:45977/
[rosmaster.master][INFO] 2017-11-04 13:18:58,032: +SUB [/front_wobbler/point_cloud] /rviz http://mdas-Meerkat:45977/
[rosmaster.master][INFO] 2017-11-04 13:18:58,035: +SUB [/move_base/local_costmap/footprint] /rviz http://mdas-Meerkat:45977/
[rosmaster.master][INFO] 2017-11-04 13:18:58,037: +SUB [/move_base/current_goal] /rviz http://mdas-Meerkat:45977/
[rosmaster.master][INFO] 2017-11-04 13:18:58,062: +SUB [/rear_wobbler/point_cloud] /rviz http://mdas-Meerkat:45977/
[rosmaster.master][INFO] 2017-11-04 13:18:58,125: +SUB [/usb_cam_2/image_raw] /rviz http://mdas-Meerkat:45977/
[rosmaster.master][INFO] 2017-11-04 13:18:58,127: +SUB [/move_base/global_costmap/footprint] /rviz http://mdas-Meerkat:45977/
[rosmaster.master][INFO] 2017-11-04 13:18:58,150: +SUB [/kinect/depth/points] /rviz http://mdas-Meerkat:45977/
[rosmaster.master][INFO] 2017-11-04 13:18:58,153: +SUB [/map2] /rviz http://mdas-Meerkat:45977/
[rosmaster.master][INFO] 2017-11-04 13:18:58,155: +SUB [/map2_updates] /rviz http://mdas-Meerkat:45977/
