[rosmaster.main][INFO] 2017-11-09 15:25:45,078: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-09 15:25:45,078: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-09 15:25:45,079: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-09 15:25:45,079: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-09 15:25:45,079: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-09 15:25:45,079: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-09 15:25:45,104: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-09 15:25:45,105: +PARAM [/roslaunch/uris/host_mdas_meerkat__43187] by /roslaunch
[rosmaster.master][INFO] 2017-11-09 15:25:45,164: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-09 15:25:45,164: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-09 15:25:45,168: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:40309/
[rosmaster.master][INFO] 2017-11-09 15:25:45,168: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:40309/
[rosmaster.master][INFO] 2017-11-09 15:25:45,169: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:40309/
[rosmaster.master][INFO] 2017-11-09 15:25:45,171: +SUB [/rosout] /rosout http://mdas-Meerkat:40309/
[rosmaster.master][INFO] 2017-11-09 15:26:02,690: +PUB [/rosout] /play_1510259162689019168 http://mdas-Meerkat:43777/
[rosmaster.master][INFO] 2017-11-09 15:26:02,691: +SERVICE [/play_1510259162689019168/get_loggers] /play_1510259162689019168 http://mdas-Meerkat:43777/
[rosmaster.master][INFO] 2017-11-09 15:26:02,691: +SERVICE [/play_1510259162689019168/set_logger_level] /play_1510259162689019168 http://mdas-Meerkat:43777/
[rosmaster.master][INFO] 2017-11-09 15:26:02,692: +PUB [/clock] /play_1510259162689019168 http://mdas-Meerkat:43777/
[rosmaster.master][INFO] 2017-11-09 15:26:02,693: -PUB [/clock] /play_1510259162689019168 http://mdas-Meerkat:43777/
[rosmaster.master][INFO] 2017-11-09 15:26:02,743: publisherUpdate[/rosout] -> http://mdas-Meerkat:40309/
[rosmaster.master][INFO] 2017-11-09 15:26:02,848: -PUB [/rosout] /play_1510259162689019168 http://mdas-Meerkat:43777/
[rosmaster.master][INFO] 2017-11-09 15:26:02,851: -SERVICE [/play_1510259162689019168/get_loggers] /play_1510259162689019168 rosrpc://mdas-Meerkat:51949
[rosmaster.master][INFO] 2017-11-09 15:26:02,854: -SERVICE [/play_1510259162689019168/set_logger_level] /play_1510259162689019168 rosrpc://mdas-Meerkat:51949
[rosmaster.master][INFO] 2017-11-09 15:26:02,944: publisherUpdate[/rosout] -> http://mdas-Meerkat:40309/
[rosmaster.master][INFO] 2017-11-09 15:26:24,402: +PUB [/rosout] /play_1510259184400944855 http://mdas-Meerkat:35689/
[rosmaster.master][INFO] 2017-11-09 15:26:24,403: +SERVICE [/play_1510259184400944855/get_loggers] /play_1510259184400944855 http://mdas-Meerkat:35689/
[rosmaster.master][INFO] 2017-11-09 15:26:24,403: +SERVICE [/play_1510259184400944855/set_logger_level] /play_1510259184400944855 http://mdas-Meerkat:35689/
