[rosmaster.main][INFO] 2017-11-04 14:22:58,966: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 14:22:58,966: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 14:22:58,966: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 14:22:58,967: Started XML-RPC server [http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 14:22:58,967: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 14:22:58,967: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 14:22:58,991: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:58,992: +PARAM [/roslaunch/uris/host_mdas_meerkat__32927] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,053: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,053: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,053: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,053: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,053: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,053: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,053: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,054: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,054: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,054: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,054: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,054: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,054: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,054: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,054: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,054: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,054: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,054: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,054: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,054: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,054: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,054: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,054: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:22:59,056: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:36693/
[rosmaster.master][INFO] 2017-11-04 14:22:59,056: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:36693/
[rosmaster.master][INFO] 2017-11-04 14:22:59,057: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:36693/
[rosmaster.master][INFO] 2017-11-04 14:22:59,067: +SUB [/rosout] /rosout http://mdas-Meerkat:36693/
[rosmaster.master][INFO] 2017-11-04 14:22:59,071: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:40833/
[rosmaster.master][INFO] 2017-11-04 14:22:59,072: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:40833/
[rosmaster.master][INFO] 2017-11-04 14:22:59,073: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:40833/
[rosmaster.master][INFO] 2017-11-04 14:22:59,076: +PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:44839/
[rosmaster.master][INFO] 2017-11-04 14:22:59,077: +PUB [/rosout] /novatel_node http://mdas-Meerkat:45067/
[rosmaster.master][INFO] 2017-11-04 14:22:59,079: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:45067/
[rosmaster.master][INFO] 2017-11-04 14:22:59,080: +SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 http://mdas-Meerkat:44839/
[rosmaster.master][INFO] 2017-11-04 14:22:59,080: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:45067/
