[rosmaster.main][INFO] 2017-11-10 11:21:27,234: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-10 11:21:27,234: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-10 11:21:27,235: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-10 11:21:27,235: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-10 11:21:27,235: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-10 11:21:27,235: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-10 11:21:27,267: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,269: +PARAM [/roslaunch/uris/host_mdas_meerkat__38199] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,348: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,348: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,348: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,348: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,348: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,348: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,348: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,348: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,348: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,348: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,348: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,348: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,348: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,348: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,348: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,348: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,348: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,348: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,349: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,349: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,349: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,349: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,349: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:21:27,351: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:34387/
[rosmaster.master][INFO] 2017-11-10 11:21:27,351: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:34387/
[rosmaster.master][INFO] 2017-11-10 11:21:27,352: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:34387/
[rosmaster.master][INFO] 2017-11-10 11:21:27,362: +SUB [/rosout] /rosout http://mdas-Meerkat:34387/
[rosmaster.master][INFO] 2017-11-10 11:21:27,363: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:35457/
[rosmaster.master][INFO] 2017-11-10 11:21:27,364: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:35457/
