[rosmaster.main][INFO] 2018-07-06 12:11:18,914: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-07-06 12:11:18,914: Starting ROS Master Node
[xmlrpc][INFO] 2018-07-06 12:11:18,915: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-07-06 12:11:18,915: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2018-07-06 12:11:18,915: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-07-06 12:11:18,915: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2018-07-06 12:11:18,943: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:11:18,943: +PARAM [/roslaunch/uris/host_mdas_meerkat__40525] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:11:19,002: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:11:19,002: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:11:19,002: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:11:19,002: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:11:19,002: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:11:19,002: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:11:19,002: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:11:19,002: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:11:19,002: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:11:19,002: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:11:19,002: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:11:19,002: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:11:19,005: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:36267/
[rosmaster.master][INFO] 2018-07-06 12:11:19,006: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:36267/
[rosmaster.master][INFO] 2018-07-06 12:11:19,007: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:36267/
[rosmaster.master][INFO] 2018-07-06 12:11:19,009: +SUB [/rosout] /rosout http://mdas-Meerkat:36267/
