[rosmaster.main][INFO] 2017-11-04 13:47:33,850: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 13:47:33,850: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 13:47:33,851: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 13:47:33,851: Started XML-RPC server [http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 13:47:33,851: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 13:47:33,851: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 13:47:33,871: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,872: +PARAM [/roslaunch/uris/host_mdas_meerkat__42099] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,941: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,941: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,941: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,942: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,942: +PARAM [/usb_cam_2/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,942: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,942: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,942: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,942: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,942: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,942: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,942: +PARAM [/usb_cam_2/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,942: +PARAM [/usb_cam_2/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,943: +PARAM [/usb_cam_2/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,943: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,943: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,944: +PARAM [/usb_cam_2/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,944: +PARAM [/usb_cam_2/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,945: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,945: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:37379/
[rosmaster.master][INFO] 2017-11-04 13:47:33,945: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,946: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,946: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,946: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,946: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,946: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,946: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,946: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,946: +PARAM [/usb_cam_2/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,946: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,946: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:47:33,947: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:37379/
[rosmaster.master][INFO] 2017-11-04 13:47:33,948: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:37379/
[rosmaster.master][INFO] 2017-11-04 13:47:33,951: +SUB [/rosout] /rosout http://mdas-Meerkat:37379/
[rosmaster.master][INFO] 2017-11-04 13:47:33,963: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:33169/
[rosmaster.master][INFO] 2017-11-04 13:47:33,970: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:33169/
[rosmaster.master][INFO] 2017-11-04 13:47:33,971: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:33169/
[rosmaster.master][INFO] 2017-11-04 13:47:33,975: +PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:45495/
[rosmaster.master][INFO] 2017-11-04 13:47:33,976: +PUB [/rosout] /usb_cam_2 http://mdas-Meerkat:33315/
[rosmaster.master][INFO] 2017-11-04 13:47:33,977: +SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 http://mdas-Meerkat:45495/
[rosmaster.master][INFO] 2017-11-04 13:47:33,977: +PUB [/rosout] /novatel_node http://mdas-Meerkat:41323/
[rosmaster.master][INFO] 2017-11-04 13:47:33,978: +SERVICE [/usb_cam_2/get_loggers] /usb_cam_2 http://mdas-Meerkat:33315/
[rosmaster.master][INFO] 2017-11-04 13:47:33,979: +SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 http://mdas-Meerkat:45495/
[rosmaster.master][INFO] 2017-11-04 13:47:33,979: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:41323/
[rosmaster.master][INFO] 2017-11-04 13:47:33,979: +SERVICE [/usb_cam_2/set_logger_level] /usb_cam_2 http://mdas-Meerkat:33315/
[rosmaster.master][INFO] 2017-11-04 13:47:33,980: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:41323/
[rosmaster.master][INFO] 2017-11-04 13:47:33,994: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:33169/
[rosmaster.master][INFO] 2017-11-04 13:47:33,996: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:33169/
[rosmaster.master][INFO] 2017-11-04 13:47:33,997: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:41323/
