[rosmaster.main][INFO] 2017-11-09 15:33:26,675: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-09 15:33:26,675: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-09 15:33:26,675: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-09 15:33:26,675: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-09 15:33:26,676: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-09 15:33:26,676: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-09 15:33:26,700: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-09 15:33:26,701: +PARAM [/roslaunch/uris/host_mdas_meerkat__39395] by /roslaunch
[rosmaster.master][INFO] 2017-11-09 15:33:26,761: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-09 15:33:26,761: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-09 15:33:26,765: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:43787/
[rosmaster.master][INFO] 2017-11-09 15:33:26,765: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:43787/
[rosmaster.master][INFO] 2017-11-09 15:33:26,766: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:43787/
[rosmaster.master][INFO] 2017-11-09 15:33:26,768: +SUB [/rosout] /rosout http://mdas-Meerkat:43787/
[rosmaster.master][INFO] 2017-11-09 15:33:45,688: +PUB [/rosout] /play_1510259625686539533 http://mdas-Meerkat:38469/
[rosmaster.master][INFO] 2017-11-09 15:33:45,688: +SERVICE [/play_1510259625686539533/get_loggers] /play_1510259625686539533 http://mdas-Meerkat:38469/
[rosmaster.master][INFO] 2017-11-09 15:33:45,689: +SERVICE [/play_1510259625686539533/set_logger_level] /play_1510259625686539533 http://mdas-Meerkat:38469/
[rosmaster.master][INFO] 2017-11-09 15:33:45,690: +PUB [/clock] /play_1510259625686539533 http://mdas-Meerkat:38469/
[rosmaster.master][INFO] 2017-11-09 15:33:45,706: +PUB [/sensor_msgs/LaserScan] /play_1510259625686539533 http://mdas-Meerkat:38469/
[rosmaster.master][INFO] 2017-11-09 15:33:45,707: +PUB [/usb_cam_1/camera_info] /play_1510259625686539533 http://mdas-Meerkat:38469/
[rosmaster.master][INFO] 2017-11-09 15:33:45,707: +PUB [/usb_cam_1/image_raw] /play_1510259625686539533 http://mdas-Meerkat:38469/
[rosmaster.master][INFO] 2017-11-09 15:33:45,708: +PUB [/diagnostics] /play_1510259625686539533 http://mdas-Meerkat:38469/
[rosmaster.master][INFO] 2017-11-09 15:33:45,708: +PUB [/gps_fix] /play_1510259625686539533 http://mdas-Meerkat:38469/
[rosmaster.master][INFO] 2017-11-09 15:33:45,708: +PUB [/gps_fix_psr] /play_1510259625686539533 http://mdas-Meerkat:38469/
[rosmaster.master][INFO] 2017-11-09 15:33:45,709: +PUB [/gps_odom] /play_1510259625686539533 http://mdas-Meerkat:38469/
[rosmaster.master][INFO] 2017-11-09 15:33:45,743: publisherUpdate[/rosout] -> http://mdas-Meerkat:43787/
[rosmaster.master][INFO] 2017-11-09 15:34:01,557: +PUB [/rosout] /rviz_1510259641555067161 http://mdas-Meerkat:44659/
[rosmaster.master][INFO] 2017-11-09 15:34:01,557: +SERVICE [/rviz_1510259641555067161/get_loggers] /rviz_1510259641555067161 http://mdas-Meerkat:44659/
[rosmaster.master][INFO] 2017-11-09 15:34:01,557: +SERVICE [/rviz_1510259641555067161/set_logger_level] /rviz_1510259641555067161 http://mdas-Meerkat:44659/
[rosmaster.master][INFO] 2017-11-09 15:34:01,588: publisherUpdate[/rosout] -> http://mdas-Meerkat:43787/
[rosmaster.master][INFO] 2017-11-09 15:34:02,133: +SUB [/tf] /rviz_1510259641555067161 http://mdas-Meerkat:44659/
[rosmaster.master][INFO] 2017-11-09 15:34:02,139: +SUB [/tf_static] /rviz_1510259641555067161 http://mdas-Meerkat:44659/
[rosmaster.master][INFO] 2017-11-09 15:34:02,210: +PUB [/initialpose] /rviz_1510259641555067161 http://mdas-Meerkat:44659/
[rosmaster.master][INFO] 2017-11-09 15:34:02,211: +PUB [/goal] /rviz_1510259641555067161 http://mdas-Meerkat:44659/
[rosmaster.master][INFO] 2017-11-09 15:34:02,234: -PUB [/goal] /rviz_1510259641555067161 http://mdas-Meerkat:44659/
[rosmaster.master][INFO] 2017-11-09 15:34:02,235: -PUB [/initialpose] /rviz_1510259641555067161 http://mdas-Meerkat:44659/
[rosmaster.master][INFO] 2017-11-09 15:34:02,238: +PUB [/initialpose] /rviz_1510259641555067161 http://mdas-Meerkat:44659/
[rosmaster.master][INFO] 2017-11-09 15:34:02,238: +PUB [/goal] /rviz_1510259641555067161 http://mdas-Meerkat:44659/
[rosmaster.master][INFO] 2017-11-09 15:34:02,240: +PUB [/move_base_simple/goal] /rviz_1510259641555067161 http://mdas-Meerkat:44659/
