[rosmaster.main][INFO] 2017-11-29 12:25:05,594: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-29 12:25:05,594: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-29 12:25:05,595: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-29 12:25:05,595: Started XML-RPC server [http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-29 12:25:05,595: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-29 12:25:05,595: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-29 12:25:05,619: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:25:05,620: +PARAM [/roslaunch/uris/host_mdas_meerkat__34891] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:25:05,680: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:25:05,680: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-29 12:25:05,684: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:46423/
[rosmaster.master][INFO] 2017-11-29 12:25:05,684: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:46423/
[rosmaster.master][INFO] 2017-11-29 12:25:05,685: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:46423/
[rosmaster.master][INFO] 2017-11-29 12:25:05,687: +SUB [/rosout] /rosout http://mdas-Meerkat:46423/
[rosmaster.master][INFO] 2017-11-29 12:25:29,032: +PUB [/rosout] /play_1511976329030892721 http://mdas-Meerkat:40699/
[rosmaster.master][INFO] 2017-11-29 12:25:29,033: +SERVICE [/play_1511976329030892721/get_loggers] /play_1511976329030892721 http://mdas-Meerkat:40699/
[rosmaster.master][INFO] 2017-11-29 12:25:29,033: +SERVICE [/play_1511976329030892721/set_logger_level] /play_1511976329030892721 http://mdas-Meerkat:40699/
