[rosmaster.main][INFO] 2017-11-10 10:53:09,217: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-10 10:53:09,217: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-10 10:53:09,218: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-10 10:53:09,218: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-10 10:53:09,218: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-10 10:53:09,218: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-10 10:53:09,246: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,247: +PARAM [/roslaunch/uris/host_mdas_meerkat__34365] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,304: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,305: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,305: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,305: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,305: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,305: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,305: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,305: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,305: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,305: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,305: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,305: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,305: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,305: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,305: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,305: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,305: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,305: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,305: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,305: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,306: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,306: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,306: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:53:09,333: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:35215/
[rosmaster.master][INFO] 2017-11-10 10:53:09,333: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:37621/
[rosmaster.master][INFO] 2017-11-10 10:53:09,334: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:35215/
[rosmaster.master][INFO] 2017-11-10 10:53:09,334: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:37621/
[rosmaster.master][INFO] 2017-11-10 10:53:09,335: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:35215/
[rosmaster.master][INFO] 2017-11-10 10:53:09,336: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:37621/
[rosmaster.master][INFO] 2017-11-10 10:53:09,337: +PUB [/rosout] /novatel_node http://mdas-Meerkat:33699/
[rosmaster.master][INFO] 2017-11-10 10:53:09,338: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:33699/
[rosmaster.master][INFO] 2017-11-10 10:53:09,339: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:33699/
[rosmaster.master][INFO] 2017-11-10 10:53:09,342: +SUB [/rosout] /rosout http://mdas-Meerkat:37621/
[rosmaster.master][INFO] 2017-11-10 10:53:09,345: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:35215/
[rosmaster.master][INFO] 2017-11-10 10:53:09,347: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:35215/
[rosmaster.master][INFO] 2017-11-10 10:53:09,354: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:35215/
[rosmaster.master][INFO] 2017-11-10 10:53:09,355: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:35215/
[rosmaster.master][INFO] 2017-11-10 10:53:09,361: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:33699/
[rosmaster.master][INFO] 2017-11-10 10:53:09,362: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:33699/
[rosmaster.master][INFO] 2017-11-10 10:53:09,363: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:33699/
[rosmaster.master][INFO] 2017-11-10 10:53:09,363: +PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:40353/
[rosmaster.master][INFO] 2017-11-10 10:53:09,363: +PUB [/range] /novatel_node http://mdas-Meerkat:33699/
[rosmaster.master][INFO] 2017-11-10 10:53:09,364: +SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 http://mdas-Meerkat:40353/
[rosmaster.master][INFO] 2017-11-10 10:53:09,364: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:33699/
[rosmaster.master][INFO] 2017-11-10 10:53:09,365: +SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 http://mdas-Meerkat:40353/
