[rosmaster.main][INFO] 2017-11-04 14:23:27,604: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 14:23:27,605: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 14:23:27,605: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 14:23:27,605: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 14:23:27,605: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 14:23:27,605: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 14:23:27,625: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,626: +PARAM [/roslaunch/uris/host_mdas_meerkat__34857] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,706: +PARAM [/move_base/DWAPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,706: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,707: +PARAM [/move_base/DWAPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,707: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,707: +PARAM [/move_base/DWAPlannerROS/trans_stopped_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,707: +PARAM [/move_base/DWAPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,707: +PARAM [/move_base/DWAPlannerROS/min_rot_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,707: +PARAM [/move_base/DWAPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,707: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,707: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:46101/
[rosmaster.master][INFO] 2017-11-04 14:23:27,708: +PARAM [/move_base/DWAPlannerROS/path_distance_bias] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,708: +PARAM [/move_base/local_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,708: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,708: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:46101/
[rosmaster.master][INFO] 2017-11-04 14:23:27,708: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,708: +PARAM [/move_base/DWAPlannerROS/yaw_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,709: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,709: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,709: +PARAM [/move_base/DWAPlannerROS/publish_traj_pc] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,709: +PARAM [/move_base/DWAPlannerROS/stop_time_buffer] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,709: +PARAM [/move_base/DWAPlannerROS/min_vel_y] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,709: +PARAM [/move_base/DWAPlannerROS/min_trans_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,710: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:46101/
[rosmaster.master][INFO] 2017-11-04 14:23:27,710: +PARAM [/move_base/DWAPlannerROS/vy_samples] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,710: +PARAM [/move_base/DWAPlannerROS/oscillation_reset_dist] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,710: +PARAM [/move_base/DWAPlannerROS/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,710: +PARAM [/move_base/global_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,710: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,711: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,711: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,711: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,711: +PARAM [/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,711: +PARAM [/move_base/DWAPlannerROS/vtheta_samples] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,712: +PARAM [/move_base/DWAPlannerROS/latch_xy_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,712: +PARAM [/move_base/DWAPlannerROS/occdist_scale] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,712: +PARAM [/slam_gmapping/map_update_interval] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,712: +PARAM [/slam_gmapping/xmax] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,712: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,712: +PARAM [/move_base/global_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:23:27,712: +PARAM [/move_base/planner_frequency] by /roslaunch
