[rosmaster.main][INFO] 2017-11-03 16:12:24,814: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-03 16:12:24,814: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-03 16:12:24,815: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-03 16:12:24,815: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-03 16:12:24,815: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-03 16:12:24,815: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-03 16:12:24,840: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:12:24,841: +PARAM [/roslaunch/uris/host_mdas_meerkat__38637] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:12:24,900: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:12:24,900: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:12:24,900: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:12:24,900: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:12:24,900: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:12:24,900: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:12:24,900: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:12:24,900: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:12:24,900: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:12:24,900: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:12:24,901: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:12:24,901: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:12:24,901: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:12:24,901: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:12:24,901: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:12:24,901: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:12:24,903: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:43249/
[rosmaster.master][INFO] 2017-11-03 16:12:24,904: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:43249/
[rosmaster.master][INFO] 2017-11-03 16:12:24,907: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:43249/
[rosmaster.master][INFO] 2017-11-03 16:12:24,916: +SUB [/rosout] /rosout http://mdas-Meerkat:43249/
[rosmaster.master][INFO] 2017-11-03 16:12:24,917: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:41575/
[rosmaster.master][INFO] 2017-11-03 16:12:24,917: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:41575/
[rosmaster.master][INFO] 2017-11-03 16:12:24,918: +PUB [/rosout] /novatel_node http://mdas-Meerkat:34747/
[rosmaster.master][INFO] 2017-11-03 16:12:24,918: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:41575/
[rosmaster.master][INFO] 2017-11-03 16:12:24,919: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:34747/
[rosmaster.master][INFO] 2017-11-03 16:12:24,919: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:34747/
[rosmaster.master][INFO] 2017-11-03 16:12:24,927: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:41575/
[rosmaster.master][INFO] 2017-11-03 16:12:24,930: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:41575/
[rosmaster.master][INFO] 2017-11-03 16:12:24,938: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:34747/
[rosmaster.master][INFO] 2017-11-03 16:12:24,939: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:41575/
[rosmaster.master][INFO] 2017-11-03 16:12:24,939: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:34747/
[rosmaster.master][INFO] 2017-11-03 16:12:24,939: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:41575/
[rosmaster.master][INFO] 2017-11-03 16:12:24,940: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:34747/
[rosmaster.master][INFO] 2017-11-03 16:12:24,940: +PUB [/range] /novatel_node http://mdas-Meerkat:34747/
[rosmaster.master][INFO] 2017-11-03 16:12:24,941: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:34747/
[rosmaster.master][INFO] 2017-11-03 16:12:24,941: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:34747/
[rosmaster.master][INFO] 2017-11-03 16:12:25,015: publisherUpdate[/rosout] -> http://mdas-Meerkat:43249/
[rosmaster.master][INFO] 2017-11-03 16:12:25,020: publisherUpdate[/rosout] -> http://mdas-Meerkat:43249/
[rosmaster.master][INFO] 2017-11-03 16:12:25,122: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:41575/
[rosmaster.master][INFO] 2017-11-03 16:12:25,123: publisherUpdate[/rosout] -> http://mdas-Meerkat:43249/
