[rosmaster.main][INFO] 2017-11-03 15:58:12,497: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-03 15:58:12,497: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-03 15:58:12,498: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-03 15:58:12,498: Started XML-RPC server [http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-03 15:58:12,498: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-03 15:58:12,498: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-03 15:58:12,523: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:58:12,524: +PARAM [/roslaunch/uris/host_mdas_meerkat__38387] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:58:12,582: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:58:12,583: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:58:12,583: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:58:12,583: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:58:12,583: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:58:12,583: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:58:12,583: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:58:12,583: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:58:12,583: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:58:12,583: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:58:12,583: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:58:12,583: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:58:12,587: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:43899/
[rosmaster.master][INFO] 2017-11-03 15:58:12,587: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:43899/
[rosmaster.master][INFO] 2017-11-03 15:58:12,591: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:43899/
[rosmaster.master][INFO] 2017-11-03 15:58:12,594: +SUB [/rosout] /rosout http://mdas-Meerkat:43899/
[rosmaster.master][INFO] 2017-11-03 15:58:12,595: +PUB [/rosout] /novatel_node http://mdas-Meerkat:46345/
[rosmaster.master][INFO] 2017-11-03 15:58:12,596: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:46345/
[rosmaster.master][INFO] 2017-11-03 15:58:12,596: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:46345/
[rosmaster.master][INFO] 2017-11-03 15:58:12,598: publisherUpdate[/rosout] -> http://mdas-Meerkat:43899/
