[rosmaster.main][INFO] 2017-11-08 18:27:06,048: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-08 18:27:06,048: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-08 18:27:06,049: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-08 18:27:06,049: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-08 18:27:06,049: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-08 18:27:06,049: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-08 18:27:06,074: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 18:27:06,075: +PARAM [/roslaunch/uris/host_mdas_meerkat__45667] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 18:27:06,142: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 18:27:06,142: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 18:27:06,142: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 18:27:06,142: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 18:27:06,142: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 18:27:06,142: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 18:27:06,143: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 18:27:06,143: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 18:27:06,143: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 18:27:06,164: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:43307/
[rosmaster.master][INFO] 2017-11-08 18:27:06,166: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:43307/
[rosmaster.master][INFO] 2017-11-08 18:27:06,167: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:43307/
[rosmaster.master][INFO] 2017-11-08 18:27:06,172: +SUB [/rosout] /rosout http://mdas-Meerkat:43307/
[rosmaster.master][INFO] 2017-11-08 18:27:06,198: +PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:37235/
[rosmaster.master][INFO] 2017-11-08 18:27:06,200: +SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 http://mdas-Meerkat:37235/
[rosmaster.master][INFO] 2017-11-08 18:27:06,200: +SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 http://mdas-Meerkat:37235/
[rosmaster.master][INFO] 2017-11-08 18:27:06,239: +PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:37235/
[rosmaster.master][INFO] 2017-11-08 18:27:06,239: +PUB [/usb_cam_1/camera_info] /usb_cam_1 http://mdas-Meerkat:37235/
[rosmaster.master][INFO] 2017-11-08 18:27:06,248: +SERVICE [/usb_cam_1/set_camera_info] /usb_cam_1 http://mdas-Meerkat:37235/
[rosmaster.master][INFO] 2017-11-08 18:27:06,249: +SERVICE [/usb_cam_1/start_capture] /usb_cam_1 http://mdas-Meerkat:37235/
[rosmaster.master][INFO] 2017-11-08 18:27:06,249: +SERVICE [/usb_cam_1/stop_capture] /usb_cam_1 http://mdas-Meerkat:37235/
[rosmaster.master][INFO] 2017-11-08 18:27:06,249: publisherUpdate[/rosout] -> http://mdas-Meerkat:43307/
[rosmaster.master][INFO] 2017-11-08 18:32:48,463: +PARAM [/roslaunch/uris/host_mdas_meerkat__38643] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 18:32:48,465: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 18:32:48,465: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 18:32:48,653: +PUB [/rosout] /rviz http://mdas-Meerkat:42281/
[rosmaster.master][INFO] 2017-11-08 18:32:48,654: +SERVICE [/rviz/get_loggers] /rviz http://mdas-Meerkat:42281/
