[rosmaster.main][INFO] 2017-11-04 14:16:55,070: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 14:16:55,070: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 14:16:55,071: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 14:16:55,071: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 14:16:55,071: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 14:16:55,071: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 14:16:55,099: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,100: +PARAM [/roslaunch/uris/host_mdas_meerkat__36769] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,162: +PARAM [/move_base/DWAPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,162: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,162: +PARAM [/move_base/DWAPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,163: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,163: +PARAM [/move_base/DWAPlannerROS/trans_stopped_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,163: +PARAM [/move_base/DWAPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,163: +PARAM [/move_base/DWAPlannerROS/min_rot_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,163: +PARAM [/move_base/DWAPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,163: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,163: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:38623/
[rosmaster.master][INFO] 2017-11-04 14:16:55,163: +PARAM [/move_base/DWAPlannerROS/path_distance_bias] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,163: +PARAM [/move_base/local_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,164: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,164: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:38623/
[rosmaster.master][INFO] 2017-11-04 14:16:55,164: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,164: +PARAM [/move_base/DWAPlannerROS/yaw_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,164: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,164: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,165: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:38623/
[rosmaster.master][INFO] 2017-11-04 14:16:55,165: +PARAM [/move_base/DWAPlannerROS/publish_traj_pc] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,165: +PARAM [/move_base/DWAPlannerROS/stop_time_buffer] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,165: +PARAM [/move_base/DWAPlannerROS/min_vel_y] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,166: +PARAM [/move_base/DWAPlannerROS/min_trans_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,166: +PARAM [/move_base/DWAPlannerROS/vy_samples] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,166: +PARAM [/move_base/DWAPlannerROS/oscillation_reset_dist] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,166: +PARAM [/move_base/DWAPlannerROS/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,166: +PARAM [/move_base/global_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,166: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,167: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,167: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,167: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,167: +PARAM [/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,167: +PARAM [/move_base/DWAPlannerROS/vtheta_samples] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,167: +PARAM [/move_base/DWAPlannerROS/latch_xy_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,168: +PARAM [/move_base/DWAPlannerROS/occdist_scale] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,168: +PARAM [/slam_gmapping/map_update_interval] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,168: +PARAM [/slam_gmapping/xmax] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,168: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,168: +PARAM [/move_base/global_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,168: +SUB [/rosout] /rosout http://mdas-Meerkat:38623/
[rosmaster.master][INFO] 2017-11-04 14:16:55,168: +PARAM [/move_base/planner_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,169: +PARAM [/move_base/DWAPlannerROS/scaling_speed] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,169: +PARAM [/move_base/local_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,169: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,169: +PARAM [/move_base/DWAPlannerROS/xy_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,169: +PARAM [/slam_gmapping/xmin] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,169: +PARAM [/move_base/DWAPlannerROS/forward_point_distance] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,169: +PARAM [/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,169: +PARAM [/slam_gmapping/delta] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,169: +PARAM [/move_base/global_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,169: +PARAM [/move_base/global_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,169: +PARAM [/move_base/DWAPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,169: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,169: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,169: +PARAM [/move_base/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,169: +PARAM [/move_base/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,169: +PARAM [/move_base/DWAPlannerROS/rot_stopped_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,169: +PARAM [/move_base/DWAPlannerROS/max_rot_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,169: +PARAM [/move_base/DWAPlannerROS/holonomic_robot] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/move_base/local_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/move_base/global_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/move_base/DWAPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/slam_gmapping/ymin] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/move_base/global_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/slam_gmapping/ymax] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/move_base/DWAPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/move_base/DWAPlannerROS/max_vel_y] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/move_base/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/move_base/global_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/move_base/DWAPlannerROS/max_trans_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/move_base/base_local_planner] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/move_base/global_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/move_base/local_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/slam_gmapping/linearUpdate] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,170: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,171: +PARAM [/move_base/DWAPlannerROS/max_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,171: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,171: +PARAM [/move_base/global_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,171: +PARAM [/move_base/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,171: +PARAM [/move_base/controller_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,171: +PARAM [/move_base/DWAPlannerROS/goal_distance_bias] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,171: +PARAM [/move_base/global_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,171: +PARAM [/move_base/local_costmap/publish_voxel_map] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,171: +PARAM [/move_base/DWAPlannerROS/publish_cost_grid_pc] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:16:55,185: +PUB [/rosout] /base_laser1_broadcaster http://mdas-Meerkat:40963/
[rosmaster.master][INFO] 2017-11-04 14:16:55,186: +SERVICE [/base_laser1_broadcaster/get_loggers] /base_laser1_broadcaster http://mdas-Meerkat:40963/
[rosmaster.master][INFO] 2017-11-04 14:16:55,187: +SERVICE [/base_laser1_broadcaster/set_logger_level] /base_laser1_broadcaster http://mdas-Meerkat:40963/
[rosmaster.master][INFO] 2017-11-04 14:16:55,190: +PUB [/tf] /base_laser1_broadcaster http://mdas-Meerkat:40963/
[rosmaster.master][INFO] 2017-11-04 14:16:55,198: +PUB [/rosout] /robot_state_publisher http://mdas-Meerkat:43875/
[rosmaster.master][INFO] 2017-11-04 14:16:55,199: +PUB [/rosout] /pub_des_state_startup http://mdas-Meerkat:37325/
[rosmaster.master][INFO] 2017-11-04 14:16:55,203: +SERVICE [/pub_des_state_startup/get_loggers] /pub_des_state_startup http://mdas-Meerkat:37325/
[rosmaster.master][INFO] 2017-11-04 14:16:55,203: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://mdas-Meerkat:43875/
[rosmaster.master][INFO] 2017-11-04 14:16:55,204: +PUB [/rosout] /odom_tf http://mdas-Meerkat:45181/
[rosmaster.master][INFO] 2017-11-04 14:16:55,205: +SERVICE [/pub_des_state_startup/set_logger_level] /pub_des_state_startup http://mdas-Meerkat:37325/
[rosmaster.master][INFO] 2017-11-04 14:16:55,206: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://mdas-Meerkat:43875/
[rosmaster.master][INFO] 2017-11-04 14:16:55,206: +PARAM [/slam_gmapping/base_frame] by /slam_gmapping
[rosmaster.master][INFO] 2017-11-04 14:16:55,206: +SERVICE [/odom_tf/get_loggers] /odom_tf http://mdas-Meerkat:45181/
[rosmaster.master][INFO] 2017-11-04 14:16:55,208: +PUB [/tf] /pub_des_state_startup http://mdas-Meerkat:37325/
[rosmaster.master][INFO] 2017-11-04 14:16:55,209: +SERVICE [/odom_tf/set_logger_level] /odom_tf http://mdas-Meerkat:45181/
[rosmaster.master][INFO] 2017-11-04 14:16:55,212: +PUB [/rosout] /slam_gmapping http://mdas-Meerkat:46589/
[rosmaster.master][INFO] 2017-11-04 14:16:55,213: +PUB [/rosout] /navigation_goals http://mdas-Meerkat:39911/
[rosmaster.master][INFO] 2017-11-04 14:16:55,214: +SERVICE [/slam_gmapping/get_loggers] /slam_gmapping http://mdas-Meerkat:46589/
[rosmaster.master][INFO] 2017-11-04 14:16:55,215: +PUB [/tf] /robot_state_publisher http://mdas-Meerkat:43875/
[rosmaster.master][INFO] 2017-11-04 14:16:55,215: +PUB [/tf] /odom_tf http://mdas-Meerkat:45181/
[rosmaster.master][INFO] 2017-11-04 14:16:55,216: +PUB [/rosout] /move_base http://mdas-Meerkat:34341/
[rosmaster.master][INFO] 2017-11-04 14:16:55,216: +SERVICE [/navigation_goals/get_loggers] /navigation_goals http://mdas-Meerkat:39911/
[rosmaster.master][INFO] 2017-11-04 14:16:55,217: +SERVICE [/slam_gmapping/set_logger_level] /slam_gmapping http://mdas-Meerkat:46589/
[rosmaster.master][INFO] 2017-11-04 14:16:55,217: +PUB [/tf_static] /robot_state_publisher http://mdas-Meerkat:43875/
[rosmaster.master][INFO] 2017-11-04 14:16:55,218: +SERVICE [/move_base/get_loggers] /move_base http://mdas-Meerkat:34341/
[rosmaster.master][INFO] 2017-11-04 14:16:55,218: +SERVICE [/navigation_goals/set_logger_level] /navigation_goals http://mdas-Meerkat:39911/
[rosmaster.master][INFO] 2017-11-04 14:16:55,219: +SUB [/tf] /pub_des_state_startup http://mdas-Meerkat:37325/
[rosmaster.master][INFO] 2017-11-04 14:16:55,220: +SERVICE [/move_base/set_logger_level] /move_base http://mdas-Meerkat:34341/
[rosmaster.master][INFO] 2017-11-04 14:16:55,227: +SUB [/tf] /odom_tf http://mdas-Meerkat:45181/
[rosmaster.master][INFO] 2017-11-04 14:16:55,230: +SUB [/tf_static] /pub_des_state_startup http://mdas-Meerkat:37325/
[rosmaster.master][INFO] 2017-11-04 14:16:55,231: +SUB [/tf] /slam_gmapping http://mdas-Meerkat:46589/
[rosmaster.master][INFO] 2017-11-04 14:16:55,232: +SUB [/clicked_point] /navigation_goals http://mdas-Meerkat:39911/
[rosmaster.master][INFO] 2017-11-04 14:16:55,232: +PUB [/desState] /pub_des_state_startup http://mdas-Meerkat:37325/
[rosmaster.master][INFO] 2017-11-04 14:16:55,233: +SUB [/tf] /move_base http://mdas-Meerkat:34341/
[rosmaster.master][INFO] 2017-11-04 14:16:55,234: +PUB [/desPsi] /pub_des_state_startup http://mdas-Meerkat:37325/
[rosmaster.master][INFO] 2017-11-04 14:16:55,236: +SUB [/joint_states] /robot_state_publisher http://mdas-Meerkat:43875/
[rosmaster.master][INFO] 2017-11-04 14:16:55,236: +PUB [/motion_mode] /pub_des_state_startup http://mdas-Meerkat:37325/
[rosmaster.master][INFO] 2017-11-04 14:16:55,237: +SERVICE [/estop_service] /pub_des_state_startup http://mdas-Meerkat:37325/
[rosmaster.master][INFO] 2017-11-04 14:16:55,239: +SUB [/tf_static] /odom_tf http://mdas-Meerkat:45181/
[rosmaster.master][INFO] 2017-11-04 14:16:55,239: +SERVICE [/clear_estop_service] /pub_des_state_startup http://mdas-Meerkat:37325/
[rosmaster.master][INFO] 2017-11-04 14:16:55,240: +SUB [/tf_static] /slam_gmapping http://mdas-Meerkat:46589/
