[rosmaster.main][INFO] 2017-11-04 12:29:36,690: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 12:29:36,690: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 12:29:36,691: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 12:29:36,691: Started XML-RPC server [http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 12:29:36,691: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 12:29:36,691: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 12:29:36,725: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:29:36,728: +PARAM [/roslaunch/uris/host_mdas_meerkat__36607] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:29:36,811: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:29:36,811: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:29:36,811: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:29:36,811: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:29:36,812: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:29:36,812: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:29:36,832: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:44411/
[rosmaster.master][INFO] 2017-11-04 12:29:36,832: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:40783/
[rosmaster.master][INFO] 2017-11-04 12:29:36,833: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:44411/
[rosmaster.master][INFO] 2017-11-04 12:29:36,833: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:40783/
[rosmaster.master][INFO] 2017-11-04 12:29:36,834: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:44411/
[rosmaster.master][INFO] 2017-11-04 12:29:36,835: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:40783/
[rosmaster.master][INFO] 2017-11-04 12:29:36,839: +SUB [/rosout] /rosout http://mdas-Meerkat:40783/
[rosmaster.master][INFO] 2017-11-04 12:29:36,841: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:44411/
[rosmaster.master][INFO] 2017-11-04 12:29:36,842: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:44411/
[rosmaster.master][INFO] 2017-11-04 12:29:36,846: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:44411/
[rosmaster.master][INFO] 2017-11-04 12:29:36,847: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:44411/
[rosmaster.master][INFO] 2017-11-04 12:29:37,035: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:44411/
[rosmaster.master][INFO] 2017-11-04 12:29:37,038: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:46891
[rosmaster.master][INFO] 2017-11-04 12:29:37,041: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:46891
