[rosmaster.main][INFO] 2017-11-04 10:42:17,847: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 10:42:17,847: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 10:42:17,848: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 10:42:17,848: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 10:42:17,848: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 10:42:17,848: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 10:42:17,876: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:42:17,876: +PARAM [/roslaunch/uris/host_mdas_meerkat__36525] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:42:17,932: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:42:17,932: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:42:17,932: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:42:17,932: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:42:17,932: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:42:17,932: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:42:17,932: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:42:17,932: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:42:17,932: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:42:17,932: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:42:17,932: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:42:17,932: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:42:17,932: +PARAM [/base_laser1/frame_id] by /roslaunch
