[rosmaster.main][INFO] 2017-11-08 13:12:20,663: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-08 13:12:20,663: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-08 13:12:20,663: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-08 13:12:20,663: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-08 13:12:20,664: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-08 13:12:20,664: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-08 13:12:20,692: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,693: +PARAM [/roslaunch/uris/host_mdas_meerkat__36527] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,757: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,757: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,758: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,758: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,758: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,758: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,758: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,758: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,758: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,758: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,758: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,759: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,759: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,759: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,759: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,759: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,759: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,759: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,759: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,759: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,759: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,759: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,760: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:12:20,783: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:41577/
[rosmaster.master][INFO] 2017-11-08 13:12:20,784: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:37241/
[rosmaster.master][INFO] 2017-11-08 13:12:20,784: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:41577/
[rosmaster.master][INFO] 2017-11-08 13:12:20,785: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:37241/
[rosmaster.master][INFO] 2017-11-08 13:12:20,785: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:41577/
[rosmaster.master][INFO] 2017-11-08 13:12:20,787: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:37241/
[rosmaster.master][INFO] 2017-11-08 13:12:20,791: +SUB [/rosout] /rosout http://mdas-Meerkat:37241/
[rosmaster.master][INFO] 2017-11-08 13:12:20,793: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:41577/
[rosmaster.master][INFO] 2017-11-08 13:12:20,794: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:41577/
[rosmaster.master][INFO] 2017-11-08 13:12:20,797: +PUB [/rosout] /novatel_node http://mdas-Meerkat:46313/
[rosmaster.master][INFO] 2017-11-08 13:12:20,797: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:46313/
[rosmaster.master][INFO] 2017-11-08 13:12:20,798: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:46313/
[rosmaster.master][INFO] 2017-11-08 13:12:20,809: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:46313/
[rosmaster.master][INFO] 2017-11-08 13:12:20,809: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:46313/
[rosmaster.master][INFO] 2017-11-08 13:12:20,810: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:46313/
[rosmaster.master][INFO] 2017-11-08 13:12:20,810: +PUB [/range] /novatel_node http://mdas-Meerkat:46313/
[rosmaster.master][INFO] 2017-11-08 13:12:20,811: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:46313/
[rosmaster.master][INFO] 2017-11-08 13:12:20,811: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:46313/
[rosmaster.master][INFO] 2017-11-08 13:12:20,817: +PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:38015/
[rosmaster.master][INFO] 2017-11-08 13:12:20,818: +SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 http://mdas-Meerkat:38015/
[rosmaster.master][INFO] 2017-11-08 13:12:20,818: +SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 http://mdas-Meerkat:38015/
[rosmaster.master][INFO] 2017-11-08 13:12:20,855: +PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:38015/
[rosmaster.master][INFO] 2017-11-08 13:12:20,855: +PUB [/usb_cam_1/camera_info] /usb_cam_1 http://mdas-Meerkat:38015/
[rosmaster.master][INFO] 2017-11-08 13:12:20,863: publisherUpdate[/rosout] -> http://mdas-Meerkat:37241/
[rosmaster.master][INFO] 2017-11-08 13:12:20,864: +SERVICE [/usb_cam_1/set_camera_info] /usb_cam_1 http://mdas-Meerkat:38015/
[rosmaster.master][INFO] 2017-11-08 13:12:20,865: +SERVICE [/usb_cam_1/start_capture] /usb_cam_1 http://mdas-Meerkat:38015/
[rosmaster.master][INFO] 2017-11-08 13:12:20,865: publisherUpdate[/rosout] -> http://mdas-Meerkat:37241/
[rosmaster.master][INFO] 2017-11-08 13:12:20,866: +SERVICE [/usb_cam_1/stop_capture] /usb_cam_1 http://mdas-Meerkat:38015/
[rosmaster.master][INFO] 2017-11-08 13:12:20,969: -PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:38015/
[rosmaster.master][INFO] 2017-11-08 13:12:20,971: -PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:38015/
[rosmaster.master][INFO] 2017-11-08 13:12:20,972: -PUB [/usb_cam_1/camera_info] /usb_cam_1 http://mdas-Meerkat:38015/
[rosmaster.master][INFO] 2017-11-08 13:12:20,974: -SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 rosrpc://mdas-Meerkat:48573
[rosmaster.master][INFO] 2017-11-08 13:12:20,976: -SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 rosrpc://mdas-Meerkat:48573
[rosmaster.master][INFO] 2017-11-08 13:12:20,978: -SERVICE [/usb_cam_1/set_camera_info] /usb_cam_1 rosrpc://mdas-Meerkat:48573
[rosmaster.master][INFO] 2017-11-08 13:12:20,979: -SERVICE [/usb_cam_1/start_capture] /usb_cam_1 rosrpc://mdas-Meerkat:48573
[rosmaster.master][INFO] 2017-11-08 13:12:20,981: -SERVICE [/usb_cam_1/stop_capture] /usb_cam_1 rosrpc://mdas-Meerkat:48573
[rosmaster.master][INFO] 2017-11-08 13:12:21,064: publisherUpdate[/rosout] -> http://mdas-Meerkat:37241/
[rosmaster.master][INFO] 2017-11-08 13:13:24,471: +PUB [/rosout] /rviz_1510164800078197130 http://192.168.1.15:37091/
[rosmaster.master][INFO] 2017-11-08 13:13:24,477: +SERVICE [/rviz_1510164800078197130/get_loggers] /rviz_1510164800078197130 http://192.168.1.15:37091/
[rosmaster.master][INFO] 2017-11-08 13:13:24,483: +SERVICE [/rviz_1510164800078197130/set_logger_level] /rviz_1510164800078197130 http://192.168.1.15:37091/
[rosmaster.master][INFO] 2017-11-08 13:13:24,569: publisherUpdate[/rosout] -> http://mdas-Meerkat:37241/
[rosmaster.master][INFO] 2017-11-08 13:13:25,261: +SUB [/tf] /rviz_1510164800078197130 http://192.168.1.15:37091/
[rosmaster.master][INFO] 2017-11-08 13:13:25,295: +SUB [/tf_static] /rviz_1510164800078197130 http://192.168.1.15:37091/
[rosmaster.master][INFO] 2017-11-08 13:13:25,732: +PUB [/initialpose] /rviz_1510164800078197130 http://192.168.1.15:37091/
[rosmaster.master][INFO] 2017-11-08 13:13:25,737: +PUB [/goal] /rviz_1510164800078197130 http://192.168.1.15:37091/
[rosmaster.master][INFO] 2017-11-08 13:13:25,779: -PUB [/goal] /rviz_1510164800078197130 http://192.168.1.15:37091/
[rosmaster.master][INFO] 2017-11-08 13:13:25,784: -PUB [/initialpose] /rviz_1510164800078197130 http://192.168.1.15:37091/
[rosmaster.master][INFO] 2017-11-08 13:13:25,793: +PUB [/initialpose] /rviz_1510164800078197130 http://192.168.1.15:37091/
[rosmaster.master][INFO] 2017-11-08 13:13:25,797: +PUB [/goal] /rviz_1510164800078197130 http://192.168.1.15:37091/
[rosmaster.master][INFO] 2017-11-08 13:13:25,803: +PUB [/move_base_simple/goal] /rviz_1510164800078197130 http://192.168.1.15:37091/
[rosmaster.master][INFO] 2017-11-08 13:13:25,808: -PUB [/goal] /rviz_1510164800078197130 http://192.168.1.15:37091/
[rosmaster.master][INFO] 2017-11-08 13:13:25,813: +PUB [/clicked_point] /rviz_1510164800078197130 http://192.168.1.15:37091/
[rosmaster.master][INFO] 2017-11-08 13:13:26,129: +SERVICE [/rviz_1510164800078197130/reload_shaders] /rviz_1510164800078197130 http://192.168.1.15:37091/
[rosmaster.master][INFO] 2017-11-08 13:17:11,408: +PARAM [/roslaunch/uris/host_mdas_meerkat__46471] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:11,411: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:11,411: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:11,411: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:11,411: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:11,411: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:11,411: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:11,411: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:11,411: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:11,411: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:11,474: +PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:36393/
[rosmaster.master][INFO] 2017-11-08 13:17:11,475: +SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 http://mdas-Meerkat:36393/
[rosmaster.master][INFO] 2017-11-08 13:17:11,475: +SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 http://mdas-Meerkat:36393/
[rosmaster.master][INFO] 2017-11-08 13:17:11,510: +PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:36393/
[rosmaster.master][INFO] 2017-11-08 13:17:11,511: +PUB [/usb_cam_1/camera_info] /usb_cam_1 http://mdas-Meerkat:36393/
[rosmaster.master][INFO] 2017-11-08 13:17:11,520: +SERVICE [/usb_cam_1/set_camera_info] /usb_cam_1 http://mdas-Meerkat:36393/
[rosmaster.master][INFO] 2017-11-08 13:17:11,520: +SERVICE [/usb_cam_1/start_capture] /usb_cam_1 http://mdas-Meerkat:36393/
[rosmaster.master][INFO] 2017-11-08 13:17:11,521: +SERVICE [/usb_cam_1/stop_capture] /usb_cam_1 http://mdas-Meerkat:36393/
[rosmaster.master][INFO] 2017-11-08 13:17:11,553: publisherUpdate[/rosout] -> http://mdas-Meerkat:37241/
[rosmaster.master][INFO] 2017-11-08 13:17:11,656: -PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:36393/
[rosmaster.master][INFO] 2017-11-08 13:17:11,658: -PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:36393/
[rosmaster.master][INFO] 2017-11-08 13:17:11,660: -PUB [/usb_cam_1/camera_info] /usb_cam_1 http://mdas-Meerkat:36393/
[rosmaster.master][INFO] 2017-11-08 13:17:11,661: -SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 rosrpc://mdas-Meerkat:56575
[rosmaster.master][INFO] 2017-11-08 13:17:11,663: -SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 rosrpc://mdas-Meerkat:56575
[rosmaster.master][INFO] 2017-11-08 13:17:11,665: -SERVICE [/usb_cam_1/set_camera_info] /usb_cam_1 rosrpc://mdas-Meerkat:56575
[rosmaster.master][INFO] 2017-11-08 13:17:11,667: -SERVICE [/usb_cam_1/start_capture] /usb_cam_1 rosrpc://mdas-Meerkat:56575
[rosmaster.master][INFO] 2017-11-08 13:17:11,669: -SERVICE [/usb_cam_1/stop_capture] /usb_cam_1 rosrpc://mdas-Meerkat:56575
[rosmaster.master][INFO] 2017-11-08 13:17:11,753: publisherUpdate[/rosout] -> http://mdas-Meerkat:37241/
[rosmaster.master][INFO] 2017-11-08 13:17:25,182: +PARAM [/roslaunch/uris/host_mdas_meerkat__33773] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:25,185: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:25,185: +PARAM [/usb_cam_2/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:25,185: +PARAM [/usb_cam_2/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:25,185: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:25,185: +PARAM [/usb_cam_2/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:25,185: +PARAM [/usb_cam_2/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:25,185: +PARAM [/usb_cam_2/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:25,185: +PARAM [/usb_cam_2/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:25,185: +PARAM [/usb_cam_2/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:17:25,248: +PUB [/rosout] /usb_cam_2 http://mdas-Meerkat:42339/
[rosmaster.master][INFO] 2017-11-08 13:17:25,248: +SERVICE [/usb_cam_2/get_loggers] /usb_cam_2 http://mdas-Meerkat:42339/
[rosmaster.master][INFO] 2017-11-08 13:17:25,248: +SERVICE [/usb_cam_2/set_logger_level] /usb_cam_2 http://mdas-Meerkat:42339/
[rosmaster.master][INFO] 2017-11-08 13:17:25,276: publisherUpdate[/rosout] -> http://mdas-Meerkat:37241/
[rosmaster.master][INFO] 2017-11-08 13:17:25,293: +PUB [/usb_cam_2/image_raw] /usb_cam_2 http://mdas-Meerkat:42339/
[rosmaster.master][INFO] 2017-11-08 13:17:25,293: +PUB [/usb_cam_2/camera_info] /usb_cam_2 http://mdas-Meerkat:42339/
[rosmaster.master][INFO] 2017-11-08 13:17:25,302: +SERVICE [/usb_cam_2/set_camera_info] /usb_cam_2 http://mdas-Meerkat:42339/
[rosmaster.master][INFO] 2017-11-08 13:17:25,303: +SERVICE [/usb_cam_2/start_capture] /usb_cam_2 http://mdas-Meerkat:42339/
[rosmaster.master][INFO] 2017-11-08 13:17:25,303: +SERVICE [/usb_cam_2/stop_capture] /usb_cam_2 http://mdas-Meerkat:42339/
[rosmaster.master][INFO] 2017-11-08 13:17:25,379: -PUB [/rosout] /usb_cam_2 http://mdas-Meerkat:42339/
