[rosmaster.main][INFO] 2017-11-10 13:53:02,223: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-10 13:53:02,224: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-10 13:53:02,224: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-10 13:53:02,225: Started XML-RPC server [http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-10 13:53:02,225: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-10 13:53:02,225: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-10 13:53:02,248: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 13:53:02,249: +PARAM [/roslaunch/uris/host_mdas_meerkat__41923] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 13:53:02,342: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 13:53:02,343: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 13:53:02,362: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:33875/
[rosmaster.master][INFO] 2017-11-10 13:53:02,362: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:33875/
[rosmaster.master][INFO] 2017-11-10 13:53:02,363: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:33875/
[rosmaster.master][INFO] 2017-11-10 13:53:02,365: +SUB [/rosout] /rosout http://mdas-Meerkat:33875/
[rosmaster.master][INFO] 2017-11-10 14:00:53,274: +PUB [/rosout] /play_1510340453272934669 http://mdas-Meerkat:32807/
[rosmaster.master][INFO] 2017-11-10 14:00:53,275: +SERVICE [/play_1510340453272934669/get_loggers] /play_1510340453272934669 http://mdas-Meerkat:32807/
[rosmaster.master][INFO] 2017-11-10 14:00:53,275: +SERVICE [/play_1510340453272934669/set_logger_level] /play_1510340453272934669 http://mdas-Meerkat:32807/
[rosmaster.master][INFO] 2017-11-10 14:00:53,276: +PUB [/clock] /play_1510340453272934669 http://mdas-Meerkat:32807/
[rosmaster.master][INFO] 2017-11-10 14:00:53,292: +PUB [/received_messages] /play_1510340453272934669 http://mdas-Meerkat:32807/
[rosmaster.master][INFO] 2017-11-10 14:00:53,293: +PUB [/sensor_msgs/LaserScan] /play_1510340453272934669 http://mdas-Meerkat:32807/
[rosmaster.master][INFO] 2017-11-10 14:00:53,293: +PUB [/usb_cam_1/camera_info] /play_1510340453272934669 http://mdas-Meerkat:32807/
[rosmaster.master][INFO] 2017-11-10 14:00:53,294: +PUB [/usb_cam_1/image_raw] /play_1510340453272934669 http://mdas-Meerkat:32807/
[rosmaster.master][INFO] 2017-11-10 14:00:53,294: +PUB [/diagnostics] /play_1510340453272934669 http://mdas-Meerkat:32807/
[rosmaster.master][INFO] 2017-11-10 14:00:53,294: +PUB [/gps_odom] /play_1510340453272934669 http://mdas-Meerkat:32807/
[rosmaster.master][INFO] 2017-11-10 14:00:53,295: +PUB [/gps_fix_psr] /play_1510340453272934669 http://mdas-Meerkat:32807/
[rosmaster.master][INFO] 2017-11-10 14:00:53,295: +PUB [/gps_fix] /play_1510340453272934669 http://mdas-Meerkat:32807/
[rosmaster.master][INFO] 2017-11-10 14:00:53,320: publisherUpdate[/rosout] -> http://mdas-Meerkat:33875/
[rosmaster.master][INFO] 2017-11-10 14:01:01,522: +PUB [/rosout] /rviz_1510340461520347951 http://mdas-Meerkat:38227/
