[rosmaster.main][INFO] 2017-11-04 13:41:34,076: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 13:41:34,076: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 13:41:34,077: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 13:41:34,077: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 13:41:34,077: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 13:41:34,077: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 13:41:34,102: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:34,102: +PARAM [/roslaunch/uris/host_mdas_meerkat__39677] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:34,161: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:34,161: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:34,161: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:34,161: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:34,162: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:34,162: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:34,162: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:34,162: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:34,162: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:34,162: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:34,162: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:34,162: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:34,166: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:38137/
[rosmaster.master][INFO] 2017-11-04 13:41:34,166: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:38137/
[rosmaster.master][INFO] 2017-11-04 13:41:34,168: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:38137/
[rosmaster.master][INFO] 2017-11-04 13:41:34,174: +PUB [/rosout] /novatel_node http://mdas-Meerkat:42409/
[rosmaster.master][INFO] 2017-11-04 13:41:34,175: +SUB [/rosout] /rosout http://mdas-Meerkat:38137/
[rosmaster.master][INFO] 2017-11-04 13:41:34,175: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:42409/
[rosmaster.master][INFO] 2017-11-04 13:41:34,176: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:42409/
[rosmaster.master][INFO] 2017-11-04 13:41:34,185: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:42409/
[rosmaster.master][INFO] 2017-11-04 13:41:34,185: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:42409/
[rosmaster.master][INFO] 2017-11-04 13:41:34,185: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:42409/
[rosmaster.master][INFO] 2017-11-04 13:41:34,186: +PUB [/range] /novatel_node http://mdas-Meerkat:42409/
[rosmaster.master][INFO] 2017-11-04 13:41:34,186: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:42409/
[rosmaster.master][INFO] 2017-11-04 13:41:34,187: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:42409/
[rosmaster.master][INFO] 2017-11-04 13:41:41,086: -PUB [/rosout] /novatel_node http://mdas-Meerkat:42409/
[rosmaster.master][INFO] 2017-11-04 13:41:41,086: -PUB [/gps_odom] /novatel_node http://mdas-Meerkat:42409/
[rosmaster.master][INFO] 2017-11-04 13:41:41,087: -PUB [/gps_fix] /novatel_node http://mdas-Meerkat:42409/
[rosmaster.master][INFO] 2017-11-04 13:41:41,087: -PUB [/ephemeris] /novatel_node http://mdas-Meerkat:42409/
[rosmaster.master][INFO] 2017-11-04 13:41:41,088: -PUB [/range] /novatel_node http://mdas-Meerkat:42409/
[rosmaster.master][INFO] 2017-11-04 13:41:41,088: -PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:42409/
[rosmaster.master][INFO] 2017-11-04 13:41:41,089: -PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:42409/
[rosmaster.master][INFO] 2017-11-04 13:41:41,089: -SERVICE [/novatel_node/get_loggers] /novatel_node rosrpc://mdas-Meerkat:36711
[rosmaster.master][INFO] 2017-11-04 13:41:41,089: -SERVICE [/novatel_node/set_logger_level] /novatel_node rosrpc://mdas-Meerkat:36711
[rosmaster.master][INFO] 2017-11-04 13:41:41,093: publisherUpdate[/rosout] -> http://mdas-Meerkat:38137/
[rosmaster.master][INFO] 2017-11-04 13:41:41,695: -PUB [/rosout_agg] /rosout http://mdas-Meerkat:38137/
[rosmaster.master][INFO] 2017-11-04 13:41:41,696: -SUB [/rosout] /rosout http://mdas-Meerkat:38137/
[rosmaster.master][INFO] 2017-11-04 13:41:41,696: -SERVICE [/rosout/get_loggers] /rosout rosrpc://mdas-Meerkat:34293
[rosmaster.master][INFO] 2017-11-04 13:41:41,697: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://mdas-Meerkat:34293
[rosmaster.main][INFO] 2017-11-04 13:41:41,725: keyboard interrupt, will exit
