[rosmaster.main][INFO] 2017-11-03 16:13:06,754: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-03 16:13:06,754: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-03 16:13:06,754: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-03 16:13:06,755: Started XML-RPC server [http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-03 16:13:06,755: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-03 16:13:06,755: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-03 16:13:06,779: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:13:06,779: +PARAM [/roslaunch/uris/host_mdas_meerkat__35287] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:13:06,839: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:13:06,839: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:13:06,839: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:13:06,839: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:13:06,839: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:13:06,839: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:13:06,839: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:13:06,839: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:13:06,839: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:13:06,839: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:13:06,839: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:13:06,839: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:13:06,840: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:13:06,840: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:13:06,840: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:13:06,840: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:13:06,842: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:46279/
[rosmaster.master][INFO] 2017-11-03 16:13:06,843: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:46279/
[rosmaster.master][INFO] 2017-11-03 16:13:06,844: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:46279/
[rosmaster.master][INFO] 2017-11-03 16:13:06,854: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:42769/
[rosmaster.master][INFO] 2017-11-03 16:13:06,855: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:42769/
[rosmaster.master][INFO] 2017-11-03 16:13:06,855: +SUB [/rosout] /rosout http://mdas-Meerkat:46279/
[rosmaster.master][INFO] 2017-11-03 16:13:06,856: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:42769/
[rosmaster.master][INFO] 2017-11-03 16:13:06,857: +PUB [/rosout] /novatel_node http://mdas-Meerkat:39057/
[rosmaster.master][INFO] 2017-11-03 16:13:06,857: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:39057/
[rosmaster.master][INFO] 2017-11-03 16:13:06,858: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:39057/
[rosmaster.master][INFO] 2017-11-03 16:13:06,864: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:42769/
[rosmaster.master][INFO] 2017-11-03 16:13:06,867: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:42769/
[rosmaster.master][INFO] 2017-11-03 16:13:06,877: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:42769/
[rosmaster.master][INFO] 2017-11-03 16:13:06,878: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:39057/
[rosmaster.master][INFO] 2017-11-03 16:13:06,878: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:42769/
[rosmaster.master][INFO] 2017-11-03 16:13:06,878: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:39057/
[rosmaster.master][INFO] 2017-11-03 16:13:06,879: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:39057/
[rosmaster.master][INFO] 2017-11-03 16:13:06,879: +PUB [/range] /novatel_node http://mdas-Meerkat:39057/
[rosmaster.master][INFO] 2017-11-03 16:13:06,880: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:39057/
[rosmaster.master][INFO] 2017-11-03 16:13:06,880: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:39057/
[rosmaster.master][INFO] 2017-11-03 16:13:06,955: publisherUpdate[/rosout] -> http://mdas-Meerkat:46279/
[rosmaster.master][INFO] 2017-11-03 16:13:07,045: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:42769/
[rosmaster.master][INFO] 2017-11-03 16:13:07,048: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:52217
[rosmaster.master][INFO] 2017-11-03 16:13:07,051: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:52217
[rosmaster.master][INFO] 2017-11-03 16:13:07,055: publisherUpdate[/rosout] -> http://mdas-Meerkat:46279/
[rosmaster.master][INFO] 2017-11-03 16:13:07,201: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:44231/
[rosmaster.master][INFO] 2017-11-03 16:13:07,202: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:44231/
[rosmaster.master][INFO] 2017-11-03 16:13:07,203: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:44231/
[rosmaster.master][INFO] 2017-11-03 16:13:07,210: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:44231/
[rosmaster.master][INFO] 2017-11-03 16:13:07,212: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:44231/
[rosmaster.master][INFO] 2017-11-03 16:13:07,219: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:44231/
[rosmaster.master][INFO] 2017-11-03 16:13:07,220: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:44231/
[rosmaster.master][INFO] 2017-11-03 16:13:07,258: publisherUpdate[/rosout] -> http://mdas-Meerkat:46279/
[rosmaster.master][INFO] 2017-11-03 16:13:07,361: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:44231/
[rosmaster.master][INFO] 2017-11-03 16:13:07,362: publisherUpdate[/rosout] -> http://mdas-Meerkat:46279/
[rosmaster.master][INFO] 2017-11-03 16:13:07,366: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:51729
[rosmaster.master][INFO] 2017-11-03 16:13:07,368: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:51729
[rosmaster.master][INFO] 2017-11-03 16:13:07,514: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:45543/
[rosmaster.master][INFO] 2017-11-03 16:13:07,516: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:45543/
[rosmaster.master][INFO] 2017-11-03 16:13:07,517: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:45543/
[rosmaster.master][INFO] 2017-11-03 16:13:07,525: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:45543/
