[rosmaster.main][INFO] 2017-11-03 15:30:17,997: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-03 15:30:17,997: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-03 15:30:17,998: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-03 15:30:17,998: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-03 15:30:17,998: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-03 15:30:17,998: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-03 15:30:18,023: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:30:18,023: +PARAM [/roslaunch/uris/host_mdas_meerkat__34697] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:30:18,084: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:30:18,084: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:30:18,084: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:30:18,084: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:30:18,084: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:30:18,084: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:30:18,106: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:41989/
[rosmaster.master][INFO] 2017-11-03 15:30:18,107: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:33257/
[rosmaster.master][INFO] 2017-11-03 15:30:18,107: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:41989/
[rosmaster.master][INFO] 2017-11-03 15:30:18,107: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:33257/
[rosmaster.master][INFO] 2017-11-03 15:30:18,108: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:41989/
[rosmaster.master][INFO] 2017-11-03 15:30:18,109: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:33257/
[rosmaster.master][INFO] 2017-11-03 15:30:18,115: +SUB [/rosout] /rosout http://mdas-Meerkat:33257/
[rosmaster.master][INFO] 2017-11-03 15:30:18,116: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:41989/
[rosmaster.master][INFO] 2017-11-03 15:30:18,117: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:41989/
[rosmaster.master][INFO] 2017-11-03 15:30:18,121: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:41989/
[rosmaster.master][INFO] 2017-11-03 15:30:18,122: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:41989/
[rosmaster.master][INFO] 2017-11-03 15:30:18,307: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:41989/
[rosmaster.master][INFO] 2017-11-03 15:30:18,308: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:57617
[rosmaster.master][INFO] 2017-11-03 15:30:18,308: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:57617
[rosmaster.master][INFO] 2017-11-03 15:30:18,399: publisherUpdate[/rosout] -> http://mdas-Meerkat:33257/
[rosmaster.master][INFO] 2017-11-03 15:30:18,515: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:35823/
[rosmaster.master][INFO] 2017-11-03 15:30:18,516: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:35823/
[rosmaster.master][INFO] 2017-11-03 15:30:18,516: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:35823/
[rosmaster.master][INFO] 2017-11-03 15:30:18,525: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:35823/
[rosmaster.master][INFO] 2017-11-03 15:30:18,531: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:35823/
[rosmaster.master][INFO] 2017-11-03 15:30:18,537: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:35823/
[rosmaster.master][INFO] 2017-11-03 15:30:18,538: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:35823/
[rosmaster.master][INFO] 2017-11-03 15:30:18,599: publisherUpdate[/rosout] -> http://mdas-Meerkat:33257/
[rosmaster.master][INFO] 2017-11-03 15:30:18,700: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:35823/
[rosmaster.master][INFO] 2017-11-03 15:30:18,701: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:47929
[rosmaster.master][INFO] 2017-11-03 15:30:18,702: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:47929
[rosmaster.master][INFO] 2017-11-03 15:30:18,800: publisherUpdate[/rosout] -> http://mdas-Meerkat:33257/
[rosmaster.master][INFO] 2017-11-03 15:30:18,815: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-03 15:30:18,816: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-03 15:30:18,816: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-03 15:30:18,820: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-03 15:30:18,821: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-03 15:30:18,826: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-03 15:30:18,826: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-03 15:30:18,901: publisherUpdate[/rosout] -> http://mdas-Meerkat:33257/
[rosmaster.master][INFO] 2017-11-03 15:30:19,002: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-03 15:30:19,003: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:38145
[rosmaster.master][INFO] 2017-11-03 15:30:19,004: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:38145
[rosmaster.master][INFO] 2017-11-03 15:30:19,102: publisherUpdate[/rosout] -> http://mdas-Meerkat:33257/
[rosmaster.master][INFO] 2017-11-03 15:30:19,218: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:38919/
[rosmaster.master][INFO] 2017-11-03 15:30:19,219: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:38919/
[rosmaster.master][INFO] 2017-11-03 15:30:19,219: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:38919/
[rosmaster.master][INFO] 2017-11-03 15:30:19,223: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:38919/
[rosmaster.master][INFO] 2017-11-03 15:30:19,225: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:38919/
[rosmaster.master][INFO] 2017-11-03 15:30:19,230: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:38919/
[rosmaster.master][INFO] 2017-11-03 15:30:19,230: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:38919/
[rosmaster.master][INFO] 2017-11-03 15:30:19,302: publisherUpdate[/rosout] -> http://mdas-Meerkat:33257/
[rosmaster.master][INFO] 2017-11-03 15:30:19,404: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:38919/
[rosmaster.master][INFO] 2017-11-03 15:30:19,405: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:54215
[rosmaster.master][INFO] 2017-11-03 15:30:19,405: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:54215
[rosmaster.master][INFO] 2017-11-03 15:30:19,503: publisherUpdate[/rosout] -> http://mdas-Meerkat:33257/
[rosmaster.master][INFO] 2017-11-03 15:30:19,622: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:40877/
[rosmaster.master][INFO] 2017-11-03 15:30:19,623: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:40877/
[rosmaster.master][INFO] 2017-11-03 15:30:19,623: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:40877/
[rosmaster.master][INFO] 2017-11-03 15:30:19,628: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:40877/
[rosmaster.master][INFO] 2017-11-03 15:30:19,630: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:40877/
[rosmaster.master][INFO] 2017-11-03 15:30:19,634: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:40877/
[rosmaster.master][INFO] 2017-11-03 15:30:19,634: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:40877/
[rosmaster.master][INFO] 2017-11-03 15:30:19,704: publisherUpdate[/rosout] -> http://mdas-Meerkat:33257/
[rosmaster.master][INFO] 2017-11-03 15:30:19,805: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:40877/
[rosmaster.master][INFO] 2017-11-03 15:30:19,806: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:53199
[rosmaster.master][INFO] 2017-11-03 15:30:19,807: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:53199
[rosmaster.master][INFO] 2017-11-03 15:30:19,905: publisherUpdate[/rosout] -> http://mdas-Meerkat:33257/
[rosmaster.master][INFO] 2017-11-03 15:30:20,026: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:45271/
[rosmaster.master][INFO] 2017-11-03 15:30:20,026: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:45271/
[rosmaster.master][INFO] 2017-11-03 15:30:20,027: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:45271/
[rosmaster.master][INFO] 2017-11-03 15:30:20,031: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:45271/
[rosmaster.master][INFO] 2017-11-03 15:30:20,033: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:45271/
[rosmaster.master][INFO] 2017-11-03 15:30:20,038: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:45271/
[rosmaster.master][INFO] 2017-11-03 15:30:20,038: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:45271/
[rosmaster.master][INFO] 2017-11-03 15:30:20,105: publisherUpdate[/rosout] -> http://mdas-Meerkat:33257/
[rosmaster.master][INFO] 2017-11-03 15:30:20,207: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:45271/
[rosmaster.master][INFO] 2017-11-03 15:30:20,207: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:55805
[rosmaster.master][INFO] 2017-11-03 15:30:20,208: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:55805
[rosmaster.master][INFO] 2017-11-03 15:30:20,306: publisherUpdate[/rosout] -> http://mdas-Meerkat:33257/
[rosmaster.master][INFO] 2017-11-03 15:30:20,429: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:46781/
[rosmaster.master][INFO] 2017-11-03 15:30:20,430: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:46781/
[rosmaster.master][INFO] 2017-11-03 15:30:20,430: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:46781/
[rosmaster.master][INFO] 2017-11-03 15:30:20,434: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:46781/
[rosmaster.master][INFO] 2017-11-03 15:30:20,436: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:46781/
[rosmaster.master][INFO] 2017-11-03 15:30:20,441: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:46781/
[rosmaster.master][INFO] 2017-11-03 15:30:20,441: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:46781/
[rosmaster.master][INFO] 2017-11-03 15:30:20,507: publisherUpdate[/rosout] -> http://mdas-Meerkat:33257/
[rosmaster.master][INFO] 2017-11-03 15:30:20,608: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:46781/
