[rosmaster.main][INFO] 2017-11-09 15:56:16,098: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-09 15:56:16,098: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-09 15:56:16,099: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-09 15:56:16,099: Started XML-RPC server [http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-09 15:56:16,099: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-09 15:56:16,099: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-09 15:56:16,124: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-09 15:56:16,125: +PARAM [/roslaunch/uris/host_mdas_meerkat__38805] by /roslaunch
[rosmaster.master][INFO] 2017-11-09 15:56:16,185: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-09 15:56:16,185: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-09 15:56:16,189: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:37697/
[rosmaster.master][INFO] 2017-11-09 15:56:16,189: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:37697/
[rosmaster.master][INFO] 2017-11-09 15:56:16,190: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:37697/
[rosmaster.master][INFO] 2017-11-09 15:56:16,192: +SUB [/rosout] /rosout http://mdas-Meerkat:37697/
[rosmaster.master][INFO] 2017-11-09 15:56:51,354: +PUB [/rosout] /play_1510261011352288012 http://mdas-Meerkat:36441/
[rosmaster.master][INFO] 2017-11-09 15:56:51,354: +SERVICE [/play_1510261011352288012/get_loggers] /play_1510261011352288012 http://mdas-Meerkat:36441/
[rosmaster.master][INFO] 2017-11-09 15:56:51,355: +SERVICE [/play_1510261011352288012/set_logger_level] /play_1510261011352288012 http://mdas-Meerkat:36441/
[rosmaster.master][INFO] 2017-11-09 15:56:51,355: +PUB [/clock] /play_1510261011352288012 http://mdas-Meerkat:36441/
[rosmaster.master][INFO] 2017-11-09 15:56:51,400: +PUB [/sensor_msgs/LaserScan] /play_1510261011352288012 http://mdas-Meerkat:36441/
[rosmaster.master][INFO] 2017-11-09 15:56:51,400: +PUB [/gps_fix] /play_1510261011352288012 http://mdas-Meerkat:36441/
[rosmaster.master][INFO] 2017-11-09 15:56:51,401: +PUB [/gps_odom] /play_1510261011352288012 http://mdas-Meerkat:36441/
[rosmaster.master][INFO] 2017-11-09 15:56:51,401: +PUB [/gps_fix_psr] /play_1510261011352288012 http://mdas-Meerkat:36441/
[rosmaster.master][INFO] 2017-11-09 15:56:51,402: +PUB [/usb_cam_1/camera_info] /play_1510261011352288012 http://mdas-Meerkat:36441/
[rosmaster.master][INFO] 2017-11-09 15:56:51,402: +PUB [/usb_cam_1/image_raw] /play_1510261011352288012 http://mdas-Meerkat:36441/
[rosmaster.master][INFO] 2017-11-09 15:56:51,403: +PUB [/rosout_agg] /play_1510261011352288012 http://mdas-Meerkat:36441/
[rosmaster.master][INFO] 2017-11-09 15:56:51,403: +PUB [/diagnostics] /play_1510261011352288012 http://mdas-Meerkat:36441/
[rosmaster.master][INFO] 2017-11-09 15:56:51,430: publisherUpdate[/rosout] -> http://mdas-Meerkat:37697/
[rosmaster.master][INFO] 2017-11-09 15:58:12,850: -PUB [/rosout_agg] /rosout http://mdas-Meerkat:37697/
[rosmaster.master][INFO] 2017-11-09 15:58:12,851: -SUB [/rosout] /rosout http://mdas-Meerkat:37697/
[rosmaster.master][INFO] 2017-11-09 15:58:12,852: -SERVICE [/rosout/get_loggers] /rosout rosrpc://mdas-Meerkat:33417
[rosmaster.master][INFO] 2017-11-09 15:58:12,853: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://mdas-Meerkat:33417
[rosmaster.main][INFO] 2017-11-09 15:58:12,875: keyboard interrupt, will exit
[rosmaster.main][INFO] 2017-11-09 15:58:12,876: stopping master...
[rospy.core][INFO] 2017-11-09 15:58:12,876: signal_shutdown [atexit]
