[rosmaster.main][INFO] 2018-07-06 12:41:39,343: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-07-06 12:41:39,344: Starting ROS Master Node
[xmlrpc][INFO] 2018-07-06 12:41:39,344: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-07-06 12:41:39,344: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2018-07-06 12:41:39,344: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-07-06 12:41:39,344: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2018-07-06 12:41:39,372: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:41:39,373: +PARAM [/roslaunch/uris/host_mdas_meerkat__35843] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:41:39,429: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:41:39,429: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:41:39,429: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:41:39,429: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:41:39,429: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:41:39,429: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:41:39,429: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:41:39,429: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:41:39,429: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:41:39,430: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:41:39,430: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:41:39,430: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:41:39,433: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:35933/
[rosmaster.master][INFO] 2018-07-06 12:41:39,437: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:35933/
[rosmaster.master][INFO] 2018-07-06 12:41:39,438: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:35933/
[rosmaster.master][INFO] 2018-07-06 12:41:39,440: +PUB [/rosout] /novatel_node http://mdas-Meerkat:35451/
[rosmaster.master][INFO] 2018-07-06 12:41:39,441: +SUB [/rosout] /rosout http://mdas-Meerkat:35933/
[rosmaster.master][INFO] 2018-07-06 12:41:39,441: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:35451/
[rosmaster.master][INFO] 2018-07-06 12:41:39,442: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:35451/
