[rosmaster.main][INFO] 2017-11-04 13:41:58,175: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 13:41:58,175: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 13:41:58,176: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 13:41:58,176: Started XML-RPC server [http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 13:41:58,176: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 13:41:58,176: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 13:41:58,200: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:58,201: +PARAM [/roslaunch/uris/host_mdas_meerkat__38659] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:58,262: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:58,262: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:58,262: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:58,262: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:58,262: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:58,262: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:58,262: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:58,262: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:58,262: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:58,263: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:58,263: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:58,263: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:58,263: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:58,263: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:58,263: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:58,263: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:41:58,265: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:38049/
[rosmaster.master][INFO] 2017-11-04 13:41:58,266: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:38049/
[rosmaster.master][INFO] 2017-11-04 13:41:58,268: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:38049/
[rosmaster.master][INFO] 2017-11-04 13:41:58,277: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:32857/
[rosmaster.master][INFO] 2017-11-04 13:41:58,278: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:32857/
[rosmaster.master][INFO] 2017-11-04 13:41:58,278: +SUB [/rosout] /rosout http://mdas-Meerkat:38049/
[rosmaster.master][INFO] 2017-11-04 13:41:58,279: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:32857/
[rosmaster.master][INFO] 2017-11-04 13:41:58,281: +PUB [/rosout] /novatel_node http://mdas-Meerkat:32819/
[rosmaster.master][INFO] 2017-11-04 13:41:58,281: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:32819/
[rosmaster.master][INFO] 2017-11-04 13:41:58,282: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:32819/
[rosmaster.master][INFO] 2017-11-04 13:41:58,287: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:32857/
[rosmaster.master][INFO] 2017-11-04 13:41:58,289: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:32857/
[rosmaster.master][INFO] 2017-11-04 13:41:58,301: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:32819/
[rosmaster.master][INFO] 2017-11-04 13:41:58,301: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:32819/
[rosmaster.master][INFO] 2017-11-04 13:41:58,301: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:32819/
[rosmaster.master][INFO] 2017-11-04 13:41:58,302: +PUB [/range] /novatel_node http://mdas-Meerkat:32819/
[rosmaster.master][INFO] 2017-11-04 13:41:58,302: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:32819/
[rosmaster.master][INFO] 2017-11-04 13:41:58,303: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:32819/
[rosmaster.master][INFO] 2017-11-04 13:41:58,376: publisherUpdate[/rosout] -> http://mdas-Meerkat:38049/
[rosmaster.master][INFO] 2017-11-04 13:42:30,783: +PARAM [/roslaunch/uris/host_mdas_meerkat__37749] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:30,785: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:30,785: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:30,902: +PUB [/rosout] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:30,903: +SERVICE [/rviz/get_loggers] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:30,903: +SERVICE [/rviz/set_logger_level] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:30,934: publisherUpdate[/rosout] -> http://mdas-Meerkat:38049/
[rosmaster.master][INFO] 2017-11-04 13:42:31,479: +SUB [/tf] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,483: +SUB [/tf_static] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,554: +PUB [/initialpose] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,556: +PUB [/goal] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,598: +SUB [/map2] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,600: +SUB [/map2_updates] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,624: +SUB [/rear_wobbler/point_cloud] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,627: +SUB [/move_base/DWAPlannerROS/global_plan] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,630: +SUB [/move_base/DWAPlannerROS/local_plan] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,653: +SUB [/kinect/depth/points] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,656: +SUB [/move_base/local_costmap/costmap] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,658: +SUB [/move_base/local_costmap/costmap_updates] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,711: +SUB [/usb_cam_1/image_raw] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,734: +SUB [/sensor_msgs/LaserScan] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,737: +SUB [/move_base/current_goal] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,761: +SUB [/front_wobbler/point_cloud] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,813: +SUB [/usb_cam_2/image_raw] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,816: +SUB [/move_base/local_costmap/footprint] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,819: +SUB [/move_base_simple/goal] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,821: +SUB [/map] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,823: +SUB [/map_updates] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,825: +SUB [/move_base/global_costmap/footprint] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,826: -PUB [/goal] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,827: -PUB [/initialpose] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,829: +PUB [/initialpose] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,830: +PUB [/goal] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,831: +PUB [/move_base_simple/goal] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,831: -PUB [/goal] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,832: +PUB [/clicked_point] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,836: publisherUpdate[/move_base_simple/goal] -> http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:31,852: +SERVICE [/rviz/reload_shaders] /rviz http://mdas-Meerkat:40921/
[rosmaster.master][INFO] 2017-11-04 13:42:41,417: +PARAM [/roslaunch/uris/host_mdas_meerkat__41601] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:41,427: +PARAM [/move_base/DWAPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:41,427: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:41,427: +PARAM [/move_base/DWAPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:41,427: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:41,427: +PARAM [/move_base/DWAPlannerROS/trans_stopped_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:41,427: +PARAM [/move_base/DWAPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:41,427: +PARAM [/move_base/DWAPlannerROS/min_rot_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:41,427: +PARAM [/move_base/DWAPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:41,428: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:41,428: +PARAM [/move_base/DWAPlannerROS/path_distance_bias] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:41,428: +PARAM [/move_base/local_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:41,428: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:41,428: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:41,428: +PARAM [/move_base/DWAPlannerROS/yaw_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:41,428: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:41,428: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:41,428: +PARAM [/move_base/DWAPlannerROS/publish_traj_pc] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:41,428: +PARAM [/move_base/DWAPlannerROS/stop_time_buffer] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:42:41,428: +PARAM [/move_base/DWAPlannerROS/min_vel_y] by /roslaunch
