[rosmaster.main][INFO] 2017-11-03 16:06:26,092: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-03 16:06:26,092: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-03 16:06:26,093: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-03 16:06:26,093: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-03 16:06:26,093: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-03 16:06:26,093: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-03 16:06:26,121: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:06:26,123: +PARAM [/roslaunch/uris/host_mdas_meerkat__33757] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:06:26,209: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:06:26,209: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:06:26,209: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:06:26,210: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:06:26,210: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:06:26,210: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:06:26,210: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:06:26,210: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:06:26,210: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:06:26,210: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:06:26,210: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:06:26,210: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:06:26,210: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:06:26,210: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:06:26,210: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:06:26,210: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:06:26,213: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:42893/
[rosmaster.master][INFO] 2017-11-03 16:06:26,213: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:42893/
[rosmaster.master][INFO] 2017-11-03 16:06:26,216: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:42893/
[rosmaster.master][INFO] 2017-11-03 16:06:26,224: +SUB [/rosout] /rosout http://mdas-Meerkat:42893/
[rosmaster.master][INFO] 2017-11-03 16:06:26,224: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:37505/
[rosmaster.master][INFO] 2017-11-03 16:06:26,225: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:37505/
[rosmaster.master][INFO] 2017-11-03 16:06:26,226: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:37505/
[rosmaster.master][INFO] 2017-11-03 16:06:26,226: +PUB [/rosout] /novatel_node http://mdas-Meerkat:45555/
[rosmaster.master][INFO] 2017-11-03 16:06:26,227: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:45555/
[rosmaster.master][INFO] 2017-11-03 16:06:26,228: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:45555/
[rosmaster.master][INFO] 2017-11-03 16:06:26,232: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:37505/
[rosmaster.master][INFO] 2017-11-03 16:06:26,235: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:37505/
[rosmaster.master][INFO] 2017-11-03 16:06:26,245: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:37505/
[rosmaster.master][INFO] 2017-11-03 16:06:26,246: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:37505/
[rosmaster.master][INFO] 2017-11-03 16:06:26,247: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:45555/
[rosmaster.master][INFO] 2017-11-03 16:06:26,247: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:45555/
[rosmaster.master][INFO] 2017-11-03 16:06:26,248: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:45555/
[rosmaster.master][INFO] 2017-11-03 16:06:26,248: +PUB [/range] /novatel_node http://mdas-Meerkat:45555/
[rosmaster.master][INFO] 2017-11-03 16:06:26,248: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:45555/
[rosmaster.master][INFO] 2017-11-03 16:06:26,249: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:45555/
[rosmaster.master][INFO] 2017-11-03 16:06:26,293: publisherUpdate[/rosout] -> http://mdas-Meerkat:42893/
[rosmaster.master][INFO] 2017-11-03 16:06:26,294: publisherUpdate[/rosout] -> http://mdas-Meerkat:42893/
[rosmaster.master][INFO] 2017-11-03 16:06:26,397: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:37505/
[rosmaster.master][INFO] 2017-11-03 16:06:26,400: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:55255
[rosmaster.master][INFO] 2017-11-03 16:06:26,403: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:55255
[rosmaster.master][INFO] 2017-11-03 16:06:26,494: publisherUpdate[/rosout] -> http://mdas-Meerkat:42893/
[rosmaster.master][INFO] 2017-11-03 16:06:26,641: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:37989/
[rosmaster.master][INFO] 2017-11-03 16:06:26,642: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:37989/
[rosmaster.master][INFO] 2017-11-03 16:06:26,643: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:37989/
[rosmaster.master][INFO] 2017-11-03 16:06:26,653: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:37989/
[rosmaster.master][INFO] 2017-11-03 16:06:26,655: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:37989/
[rosmaster.master][INFO] 2017-11-03 16:06:26,667: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:37989/
[rosmaster.master][INFO] 2017-11-03 16:06:26,669: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:37989/
[rosmaster.master][INFO] 2017-11-03 16:06:26,696: publisherUpdate[/rosout] -> http://mdas-Meerkat:42893/
[rosmaster.master][INFO] 2017-11-03 16:06:26,801: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:37989/
[rosmaster.master][INFO] 2017-11-03 16:06:26,804: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:58449
[rosmaster.master][INFO] 2017-11-03 16:06:26,807: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:58449
[rosmaster.master][INFO] 2017-11-03 16:06:26,897: publisherUpdate[/rosout] -> http://mdas-Meerkat:42893/
[rosmaster.master][INFO] 2017-11-03 16:06:26,951: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:43823/
[rosmaster.master][INFO] 2017-11-03 16:06:26,952: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:43823/
[rosmaster.master][INFO] 2017-11-03 16:06:26,953: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:43823/
[rosmaster.master][INFO] 2017-11-03 16:06:26,962: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:43823/
[rosmaster.master][INFO] 2017-11-03 16:06:26,965: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:43823/
[rosmaster.master][INFO] 2017-11-03 16:06:26,975: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:43823/
[rosmaster.master][INFO] 2017-11-03 16:06:26,975: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:43823/
[rosmaster.master][INFO] 2017-11-03 16:06:26,998: publisherUpdate[/rosout] -> http://mdas-Meerkat:42893/
[rosmaster.master][INFO] 2017-11-03 16:06:27,102: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:43823/
[rosmaster.master][INFO] 2017-11-03 16:06:27,105: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:44781
[rosmaster.master][INFO] 2017-11-03 16:06:27,108: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:44781
[rosmaster.master][INFO] 2017-11-03 16:06:27,200: publisherUpdate[/rosout] -> http://mdas-Meerkat:42893/
[rosmaster.master][INFO] 2017-11-03 16:06:27,365: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:43223/
[rosmaster.master][INFO] 2017-11-03 16:06:27,366: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:43223/
[rosmaster.master][INFO] 2017-11-03 16:06:27,367: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:43223/
[rosmaster.master][INFO] 2017-11-03 16:06:27,375: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:43223/
[rosmaster.master][INFO] 2017-11-03 16:06:27,377: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:43223/
[rosmaster.master][INFO] 2017-11-03 16:06:27,384: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:43223/
[rosmaster.master][INFO] 2017-11-03 16:06:27,384: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:43223/
[rosmaster.master][INFO] 2017-11-03 16:06:27,401: publisherUpdate[/rosout] -> http://mdas-Meerkat:42893/
[rosmaster.master][INFO] 2017-11-03 16:06:27,505: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:43223/
[rosmaster.master][INFO] 2017-11-03 16:06:27,508: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:51287
[rosmaster.master][INFO] 2017-11-03 16:06:27,510: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:51287
[rosmaster.master][INFO] 2017-11-03 16:06:27,602: publisherUpdate[/rosout] -> http://mdas-Meerkat:42893/
[rosmaster.master][INFO] 2017-11-03 16:06:27,675: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:34679/
[rosmaster.master][INFO] 2017-11-03 16:06:27,677: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:34679/
[rosmaster.master][INFO] 2017-11-03 16:06:27,678: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:34679/
[rosmaster.master][INFO] 2017-11-03 16:06:27,687: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:34679/
[rosmaster.master][INFO] 2017-11-03 16:06:27,689: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:34679/
[rosmaster.master][INFO] 2017-11-03 16:06:27,697: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:34679/
[rosmaster.master][INFO] 2017-11-03 16:06:27,697: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:34679/
