[rosmaster.main][INFO] 2017-11-03 15:59:45,772: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-03 15:59:45,772: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-03 15:59:45,772: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-03 15:59:45,773: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-03 15:59:45,773: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-03 15:59:45,773: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-03 15:59:45,795: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:59:45,796: +PARAM [/roslaunch/uris/host_mdas_meerkat__33887] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:59:45,856: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:59:45,856: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:59:45,856: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:59:45,856: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:59:45,857: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:59:45,857: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:59:45,857: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:59:45,857: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:59:45,857: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:59:45,857: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:59:45,857: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:59:45,857: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:59:45,860: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:46807/
[rosmaster.master][INFO] 2017-11-03 15:59:45,860: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:46807/
[rosmaster.master][INFO] 2017-11-03 15:59:45,862: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:46807/
[rosmaster.master][INFO] 2017-11-03 15:59:45,865: +SUB [/rosout] /rosout http://mdas-Meerkat:46807/
[rosmaster.master][INFO] 2017-11-03 15:59:45,869: +PUB [/rosout] /novatel_node http://mdas-Meerkat:37959/
[rosmaster.master][INFO] 2017-11-03 15:59:45,870: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:37959/
[rosmaster.master][INFO] 2017-11-03 15:59:45,870: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:37959/
[rosmaster.master][INFO] 2017-11-03 15:59:45,872: publisherUpdate[/rosout] -> http://mdas-Meerkat:46807/
[rosmaster.master][INFO] 2017-11-03 15:59:45,880: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:37959/
[rosmaster.master][INFO] 2017-11-03 15:59:45,882: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:37959/
[rosmaster.master][INFO] 2017-11-03 15:59:45,882: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:37959/
[rosmaster.master][INFO] 2017-11-03 15:59:45,883: +PUB [/range] /novatel_node http://mdas-Meerkat:37959/
[rosmaster.master][INFO] 2017-11-03 15:59:45,884: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:37959/
[rosmaster.master][INFO] 2017-11-03 15:59:45,885: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:37959/
[rosmaster.master][INFO] 2017-11-03 15:59:46,175: -PUB [/rosout_agg] /rosout http://mdas-Meerkat:46807/
[rosmaster.master][INFO] 2017-11-03 15:59:46,176: -SUB [/rosout] /rosout http://mdas-Meerkat:46807/
[rosmaster.master][INFO] 2017-11-03 15:59:46,177: -SERVICE [/rosout/get_loggers] /rosout rosrpc://mdas-Meerkat:55903
[rosmaster.master][INFO] 2017-11-03 15:59:46,177: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://mdas-Meerkat:55903
[rosmaster.main][INFO] 2017-11-03 15:59:46,288: keyboard interrupt, will exit
[rosmaster.main][INFO] 2017-11-03 15:59:46,288: stopping master...
[rospy.core][INFO] 2017-11-03 15:59:46,289: signal_shutdown [atexit]
