[rosmaster.main][INFO] 2017-11-04 12:31:04,786: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 12:31:04,786: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 12:31:04,787: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 12:31:04,787: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 12:31:04,787: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 12:31:04,787: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 12:31:04,812: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:31:04,813: +PARAM [/roslaunch/uris/host_mdas_meerkat__45319] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:31:04,870: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:31:04,871: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:31:04,871: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:31:04,871: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:31:04,871: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:31:04,871: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:31:04,874: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:36209/
[rosmaster.master][INFO] 2017-11-04 12:31:04,875: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:36209/
[rosmaster.master][INFO] 2017-11-04 12:31:04,876: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:36209/
[rosmaster.master][INFO] 2017-11-04 12:31:04,878: +SUB [/rosout] /rosout http://mdas-Meerkat:36209/
[rosmaster.master][INFO] 2017-11-04 12:31:04,882: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:36575/
[rosmaster.master][INFO] 2017-11-04 12:31:04,883: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:36575/
[rosmaster.master][INFO] 2017-11-04 12:31:04,884: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:36575/
[rosmaster.master][INFO] 2017-11-04 12:31:04,887: publisherUpdate[/rosout] -> http://mdas-Meerkat:36209/
[rosmaster.master][INFO] 2017-11-04 12:31:04,888: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:36575/
[rosmaster.master][INFO] 2017-11-04 12:31:04,889: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:36575/
[rosmaster.master][INFO] 2017-11-04 12:31:04,893: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:36575/
[rosmaster.master][INFO] 2017-11-04 12:31:04,894: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:36575/
[rosmaster.master][INFO] 2017-11-04 12:31:04,991: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:36575/
[rosmaster.master][INFO] 2017-11-04 12:31:04,994: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:40379
[rosmaster.master][INFO] 2017-11-04 12:31:04,997: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:40379
[rosmaster.master][INFO] 2017-11-04 12:31:05,088: publisherUpdate[/rosout] -> http://mdas-Meerkat:36209/
[rosmaster.master][INFO] 2017-11-04 12:31:05,235: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:33233/
[rosmaster.master][INFO] 2017-11-04 12:31:05,236: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:33233/
[rosmaster.master][INFO] 2017-11-04 12:31:05,237: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:33233/
[rosmaster.master][INFO] 2017-11-04 12:31:05,245: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:33233/
[rosmaster.master][INFO] 2017-11-04 12:31:05,246: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:33233/
[rosmaster.master][INFO] 2017-11-04 12:31:05,252: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:33233/
[rosmaster.master][INFO] 2017-11-04 12:31:05,253: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:33233/
[rosmaster.master][INFO] 2017-11-04 12:31:05,289: publisherUpdate[/rosout] -> http://mdas-Meerkat:36209/
[rosmaster.master][INFO] 2017-11-04 12:31:05,393: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:33233/
