[rosmaster.main][INFO] 2017-11-04 12:38:25,056: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 12:38:25,056: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 12:38:25,057: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 12:38:25,057: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 12:38:25,057: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 12:38:25,057: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 12:38:25,080: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:38:25,081: +PARAM [/roslaunch/uris/host_mdas_meerkat__37651] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:38:25,142: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:38:25,143: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:38:25,143: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:38:25,143: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:38:25,143: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:38:25,143: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:38:25,164: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:45065/
[rosmaster.master][INFO] 2017-11-04 12:38:25,165: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:33215/
[rosmaster.master][INFO] 2017-11-04 12:38:25,165: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:45065/
[rosmaster.master][INFO] 2017-11-04 12:38:25,166: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:33215/
[rosmaster.master][INFO] 2017-11-04 12:38:25,166: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:33215/
[rosmaster.master][INFO] 2017-11-04 12:38:25,167: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:45065/
[rosmaster.master][INFO] 2017-11-04 12:38:25,171: +SUB [/rosout] /rosout http://mdas-Meerkat:45065/
