[rosmaster.main][INFO] 2017-11-04 10:36:52,757: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 10:36:52,757: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 10:36:52,757: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 10:36:52,758: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 10:36:52,758: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 10:36:52,758: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 10:36:52,785: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:36:52,786: +PARAM [/roslaunch/uris/host_mdas_meerkat__41469] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:36:52,842: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:36:52,842: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:36:52,842: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:36:52,843: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:36:52,843: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:36:52,843: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:36:52,843: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:36:52,843: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:36:52,843: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:36:52,843: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:36:52,843: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:36:52,843: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 10:36:52,843: +PARAM [/base_laser1/frame_id] by /roslaunch
