[rosmaster.main][INFO] 2017-11-04 14:33:08,212: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 14:33:08,212: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 14:33:08,212: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 14:33:08,213: Started XML-RPC server [http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 14:33:08,213: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 14:33:08,213: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 14:33:08,244: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:08,247: +PARAM [/roslaunch/uris/host_mdas_meerkat__34257] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:08,323: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:08,323: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:08,327: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:38127/
[rosmaster.master][INFO] 2017-11-04 14:33:08,327: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:38127/
[rosmaster.master][INFO] 2017-11-04 14:33:08,332: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:38127/
[rosmaster.master][INFO] 2017-11-04 14:33:08,336: +SUB [/rosout] /rosout http://mdas-Meerkat:38127/
[rosmaster.master][INFO] 2017-11-04 14:33:08,390: +PUB [/rosout] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:08,391: +SERVICE [/rviz/get_loggers] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:08,391: +SERVICE [/rviz/set_logger_level] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:08,412: publisherUpdate[/rosout] -> http://mdas-Meerkat:38127/
[rosmaster.master][INFO] 2017-11-04 14:33:08,959: +SUB [/tf] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:08,961: +SUB [/tf_static] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:09,030: +PUB [/initialpose] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:09,031: +PUB [/goal] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:09,070: +SUB [/move_base/current_goal] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:09,072: +SUB [/map] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:09,074: +SUB [/map_updates] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:09,098: +SUB [/sensor_msgs/LaserScan] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:09,101: +SUB [/map2] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:09,103: +SUB [/map2_updates] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:09,128: +SUB [/rear_wobbler/point_cloud] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:09,130: +SUB [/move_base_simple/goal] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:09,155: +SUB [/kinect/depth/points] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:09,207: +SUB [/usb_cam_1/image_raw] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:09,258: +SUB [/usb_cam_2/image_raw] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:09,282: +SUB [/front_wobbler/point_cloud] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:09,284: +SUB [/move_base/DWAPlannerROS/global_plan] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:09,287: +SUB [/move_base/local_costmap/costmap] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:09,289: +SUB [/move_base/local_costmap/costmap_updates] /rviz http://mdas-Meerkat:40755/
[rosmaster.master][INFO] 2017-11-04 14:33:09,291: +SUB [/move_base/DWAPlannerROS/local_plan] /rviz http://mdas-Meerkat:40755/
