[rosmaster.main][INFO] 2017-11-08 13:21:23,751: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-08 13:21:23,751: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-08 13:21:23,752: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-08 13:21:23,752: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-08 13:21:23,752: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-08 13:21:23,752: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-08 13:21:23,780: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:23,781: +PARAM [/roslaunch/uris/host_mdas_meerkat__35611] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:23,836: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:23,836: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:23,836: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:23,836: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:23,836: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:23,836: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:23,836: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:23,836: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:23,836: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:23,840: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:43487/
[rosmaster.master][INFO] 2017-11-08 13:21:23,843: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:43487/
[rosmaster.master][INFO] 2017-11-08 13:21:23,844: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:43487/
[rosmaster.master][INFO] 2017-11-08 13:21:23,847: +SUB [/rosout] /rosout http://mdas-Meerkat:43487/
