[rosmaster.main][INFO] 2017-11-03 16:00:23,458: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-03 16:00:23,458: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-03 16:00:23,458: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-03 16:00:23,458: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-03 16:00:23,458: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-03 16:00:23,459: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-03 16:00:23,483: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:00:23,484: +PARAM [/roslaunch/uris/host_mdas_meerkat__38517] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:00:23,544: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:00:23,544: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:00:23,544: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:00:23,544: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:00:23,544: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:00:23,544: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:00:23,545: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:00:23,545: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:00:23,545: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:00:23,545: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:00:23,545: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 16:00:23,545: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
