[rosmaster.main][INFO] 2017-11-03 15:46:07,357: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-03 15:46:07,357: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-03 15:46:07,358: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-03 15:46:07,358: Started XML-RPC server [http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-03 15:46:07,358: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-03 15:46:07,358: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-03 15:46:07,383: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:46:07,383: +PARAM [/roslaunch/uris/host_mdas_meerkat__38937] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:46:07,442: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:46:07,442: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:46:07,442: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:46:07,442: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:46:07,442: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:46:07,442: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:46:07,446: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:45531/
[rosmaster.master][INFO] 2017-11-03 15:46:07,446: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:45531/
[rosmaster.master][INFO] 2017-11-03 15:46:07,447: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:45531/
[rosmaster.master][INFO] 2017-11-03 15:46:07,450: +SUB [/rosout] /rosout http://mdas-Meerkat:45531/
[rosmaster.master][INFO] 2017-11-03 15:46:07,454: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:41491/
[rosmaster.master][INFO] 2017-11-03 15:46:07,454: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:41491/
[rosmaster.master][INFO] 2017-11-03 15:46:07,455: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:41491/
[rosmaster.master][INFO] 2017-11-03 15:46:07,458: publisherUpdate[/rosout] -> http://mdas-Meerkat:45531/
[rosmaster.master][INFO] 2017-11-03 15:46:07,459: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:41491/
[rosmaster.master][INFO] 2017-11-03 15:46:07,460: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:41491/
[rosmaster.master][INFO] 2017-11-03 15:46:07,465: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:41491/
[rosmaster.master][INFO] 2017-11-03 15:46:07,465: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:41491/
[rosmaster.master][INFO] 2017-11-03 15:46:07,562: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:41491/
[rosmaster.master][INFO] 2017-11-03 15:46:07,565: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:57625
[rosmaster.master][INFO] 2017-11-03 15:46:07,568: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:57625
[rosmaster.master][INFO] 2017-11-03 15:46:07,659: publisherUpdate[/rosout] -> http://mdas-Meerkat:45531/
[rosmaster.master][INFO] 2017-11-03 15:46:07,805: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:39435/
[rosmaster.master][INFO] 2017-11-03 15:46:07,806: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:39435/
[rosmaster.master][INFO] 2017-11-03 15:46:07,807: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:39435/
[rosmaster.master][INFO] 2017-11-03 15:46:07,817: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:39435/
[rosmaster.master][INFO] 2017-11-03 15:46:07,820: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:39435/
[rosmaster.master][INFO] 2017-11-03 15:46:07,830: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:39435/
[rosmaster.master][INFO] 2017-11-03 15:46:07,831: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:39435/
[rosmaster.master][INFO] 2017-11-03 15:46:07,860: publisherUpdate[/rosout] -> http://mdas-Meerkat:45531/
[rosmaster.master][INFO] 2017-11-03 15:46:07,965: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:39435/
[rosmaster.master][INFO] 2017-11-03 15:46:07,968: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:42105
[rosmaster.master][INFO] 2017-11-03 15:46:07,970: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:42105
[rosmaster.master][INFO] 2017-11-03 15:46:08,061: publisherUpdate[/rosout] -> http://mdas-Meerkat:45531/
[rosmaster.master][INFO] 2017-11-03 15:46:08,119: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:43337/
[rosmaster.master][INFO] 2017-11-03 15:46:08,120: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:43337/
[rosmaster.master][INFO] 2017-11-03 15:46:08,121: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:43337/
[rosmaster.master][INFO] 2017-11-03 15:46:08,128: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:43337/
[rosmaster.master][INFO] 2017-11-03 15:46:08,130: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:43337/
[rosmaster.master][INFO] 2017-11-03 15:46:08,137: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:43337/
[rosmaster.master][INFO] 2017-11-03 15:46:08,137: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:43337/
[rosmaster.master][INFO] 2017-11-03 15:46:08,163: publisherUpdate[/rosout] -> http://mdas-Meerkat:45531/
[rosmaster.master][INFO] 2017-11-03 15:46:08,266: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:43337/
[rosmaster.master][INFO] 2017-11-03 15:46:08,270: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:59583
[rosmaster.master][INFO] 2017-11-03 15:46:08,273: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:59583
[rosmaster.master][INFO] 2017-11-03 15:46:08,364: publisherUpdate[/rosout] -> http://mdas-Meerkat:45531/
[rosmaster.master][INFO] 2017-11-03 15:46:08,531: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:46833/
[rosmaster.master][INFO] 2017-11-03 15:46:08,532: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:46833/
[rosmaster.master][INFO] 2017-11-03 15:46:08,533: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:46833/
[rosmaster.master][INFO] 2017-11-03 15:46:08,540: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:46833/
[rosmaster.master][INFO] 2017-11-03 15:46:08,543: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:46833/
[rosmaster.master][INFO] 2017-11-03 15:46:08,552: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:46833/
[rosmaster.master][INFO] 2017-11-03 15:46:08,553: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:46833/
[rosmaster.master][INFO] 2017-11-03 15:46:08,566: publisherUpdate[/rosout] -> http://mdas-Meerkat:45531/
[rosmaster.master][INFO] 2017-11-03 15:46:08,670: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:46833/
[rosmaster.master][INFO] 2017-11-03 15:46:08,673: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:47487
[rosmaster.master][INFO] 2017-11-03 15:46:08,676: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:47487
[rosmaster.master][INFO] 2017-11-03 15:46:08,768: publisherUpdate[/rosout] -> http://mdas-Meerkat:45531/
[rosmaster.master][INFO] 2017-11-03 15:46:08,945: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:46377/
[rosmaster.master][INFO] 2017-11-03 15:46:08,946: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:46377/
[rosmaster.master][INFO] 2017-11-03 15:46:08,947: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:46377/
[rosmaster.master][INFO] 2017-11-03 15:46:08,955: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:46377/
[rosmaster.master][INFO] 2017-11-03 15:46:08,956: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:46377/
[rosmaster.master][INFO] 2017-11-03 15:46:08,963: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:46377/
[rosmaster.master][INFO] 2017-11-03 15:46:08,963: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:46377/
[rosmaster.master][INFO] 2017-11-03 15:46:08,969: publisherUpdate[/rosout] -> http://mdas-Meerkat:45531/
[rosmaster.master][INFO] 2017-11-03 15:46:09,072: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:46377/
[rosmaster.master][INFO] 2017-11-03 15:46:09,075: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:38787
[rosmaster.master][INFO] 2017-11-03 15:46:09,078: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:38787
[rosmaster.master][INFO] 2017-11-03 15:46:09,170: publisherUpdate[/rosout] -> http://mdas-Meerkat:45531/
[rosmaster.master][INFO] 2017-11-03 15:46:09,358: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:38889/
[rosmaster.master][INFO] 2017-11-03 15:46:09,359: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:38889/
[rosmaster.master][INFO] 2017-11-03 15:46:09,360: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:38889/
[rosmaster.master][INFO] 2017-11-03 15:46:09,368: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:38889/
[rosmaster.master][INFO] 2017-11-03 15:46:09,370: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:38889/
[rosmaster.master][INFO] 2017-11-03 15:46:09,372: publisherUpdate[/rosout] -> http://mdas-Meerkat:45531/
[rosmaster.master][INFO] 2017-11-03 15:46:09,377: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:38889/
[rosmaster.master][INFO] 2017-11-03 15:46:09,378: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:38889/
[rosmaster.master][INFO] 2017-11-03 15:46:09,475: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:38889/
[rosmaster.master][INFO] 2017-11-03 15:46:09,478: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:48185
[rosmaster.master][INFO] 2017-11-03 15:46:09,481: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:48185
[rosmaster.master][INFO] 2017-11-03 15:46:09,573: publisherUpdate[/rosout] -> http://mdas-Meerkat:45531/
[rosmaster.master][INFO] 2017-11-03 15:46:09,670: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:46797/
