[rosmaster.main][INFO] 2017-11-08 13:21:35,405: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-08 13:21:35,405: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-08 13:21:35,405: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-08 13:21:35,405: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-08 13:21:35,405: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-08 13:21:35,405: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-08 13:21:35,434: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:35,435: +PARAM [/roslaunch/uris/host_mdas_meerkat__33381] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:35,490: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:35,490: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:35,490: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:35,490: +PARAM [/usb_cam_2/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:35,490: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:35,490: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:35,490: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:35,490: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:35,490: +PARAM [/usb_cam_2/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:35,490: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:35,490: +PARAM [/usb_cam_2/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:35,490: +PARAM [/usb_cam_2/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:35,490: +PARAM [/usb_cam_2/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:35,490: +PARAM [/usb_cam_2/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:35,490: +PARAM [/usb_cam_2/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:35,490: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:35,493: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:34881/
[rosmaster.master][INFO] 2017-11-08 13:21:35,493: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:34881/
[rosmaster.master][INFO] 2017-11-08 13:21:35,494: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:34881/
[rosmaster.master][INFO] 2017-11-08 13:21:35,501: +SUB [/rosout] /rosout http://mdas-Meerkat:34881/
[rosmaster.master][INFO] 2017-11-08 13:21:35,509: +PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:35053/
