[rosmaster.main][INFO] 2018-07-06 12:28:45,646: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-07-06 12:28:45,646: Starting ROS Master Node
[xmlrpc][INFO] 2018-07-06 12:28:45,646: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-07-06 12:28:45,647: Started XML-RPC server [http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2018-07-06 12:28:45,647: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2018-07-06 12:28:45,647: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-07-06 12:28:45,674: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:28:45,675: +PARAM [/roslaunch/uris/host_mdas_meerkat__32969] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:28:45,733: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:28:45,734: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:28:45,734: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:28:45,734: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:28:45,734: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:28:45,734: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:28:45,734: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:28:45,734: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:28:45,734: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:28:45,734: +PARAM [/novatel_node/ephem_log] by /roslaunch
