[rosmaster.main][INFO] 2017-11-10 11:03:23,798: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-10 11:03:23,798: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-10 11:03:23,798: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-10 11:03:23,799: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-10 11:03:23,799: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-10 11:03:23,799: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-10 11:03:23,826: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:23,826: +PARAM [/roslaunch/uris/host_mdas_meerkat__44993] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:23,882: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:23,882: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:23,882: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:23,882: +PARAM [/usb_cam_2/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:23,882: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:23,882: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:23,883: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:23,883: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:23,883: +PARAM [/usb_cam_2/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:23,883: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:23,883: +PARAM [/usb_cam_2/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:23,883: +PARAM [/usb_cam_2/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:23,883: +PARAM [/usb_cam_2/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:23,883: +PARAM [/usb_cam_2/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:23,883: +PARAM [/usb_cam_2/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:23,883: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:23,886: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:33245/
[rosmaster.master][INFO] 2017-11-10 11:03:23,886: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:33245/
[rosmaster.master][INFO] 2017-11-10 11:03:23,887: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:33245/
[rosmaster.master][INFO] 2017-11-10 11:03:23,894: +SUB [/rosout] /rosout http://mdas-Meerkat:33245/
