[rosmaster.main][INFO] 2017-11-08 13:21:47,684: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-08 13:21:47,684: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-08 13:21:47,684: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-08 13:21:47,685: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-08 13:21:47,685: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-08 13:21:47,685: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-08 13:21:47,713: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,713: +PARAM [/roslaunch/uris/host_mdas_meerkat__42815] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,770: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,770: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,770: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,770: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,770: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,770: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,770: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,770: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,770: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,770: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,770: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,770: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,770: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,770: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,770: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,771: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,771: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,771: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,771: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,771: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,771: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,771: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,771: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:21:47,772: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:34619/
[rosmaster.master][INFO] 2017-11-08 13:21:47,773: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:34619/
[rosmaster.master][INFO] 2017-11-08 13:21:47,774: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:34619/
[rosmaster.master][INFO] 2017-11-08 13:21:47,777: +SUB [/rosout] /rosout http://mdas-Meerkat:34619/
[rosmaster.master][INFO] 2017-11-08 13:21:47,782: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:45435/
[rosmaster.master][INFO] 2017-11-08 13:21:47,784: publisherUpdate[/rosout] -> http://mdas-Meerkat:34619/
[rosmaster.master][INFO] 2017-11-08 13:21:47,785: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:45435/
[rosmaster.master][INFO] 2017-11-08 13:21:47,786: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:45435/
[rosmaster.master][INFO] 2017-11-08 13:21:47,790: +PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:41479/
[rosmaster.master][INFO] 2017-11-08 13:21:47,791: +PUB [/rosout] /novatel_node http://mdas-Meerkat:44145/
[rosmaster.master][INFO] 2017-11-08 13:21:47,792: +SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 http://mdas-Meerkat:41479/
[rosmaster.master][INFO] 2017-11-08 13:21:47,792: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:44145/
[rosmaster.master][INFO] 2017-11-08 13:21:47,793: +SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 http://mdas-Meerkat:41479/
[rosmaster.master][INFO] 2017-11-08 13:21:47,794: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:44145/
[rosmaster.master][INFO] 2017-11-08 13:21:47,795: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:45435/
[rosmaster.master][INFO] 2017-11-08 13:21:47,801: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:45435/
[rosmaster.master][INFO] 2017-11-08 13:21:47,815: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:44145/
[rosmaster.master][INFO] 2017-11-08 13:21:47,815: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:44145/
[rosmaster.master][INFO] 2017-11-08 13:21:47,815: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:44145/
[rosmaster.master][INFO] 2017-11-08 13:21:47,816: +PUB [/range] /novatel_node http://mdas-Meerkat:44145/
[rosmaster.master][INFO] 2017-11-08 13:21:47,816: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:44145/
[rosmaster.master][INFO] 2017-11-08 13:21:47,817: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:44145/
[rosmaster.master][INFO] 2017-11-08 13:21:47,841: +PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:41479/
[rosmaster.master][INFO] 2017-11-08 13:21:47,842: +PUB [/usb_cam_1/camera_info] /usb_cam_1 http://mdas-Meerkat:41479/
[rosmaster.master][INFO] 2017-11-08 13:21:47,851: +SERVICE [/usb_cam_1/set_camera_info] /usb_cam_1 http://mdas-Meerkat:41479/
[rosmaster.master][INFO] 2017-11-08 13:21:47,851: +SERVICE [/usb_cam_1/start_capture] /usb_cam_1 http://mdas-Meerkat:41479/
[rosmaster.master][INFO] 2017-11-08 13:21:47,851: +SERVICE [/usb_cam_1/stop_capture] /usb_cam_1 http://mdas-Meerkat:41479/
[rosmaster.master][INFO] 2017-11-08 13:21:47,885: publisherUpdate[/rosout] -> http://mdas-Meerkat:34619/
[rosmaster.master][INFO] 2017-11-08 13:21:47,886: publisherUpdate[/rosout] -> http://mdas-Meerkat:34619/
[rosmaster.master][INFO] 2017-11-08 13:21:47,988: -PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:41479/
[rosmaster.master][INFO] 2017-11-08 13:21:47,990: -PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:41479/
