[rosmaster.main][INFO] 2017-11-10 11:10:46,336: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-10 11:10:46,336: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-10 11:10:46,337: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-10 11:10:46,337: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-10 11:10:46,337: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-10 11:10:46,337: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-10 11:10:46,365: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,366: +PARAM [/roslaunch/uris/host_mdas_meerkat__35201] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,421: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,421: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,421: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,421: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,421: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,421: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,422: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,422: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,422: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,422: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,422: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,422: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,422: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,422: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,422: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,422: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,422: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,422: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,422: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,422: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,422: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,422: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,422: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:10:46,424: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:36853/
[rosmaster.master][INFO] 2017-11-10 11:10:46,424: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:36853/
[rosmaster.master][INFO] 2017-11-10 11:10:46,425: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:36853/
[rosmaster.master][INFO] 2017-11-10 11:10:46,428: +SUB [/rosout] /rosout http://mdas-Meerkat:36853/
[rosmaster.master][INFO] 2017-11-10 11:10:46,434: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:40235/
[rosmaster.master][INFO] 2017-11-10 11:10:46,437: publisherUpdate[/rosout] -> http://mdas-Meerkat:36853/
[rosmaster.master][INFO] 2017-11-10 11:10:46,441: +PUB [/rosout] /novatel_node http://mdas-Meerkat:41595/
[rosmaster.master][INFO] 2017-11-10 11:10:46,441: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:40235/
[rosmaster.master][INFO] 2017-11-10 11:10:46,442: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:41595/
[rosmaster.master][INFO] 2017-11-10 11:10:46,443: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:40235/
[rosmaster.master][INFO] 2017-11-10 11:10:46,443: +PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:34949/
[rosmaster.master][INFO] 2017-11-10 11:10:46,444: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:41595/
[rosmaster.master][INFO] 2017-11-10 11:10:46,444: +SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 http://mdas-Meerkat:34949/
[rosmaster.master][INFO] 2017-11-10 11:10:46,445: +SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 http://mdas-Meerkat:34949/
[rosmaster.master][INFO] 2017-11-10 11:10:46,454: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:40235/
[rosmaster.master][INFO] 2017-11-10 11:10:46,457: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:40235/
[rosmaster.master][INFO] 2017-11-10 11:10:46,462: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:41595/
[rosmaster.master][INFO] 2017-11-10 11:10:46,463: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:41595/
[rosmaster.master][INFO] 2017-11-10 11:10:46,464: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:41595/
[rosmaster.master][INFO] 2017-11-10 11:10:46,466: +PUB [/range] /novatel_node http://mdas-Meerkat:41595/
[rosmaster.master][INFO] 2017-11-10 11:10:46,470: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:41595/
[rosmaster.master][INFO] 2017-11-10 11:10:46,471: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:41595/
[rosmaster.master][INFO] 2017-11-10 11:10:46,484: +PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:34949/
[rosmaster.master][INFO] 2017-11-10 11:10:46,485: +PUB [/usb_cam_1/camera_info] /usb_cam_1 http://mdas-Meerkat:34949/
