[rosmaster.main][INFO] 2017-11-04 14:33:56,081: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 14:33:56,081: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 14:33:56,082: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 14:33:56,082: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 14:33:56,082: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 14:33:56,082: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 14:33:56,109: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,110: +PARAM [/roslaunch/uris/host_mdas_meerkat__44513] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,166: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,166: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,167: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,167: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,167: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,167: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,167: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,167: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,167: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,167: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,167: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,167: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,167: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,167: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,168: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,168: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,168: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,168: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,168: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,168: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,168: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,168: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,168: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:33:56,172: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:46335/
[rosmaster.master][INFO] 2017-11-04 14:33:56,175: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:46335/
[rosmaster.master][INFO] 2017-11-04 14:33:56,180: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:46335/
[rosmaster.master][INFO] 2017-11-04 14:33:56,181: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:38857/
[rosmaster.master][INFO] 2017-11-04 14:33:56,182: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:38857/
[rosmaster.master][INFO] 2017-11-04 14:33:56,184: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:38857/
[rosmaster.master][INFO] 2017-11-04 14:33:56,185: +SUB [/rosout] /rosout http://mdas-Meerkat:46335/
[rosmaster.master][INFO] 2017-11-04 14:33:56,190: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:38857/
[rosmaster.master][INFO] 2017-11-04 14:33:56,190: +PUB [/rosout] /novatel_node http://mdas-Meerkat:38055/
[rosmaster.master][INFO] 2017-11-04 14:33:56,191: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:38055/
[rosmaster.master][INFO] 2017-11-04 14:33:56,192: +PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:35167/
[rosmaster.master][INFO] 2017-11-04 14:33:56,192: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:38055/
[rosmaster.master][INFO] 2017-11-04 14:33:56,193: +SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 http://mdas-Meerkat:35167/
[rosmaster.master][INFO] 2017-11-04 14:33:56,193: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:38857/
[rosmaster.master][INFO] 2017-11-04 14:33:56,194: +SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 http://mdas-Meerkat:35167/
[rosmaster.master][INFO] 2017-11-04 14:33:56,211: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:38055/
[rosmaster.master][INFO] 2017-11-04 14:33:56,212: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:38055/
[rosmaster.master][INFO] 2017-11-04 14:33:56,212: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:38055/
[rosmaster.master][INFO] 2017-11-04 14:33:56,212: +PUB [/range] /novatel_node http://mdas-Meerkat:38055/
[rosmaster.master][INFO] 2017-11-04 14:33:56,213: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:38055/
[rosmaster.master][INFO] 2017-11-04 14:33:56,213: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:38055/
[rosmaster.master][INFO] 2017-11-04 14:33:56,243: +PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:35167/
[rosmaster.master][INFO] 2017-11-04 14:33:56,243: +PUB [/usb_cam_1/camera_info] /usb_cam_1 http://mdas-Meerkat:35167/
[rosmaster.master][INFO] 2017-11-04 14:33:56,254: +SERVICE [/usb_cam_1/set_camera_info] /usb_cam_1 http://mdas-Meerkat:35167/
[rosmaster.master][INFO] 2017-11-04 14:33:56,255: +SERVICE [/usb_cam_1/start_capture] /usb_cam_1 http://mdas-Meerkat:35167/
[rosmaster.master][INFO] 2017-11-04 14:33:56,255: +SERVICE [/usb_cam_1/stop_capture] /usb_cam_1 http://mdas-Meerkat:35167/
[rosmaster.master][INFO] 2017-11-04 14:33:56,284: publisherUpdate[/rosout] -> http://mdas-Meerkat:46335/
[rosmaster.master][INFO] 2017-11-04 14:33:56,285: publisherUpdate[/rosout] -> http://mdas-Meerkat:46335/
[rosmaster.master][INFO] 2017-11-04 14:34:05,909: +PUB [/rosout] /rviz_1509820446131819774 http://192.168.1.15:45397/
[rosmaster.master][INFO] 2017-11-04 14:34:05,919: +SERVICE [/rviz_1509820446131819774/get_loggers] /rviz_1509820446131819774 http://192.168.1.15:45397/
[rosmaster.master][INFO] 2017-11-04 14:34:05,927: +SERVICE [/rviz_1509820446131819774/set_logger_level] /rviz_1509820446131819774 http://192.168.1.15:45397/
[rosmaster.master][INFO] 2017-11-04 14:34:05,998: publisherUpdate[/rosout] -> http://mdas-Meerkat:46335/
[rosmaster.master][INFO] 2017-11-04 14:34:06,115: +SUB [/tf] /rviz_1509820446131819774 http://192.168.1.15:45397/
[rosmaster.master][INFO] 2017-11-04 14:34:06,171: +SUB [/tf_static] /rviz_1509820446131819774 http://192.168.1.15:45397/
[rosmaster.master][INFO] 2017-11-04 14:34:06,249: +PUB [/initialpose] /rviz_1509820446131819774 http://192.168.1.15:45397/
[rosmaster.master][INFO] 2017-11-04 14:34:06,268: +PUB [/goal] /rviz_1509820446131819774 http://192.168.1.15:45397/
[rosmaster.master][INFO] 2017-11-04 14:34:06,299: -PUB [/goal] /rviz_1509820446131819774 http://192.168.1.15:45397/
[rosmaster.master][INFO] 2017-11-04 14:34:06,312: -PUB [/initialpose] /rviz_1509820446131819774 http://192.168.1.15:45397/
[rosmaster.master][INFO] 2017-11-04 14:34:06,320: +PUB [/initialpose] /rviz_1509820446131819774 http://192.168.1.15:45397/
[rosmaster.master][INFO] 2017-11-04 14:34:06,327: +PUB [/goal] /rviz_1509820446131819774 http://192.168.1.15:45397/
[rosmaster.master][INFO] 2017-11-04 14:34:06,337: +PUB [/move_base_simple/goal] /rviz_1509820446131819774 http://192.168.1.15:45397/
[rosmaster.master][INFO] 2017-11-04 14:34:06,345: -PUB [/goal] /rviz_1509820446131819774 http://192.168.1.15:45397/
[rosmaster.master][INFO] 2017-11-04 14:34:06,353: +PUB [/clicked_point] /rviz_1509820446131819774 http://192.168.1.15:45397/
[rosmaster.master][INFO] 2017-11-04 14:34:06,378: +SERVICE [/rviz_1509820446131819774/reload_shaders] /rviz_1509820446131819774 http://192.168.1.15:45397/
[rosmaster.master][INFO] 2017-11-04 14:34:14,527: +SUB [/usb_cam_1/image_raw] /rviz_1509820446131819774 http://192.168.1.15:45397/
[rosmaster.master][INFO] 2017-11-04 14:34:26,162: +SUB [/sensor_msgs/LaserScan] /rviz_1509820446131819774 http://192.168.1.15:45397/
[rosmaster.master][INFO] 2017-11-04 14:34:57,458: +PARAM [/roslaunch/uris/host_mdas_meerkat__42711] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,467: +PARAM [/move_base/DWAPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,467: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,467: +PARAM [/move_base/DWAPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,467: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,467: +PARAM [/move_base/DWAPlannerROS/trans_stopped_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,467: +PARAM [/move_base/DWAPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,467: +PARAM [/move_base/DWAPlannerROS/min_rot_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,468: +PARAM [/move_base/DWAPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,468: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,468: +PARAM [/move_base/DWAPlannerROS/path_distance_bias] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,468: +PARAM [/move_base/local_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,468: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,468: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,468: +PARAM [/move_base/DWAPlannerROS/yaw_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,468: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,468: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,468: +PARAM [/move_base/DWAPlannerROS/publish_traj_pc] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,468: +PARAM [/move_base/DWAPlannerROS/stop_time_buffer] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,468: +PARAM [/move_base/DWAPlannerROS/min_vel_y] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,468: +PARAM [/move_base/DWAPlannerROS/min_trans_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,468: +PARAM [/move_base/DWAPlannerROS/vy_samples] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,468: +PARAM [/move_base/DWAPlannerROS/oscillation_reset_dist] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,468: +PARAM [/move_base/DWAPlannerROS/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,468: +PARAM [/move_base/global_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,468: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,469: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,469: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,469: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,469: +PARAM [/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,469: +PARAM [/move_base/DWAPlannerROS/vtheta_samples] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,469: +PARAM [/move_base/DWAPlannerROS/latch_xy_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,469: +PARAM [/move_base/DWAPlannerROS/occdist_scale] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,469: +PARAM [/slam_gmapping/map_update_interval] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,469: +PARAM [/slam_gmapping/xmax] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,469: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,469: +PARAM [/move_base/global_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,469: +PARAM [/move_base/planner_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,469: +PARAM [/move_base/DWAPlannerROS/scaling_speed] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,469: +PARAM [/move_base/local_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,469: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,469: +PARAM [/move_base/DWAPlannerROS/xy_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,469: +PARAM [/slam_gmapping/xmin] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,469: +PARAM [/move_base/DWAPlannerROS/forward_point_distance] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,470: +PARAM [/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:34:57,470: +PARAM [/slam_gmapping/delta] by /roslaunch
