[rosmaster.main][INFO] 2017-11-10 10:56:31,479: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-10 10:56:31,479: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-10 10:56:31,480: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-10 10:56:31,480: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-10 10:56:31,480: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-10 10:56:31,480: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-10 10:56:31,508: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,509: +PARAM [/roslaunch/uris/host_mdas_meerkat__34765] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,565: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,565: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,565: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,565: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,565: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,565: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,565: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,565: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,565: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,565: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,565: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,565: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,565: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,565: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,565: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,566: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,566: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,566: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,566: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,566: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,566: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,566: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,566: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 10:56:31,567: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:46509/
[rosmaster.master][INFO] 2017-11-10 10:56:31,568: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:46509/
[rosmaster.master][INFO] 2017-11-10 10:56:31,569: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:46509/
[rosmaster.master][INFO] 2017-11-10 10:56:31,586: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:37695/
[rosmaster.master][INFO] 2017-11-10 10:56:31,587: +SUB [/rosout] /rosout http://mdas-Meerkat:46509/
[rosmaster.master][INFO] 2017-11-10 10:56:31,588: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:37695/
[rosmaster.master][INFO] 2017-11-10 10:56:31,589: +PUB [/rosout] /novatel_node http://mdas-Meerkat:33765/
[rosmaster.master][INFO] 2017-11-10 10:56:31,589: +PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:46533/
[rosmaster.master][INFO] 2017-11-10 10:56:31,590: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:37695/
[rosmaster.master][INFO] 2017-11-10 10:56:31,590: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:33765/
[rosmaster.master][INFO] 2017-11-10 10:56:31,590: +SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 http://mdas-Meerkat:46533/
[rosmaster.master][INFO] 2017-11-10 10:56:31,591: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:33765/
[rosmaster.master][INFO] 2017-11-10 10:56:31,592: +SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 http://mdas-Meerkat:46533/
[rosmaster.master][INFO] 2017-11-10 10:56:31,603: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:37695/
[rosmaster.master][INFO] 2017-11-10 10:56:31,606: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:37695/
[rosmaster.master][INFO] 2017-11-10 10:56:31,617: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:33765/
[rosmaster.master][INFO] 2017-11-10 10:56:31,617: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:37695/
[rosmaster.master][INFO] 2017-11-10 10:56:31,618: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:33765/
[rosmaster.master][INFO] 2017-11-10 10:56:31,618: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:37695/
[rosmaster.master][INFO] 2017-11-10 10:56:31,619: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:33765/
[rosmaster.master][INFO] 2017-11-10 10:56:31,619: +PUB [/range] /novatel_node http://mdas-Meerkat:33765/
[rosmaster.master][INFO] 2017-11-10 10:56:31,620: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:33765/
[rosmaster.master][INFO] 2017-11-10 10:56:31,620: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:33765/
[rosmaster.master][INFO] 2017-11-10 10:56:31,630: +PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:46533/
[rosmaster.master][INFO] 2017-11-10 10:56:31,630: +PUB [/usb_cam_1/camera_info] /usb_cam_1 http://mdas-Meerkat:46533/
[rosmaster.master][INFO] 2017-11-10 10:56:31,638: +SERVICE [/usb_cam_1/set_camera_info] /usb_cam_1 http://mdas-Meerkat:46533/
[rosmaster.master][INFO] 2017-11-10 10:56:31,639: +SERVICE [/usb_cam_1/start_capture] /usb_cam_1 http://mdas-Meerkat:46533/
[rosmaster.master][INFO] 2017-11-10 10:56:31,639: +SERVICE [/usb_cam_1/stop_capture] /usb_cam_1 http://mdas-Meerkat:46533/
[rosmaster.master][INFO] 2017-11-10 10:56:31,687: publisherUpdate[/rosout] -> http://mdas-Meerkat:46509/
[rosmaster.master][INFO] 2017-11-10 10:56:31,689: publisherUpdate[/rosout] -> http://mdas-Meerkat:46509/
[rosmaster.master][INFO] 2017-11-10 10:56:31,770: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:37695/
[rosmaster.master][INFO] 2017-11-10 10:56:31,772: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:42577
[rosmaster.master][INFO] 2017-11-10 10:56:31,775: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:42577
