[rosmaster.main][INFO] 2017-11-04 14:05:21,582: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 14:05:21,582: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 14:05:21,583: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 14:05:21,583: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 14:05:21,583: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 14:05:21,583: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 14:05:21,611: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,611: +PARAM [/roslaunch/uris/host_mdas_meerkat__32855] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,669: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,670: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,670: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,670: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,670: +PARAM [/usb_cam_2/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,670: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,670: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,670: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,670: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,670: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,670: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,670: +PARAM [/usb_cam_2/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,670: +PARAM [/usb_cam_2/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,670: +PARAM [/usb_cam_2/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,670: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,670: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,670: +PARAM [/usb_cam_2/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,670: +PARAM [/usb_cam_2/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,671: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,671: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,671: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,671: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,671: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,671: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,671: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,671: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,671: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,671: +PARAM [/usb_cam_2/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,671: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,671: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 14:05:21,697: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:34245/
[rosmaster.master][INFO] 2017-11-04 14:05:21,697: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:33815/
[rosmaster.master][INFO] 2017-11-04 14:05:21,698: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:34245/
[rosmaster.master][INFO] 2017-11-04 14:05:21,698: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:33815/
[rosmaster.master][INFO] 2017-11-04 14:05:21,699: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:34245/
[rosmaster.master][INFO] 2017-11-04 14:05:21,700: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:33815/
[rosmaster.master][INFO] 2017-11-04 14:05:21,705: +SUB [/rosout] /rosout http://mdas-Meerkat:33815/
[rosmaster.master][INFO] 2017-11-04 14:05:21,707: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:34245/
[rosmaster.master][INFO] 2017-11-04 14:05:21,708: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:34245/
[rosmaster.master][INFO] 2017-11-04 14:05:21,710: +PUB [/rosout] /novatel_node http://mdas-Meerkat:43567/
[rosmaster.master][INFO] 2017-11-04 14:05:21,711: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:43567/
[rosmaster.master][INFO] 2017-11-04 14:05:21,712: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:43567/
[rosmaster.master][INFO] 2017-11-04 14:05:21,730: +PUB [/rosout] /usb_cam_2 http://mdas-Meerkat:36481/
[rosmaster.master][INFO] 2017-11-04 14:05:21,730: +PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:35669/
[rosmaster.master][INFO] 2017-11-04 14:05:21,731: +SERVICE [/usb_cam_2/get_loggers] /usb_cam_2 http://mdas-Meerkat:36481/
[rosmaster.master][INFO] 2017-11-04 14:05:21,732: +SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 http://mdas-Meerkat:35669/
[rosmaster.master][INFO] 2017-11-04 14:05:21,732: +SERVICE [/usb_cam_2/set_logger_level] /usb_cam_2 http://mdas-Meerkat:36481/
[rosmaster.master][INFO] 2017-11-04 14:05:21,733: +SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 http://mdas-Meerkat:35669/
[rosmaster.master][INFO] 2017-11-04 14:05:21,739: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:43567/
[rosmaster.master][INFO] 2017-11-04 14:05:21,739: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:43567/
[rosmaster.master][INFO] 2017-11-04 14:05:21,740: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:43567/
[rosmaster.master][INFO] 2017-11-04 14:05:21,740: +PUB [/range] /novatel_node http://mdas-Meerkat:43567/
[rosmaster.master][INFO] 2017-11-04 14:05:21,740: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:43567/
[rosmaster.master][INFO] 2017-11-04 14:05:21,741: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:43567/
[rosmaster.master][INFO] 2017-11-04 14:05:21,783: publisherUpdate[/rosout] -> http://mdas-Meerkat:33815/
[rosmaster.master][INFO] 2017-11-04 14:05:21,784: publisherUpdate[/rosout] -> http://mdas-Meerkat:33815/
[rosmaster.master][INFO] 2017-11-04 14:05:21,785: publisherUpdate[/rosout] -> http://mdas-Meerkat:33815/
[rosmaster.master][INFO] 2017-11-04 14:05:21,790: +PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:35669/
[rosmaster.master][INFO] 2017-11-04 14:05:21,790: +PUB [/usb_cam_2/image_raw] /usb_cam_2 http://mdas-Meerkat:36481/
[rosmaster.master][INFO] 2017-11-04 14:05:21,791: +PUB [/usb_cam_1/camera_info] /usb_cam_1 http://mdas-Meerkat:35669/
[rosmaster.master][INFO] 2017-11-04 14:05:21,791: +PUB [/usb_cam_2/camera_info] /usb_cam_2 http://mdas-Meerkat:36481/
[rosmaster.master][INFO] 2017-11-04 14:05:21,808: +SERVICE [/usb_cam_1/set_camera_info] /usb_cam_1 http://mdas-Meerkat:35669/
[rosmaster.master][INFO] 2017-11-04 14:05:21,808: +SERVICE [/usb_cam_1/start_capture] /usb_cam_1 http://mdas-Meerkat:35669/
[rosmaster.master][INFO] 2017-11-04 14:05:21,809: +SERVICE [/usb_cam_1/stop_capture] /usb_cam_1 http://mdas-Meerkat:35669/
[rosmaster.master][INFO] 2017-11-04 14:05:21,809: +SERVICE [/usb_cam_2/set_camera_info] /usb_cam_2 http://mdas-Meerkat:36481/
[rosmaster.master][INFO] 2017-11-04 14:05:21,810: +SERVICE [/usb_cam_2/start_capture] /usb_cam_2 http://mdas-Meerkat:36481/
[rosmaster.master][INFO] 2017-11-04 14:05:21,810: +SERVICE [/usb_cam_2/stop_capture] /usb_cam_2 http://mdas-Meerkat:36481/
[rosmaster.master][INFO] 2017-11-04 14:05:21,888: -PUB [/rosout] /usb_cam_2 http://mdas-Meerkat:36481/
