[rosmaster.main][INFO] 2017-11-10 11:03:49,789: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-10 11:03:49,790: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-10 11:03:49,790: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-10 11:03:49,790: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-10 11:03:49,790: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-10 11:03:49,791: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-10 11:03:49,818: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:49,818: +PARAM [/roslaunch/uris/host_mdas_meerkat__46013] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:49,874: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:49,874: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:49,875: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:49,875: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:49,875: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:49,875: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:49,875: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:49,875: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:49,875: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:49,875: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:49,875: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:49,875: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 11:03:49,876: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:37365/
[rosmaster.master][INFO] 2017-11-10 11:03:49,877: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:37365/
[rosmaster.master][INFO] 2017-11-10 11:03:49,878: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:37365/
[rosmaster.master][INFO] 2017-11-10 11:03:49,882: +SUB [/rosout] /rosout http://mdas-Meerkat:37365/
[rosmaster.master][INFO] 2017-11-10 11:03:49,886: +PUB [/rosout] /novatel_node http://mdas-Meerkat:37863/
[rosmaster.master][INFO] 2017-11-10 11:03:49,886: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:37863/
[rosmaster.master][INFO] 2017-11-10 11:03:49,887: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:37863/
[rosmaster.master][INFO] 2017-11-10 11:03:49,890: publisherUpdate[/rosout] -> http://mdas-Meerkat:37365/
[rosmaster.master][INFO] 2017-11-10 11:03:49,896: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:37863/
[rosmaster.master][INFO] 2017-11-10 11:03:49,897: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:37863/
[rosmaster.master][INFO] 2017-11-10 11:03:49,897: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:37863/
[rosmaster.master][INFO] 2017-11-10 11:03:49,897: +PUB [/range] /novatel_node http://mdas-Meerkat:37863/
[rosmaster.master][INFO] 2017-11-10 11:03:49,898: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:37863/
[rosmaster.master][INFO] 2017-11-10 11:03:49,898: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:37863/
[rosmaster.master][INFO] 2017-11-10 11:05:01,512: -PUB [/rosout] /novatel_node http://mdas-Meerkat:37863/
[rosmaster.master][INFO] 2017-11-10 11:05:01,512: -PUB [/gps_odom] /novatel_node http://mdas-Meerkat:37863/
[rosmaster.master][INFO] 2017-11-10 11:05:01,513: -PUB [/gps_fix] /novatel_node http://mdas-Meerkat:37863/
[rosmaster.master][INFO] 2017-11-10 11:05:01,513: -PUB [/ephemeris] /novatel_node http://mdas-Meerkat:37863/
[rosmaster.master][INFO] 2017-11-10 11:05:01,514: -PUB [/range] /novatel_node http://mdas-Meerkat:37863/
[rosmaster.master][INFO] 2017-11-10 11:05:01,514: -PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:37863/
[rosmaster.master][INFO] 2017-11-10 11:05:01,514: -PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:37863/
[rosmaster.master][INFO] 2017-11-10 11:05:01,515: -SERVICE [/novatel_node/get_loggers] /novatel_node rosrpc://mdas-Meerkat:59883
[rosmaster.master][INFO] 2017-11-10 11:05:01,515: -SERVICE [/novatel_node/set_logger_level] /novatel_node rosrpc://mdas-Meerkat:59883
