[rosmaster.main][INFO] 2017-11-03 15:46:58,615: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-03 15:46:58,615: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-03 15:46:58,616: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-03 15:46:58,616: Started XML-RPC server [http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-03 15:46:58,616: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-03 15:46:58,616: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-03 15:46:58,641: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:46:58,642: +PARAM [/roslaunch/uris/host_mdas_meerkat__46851] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:46:58,701: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:46:58,701: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:46:58,702: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:46:58,702: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:46:58,702: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:46:58,702: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:46:58,705: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:39247/
[rosmaster.master][INFO] 2017-11-03 15:46:58,707: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:39247/
[rosmaster.master][INFO] 2017-11-03 15:46:58,708: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:39247/
[rosmaster.master][INFO] 2017-11-03 15:46:58,711: +SUB [/rosout] /rosout http://mdas-Meerkat:39247/
[rosmaster.master][INFO] 2017-11-03 15:46:58,713: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:37571/
[rosmaster.master][INFO] 2017-11-03 15:46:58,713: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:37571/
[rosmaster.master][INFO] 2017-11-03 15:46:58,713: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:37571/
[rosmaster.master][INFO] 2017-11-03 15:46:58,716: publisherUpdate[/rosout] -> http://mdas-Meerkat:39247/
[rosmaster.master][INFO] 2017-11-03 15:46:58,718: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:37571/
[rosmaster.master][INFO] 2017-11-03 15:46:58,719: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:37571/
[rosmaster.master][INFO] 2017-11-03 15:46:58,724: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:37571/
[rosmaster.master][INFO] 2017-11-03 15:46:58,724: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:37571/
[rosmaster.master][INFO] 2017-11-03 15:46:58,818: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:37571/
[rosmaster.master][INFO] 2017-11-03 15:46:58,820: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:57611
[rosmaster.master][INFO] 2017-11-03 15:46:58,822: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:57611
[rosmaster.master][INFO] 2017-11-03 15:46:58,916: publisherUpdate[/rosout] -> http://mdas-Meerkat:39247/
[rosmaster.master][INFO] 2017-11-03 15:46:58,962: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:34017/
[rosmaster.master][INFO] 2017-11-03 15:46:58,963: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:34017/
[rosmaster.master][INFO] 2017-11-03 15:46:58,965: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:34017/
[rosmaster.master][INFO] 2017-11-03 15:46:58,972: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:34017/
[rosmaster.master][INFO] 2017-11-03 15:46:58,974: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:34017/
[rosmaster.master][INFO] 2017-11-03 15:46:58,981: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:34017/
[rosmaster.master][INFO] 2017-11-03 15:46:58,981: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:34017/
[rosmaster.master][INFO] 2017-11-03 15:46:59,018: publisherUpdate[/rosout] -> http://mdas-Meerkat:39247/
[rosmaster.master][INFO] 2017-11-03 15:46:59,121: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:34017/
[rosmaster.master][INFO] 2017-11-03 15:46:59,124: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:45899
[rosmaster.master][INFO] 2017-11-03 15:46:59,127: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:45899
[rosmaster.master][INFO] 2017-11-03 15:46:59,218: publisherUpdate[/rosout] -> http://mdas-Meerkat:39247/
[rosmaster.master][INFO] 2017-11-03 15:46:59,276: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:46011/
[rosmaster.master][INFO] 2017-11-03 15:46:59,278: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:46011/
[rosmaster.master][INFO] 2017-11-03 15:46:59,279: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:46011/
[rosmaster.master][INFO] 2017-11-03 15:46:59,287: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:46011/
