[rosmaster.main][INFO] 2017-11-10 13:34:17,359: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-10 13:34:17,360: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-10 13:34:17,360: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-10 13:34:17,360: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-10 13:34:17,360: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-10 13:34:17,360: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-10 13:34:17,385: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 13:34:17,386: +PARAM [/roslaunch/uris/host_mdas_meerkat__42597] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 13:34:17,447: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 13:34:17,448: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-10 13:34:17,474: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:35945/
[rosmaster.master][INFO] 2017-11-10 13:34:17,476: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:35945/
[rosmaster.master][INFO] 2017-11-10 13:34:17,481: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:35945/
[rosmaster.master][INFO] 2017-11-10 13:34:17,490: +SUB [/rosout] /rosout http://mdas-Meerkat:35945/
[rosmaster.master][INFO] 2017-11-10 13:34:35,081: +PUB [/rosout] /play_1510338875079513594 http://mdas-Meerkat:45177/
[rosmaster.master][INFO] 2017-11-10 13:34:35,081: +SERVICE [/play_1510338875079513594/get_loggers] /play_1510338875079513594 http://mdas-Meerkat:45177/
[rosmaster.master][INFO] 2017-11-10 13:34:35,082: +SERVICE [/play_1510338875079513594/set_logger_level] /play_1510338875079513594 http://mdas-Meerkat:45177/
