[rosmaster.main][INFO] 2017-11-04 13:51:22,836: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 13:51:22,836: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 13:51:22,836: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 13:51:22,836: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 13:51:22,836: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 13:51:22,837: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 13:51:22,863: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:51:22,864: +PARAM [/roslaunch/uris/host_mdas_meerkat__39953] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:51:22,919: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:51:22,919: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:51:22,923: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:43729/
[rosmaster.master][INFO] 2017-11-04 13:51:22,923: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:43729/
[rosmaster.master][INFO] 2017-11-04 13:51:22,929: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:43729/
[rosmaster.master][INFO] 2017-11-04 13:51:22,931: +SUB [/rosout] /rosout http://mdas-Meerkat:43729/
[rosmaster.master][INFO] 2017-11-04 13:52:41,195: +PARAM [/roslaunch/uris/host_mdas_meerkat__33643] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:52:41,203: +PARAM [/move_base/DWAPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:52:41,203: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:52:41,203: +PARAM [/move_base/DWAPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:52:41,203: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:52:41,203: +PARAM [/move_base/DWAPlannerROS/trans_stopped_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:52:41,203: +PARAM [/move_base/DWAPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:52:41,203: +PARAM [/move_base/DWAPlannerROS/min_rot_vel] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 13:52:41,203: +PARAM [/move_base/DWAPlannerROS/max_vel_x] by /roslaunch
