[rosmaster.main][INFO] 2017-11-09 15:44:25,839: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-09 15:44:25,839: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-09 15:44:25,839: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-09 15:44:25,839: Started XML-RPC server [http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-09 15:44:25,839: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-09 15:44:25,840: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-09 15:44:25,872: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-09 15:44:25,876: +PARAM [/roslaunch/uris/host_mdas_meerkat__42699] by /roslaunch
[rosmaster.master][INFO] 2017-11-09 15:44:25,956: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-09 15:44:25,956: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:44921/
[rosmaster.master][INFO] 2017-11-09 15:44:25,956: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-09 15:44:25,957: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:44921/
[rosmaster.master][INFO] 2017-11-09 15:44:25,958: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:44921/
[rosmaster.master][INFO] 2017-11-09 15:44:25,960: +SUB [/rosout] /rosout http://mdas-Meerkat:44921/
[rosmaster.master][INFO] 2017-11-09 15:45:20,978: +PUB [/rosout] /play_1510260320976504788 http://mdas-Meerkat:39865/
[rosmaster.master][INFO] 2017-11-09 15:45:20,978: +SERVICE [/play_1510260320976504788/get_loggers] /play_1510260320976504788 http://mdas-Meerkat:39865/
[rosmaster.master][INFO] 2017-11-09 15:45:20,979: +SERVICE [/play_1510260320976504788/set_logger_level] /play_1510260320976504788 http://mdas-Meerkat:39865/
[rosmaster.master][INFO] 2017-11-09 15:45:20,979: +PUB [/clock] /play_1510260320976504788 http://mdas-Meerkat:39865/
[rosmaster.master][INFO] 2017-11-09 15:45:21,011: publisherUpdate[/rosout] -> http://mdas-Meerkat:44921/
[rosmaster.master][INFO] 2017-11-09 15:45:21,024: +PUB [/sensor_msgs/LaserScan] /play_1510260320976504788 http://mdas-Meerkat:39865/
[rosmaster.master][INFO] 2017-11-09 15:45:21,024: +PUB [/gps_fix] /play_1510260320976504788 http://mdas-Meerkat:39865/
[rosmaster.master][INFO] 2017-11-09 15:45:21,025: +PUB [/gps_odom] /play_1510260320976504788 http://mdas-Meerkat:39865/
[rosmaster.master][INFO] 2017-11-09 15:45:21,025: +PUB [/gps_fix_psr] /play_1510260320976504788 http://mdas-Meerkat:39865/
[rosmaster.master][INFO] 2017-11-09 15:45:21,025: +PUB [/usb_cam_1/camera_info] /play_1510260320976504788 http://mdas-Meerkat:39865/
[rosmaster.master][INFO] 2017-11-09 15:45:21,026: +PUB [/usb_cam_1/image_raw] /play_1510260320976504788 http://mdas-Meerkat:39865/
[rosmaster.master][INFO] 2017-11-09 15:45:21,026: +PUB [/rosout_agg] /play_1510260320976504788 http://mdas-Meerkat:39865/
[rosmaster.master][INFO] 2017-11-09 15:45:21,027: +PUB [/diagnostics] /play_1510260320976504788 http://mdas-Meerkat:39865/
[rosmaster.master][INFO] 2017-11-09 15:45:28,668: +PUB [/rosout] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:45:28,668: +SERVICE [/rviz_1510260328666585005/get_loggers] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:45:28,669: +SERVICE [/rviz_1510260328666585005/set_logger_level] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:45:28,728: publisherUpdate[/rosout] -> http://mdas-Meerkat:44921/
[rosmaster.master][INFO] 2017-11-09 15:45:29,242: +SUB [/tf] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:45:29,245: +SUB [/tf_static] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:45:29,320: +PUB [/initialpose] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:45:29,322: +PUB [/goal] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:45:29,346: -PUB [/goal] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:45:29,347: -PUB [/initialpose] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:45:29,350: +PUB [/initialpose] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:45:29,350: +PUB [/goal] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:45:29,351: +PUB [/move_base_simple/goal] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:45:29,351: -PUB [/goal] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:45:29,352: +PUB [/clicked_point] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:45:29,370: +SERVICE [/rviz_1510260328666585005/reload_shaders] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:45:38,555: +SUB [/usb_cam_1/image_raw] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:45:56,757: +SUB [/gps_odom] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:46:13,191: -SUB [/usb_cam_1/image_raw] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:46:13,208: -SUB [/gps_odom] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:46:13,210: -PUB [/clicked_point] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:46:13,211: -PUB [/move_base_simple/goal] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:46:13,213: -PUB [/initialpose] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:46:13,219: -SUB [/tf_static] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:46:13,221: -SUB [/tf] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:46:13,224: -SERVICE [/rviz_1510260328666585005/reload_shaders] /rviz_1510260328666585005 rosrpc://mdas-Meerkat:41959
[rosmaster.master][INFO] 2017-11-09 15:46:13,310: -PUB [/rosout] /rviz_1510260328666585005 http://mdas-Meerkat:40035/
[rosmaster.master][INFO] 2017-11-09 15:46:13,312: -SERVICE [/rviz_1510260328666585005/get_loggers] /rviz_1510260328666585005 rosrpc://mdas-Meerkat:41959
[rosmaster.master][INFO] 2017-11-09 15:46:13,312: publisherUpdate[/rosout] -> http://mdas-Meerkat:44921/
[rosmaster.master][INFO] 2017-11-09 15:46:13,313: -SERVICE [/rviz_1510260328666585005/set_logger_level] /rviz_1510260328666585005 rosrpc://mdas-Meerkat:41959
[rosmaster.master][INFO] 2017-11-09 15:50:21,540: -PUB [/rosout] /play_1510260320976504788 http://mdas-Meerkat:39865/
[rosmaster.master][INFO] 2017-11-09 15:50:21,543: -PUB [/clock] /play_1510260320976504788 http://mdas-Meerkat:39865/
[rosmaster.master][INFO] 2017-11-09 15:50:21,546: -PUB [/sensor_msgs/LaserScan] /play_1510260320976504788 http://mdas-Meerkat:39865/
[rosmaster.master][INFO] 2017-11-09 15:50:21,549: -PUB [/gps_fix] /play_1510260320976504788 http://mdas-Meerkat:39865/
[rosmaster.master][INFO] 2017-11-09 15:50:21,551: -PUB [/gps_odom] /play_1510260320976504788 http://mdas-Meerkat:39865/
[rosmaster.master][INFO] 2017-11-09 15:50:21,554: -PUB [/gps_fix_psr] /play_1510260320976504788 http://mdas-Meerkat:39865/
[rosmaster.master][INFO] 2017-11-09 15:50:21,556: -PUB [/usb_cam_1/camera_info] /play_1510260320976504788 http://mdas-Meerkat:39865/
[rosmaster.master][INFO] 2017-11-09 15:50:21,557: publisherUpdate[/rosout] -> http://mdas-Meerkat:44921/
