[rosmaster.main][INFO] 2017-11-04 12:32:44,786: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 12:32:44,786: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 12:32:44,787: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 12:32:44,787: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 12:32:44,787: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 12:32:44,787: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 12:32:44,811: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:32:44,812: +PARAM [/roslaunch/uris/host_mdas_meerkat__40531] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:32:44,871: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:32:44,871: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:32:44,871: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:32:44,871: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:32:44,871: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:32:44,871: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:32:44,875: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:43015/
[rosmaster.master][INFO] 2017-11-04 12:32:44,876: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:43015/
[rosmaster.master][INFO] 2017-11-04 12:32:44,877: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:43015/
[rosmaster.master][INFO] 2017-11-04 12:32:44,879: +SUB [/rosout] /rosout http://mdas-Meerkat:43015/
[rosmaster.master][INFO] 2017-11-04 12:32:44,881: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:45551/
[rosmaster.master][INFO] 2017-11-04 12:32:44,883: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:45551/
[rosmaster.master][INFO] 2017-11-04 12:32:44,883: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:45551/
[rosmaster.master][INFO] 2017-11-04 12:32:44,886: publisherUpdate[/rosout] -> http://mdas-Meerkat:43015/
[rosmaster.master][INFO] 2017-11-04 12:32:44,887: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:45551/
[rosmaster.master][INFO] 2017-11-04 12:32:44,889: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:45551/
[rosmaster.master][INFO] 2017-11-04 12:32:44,893: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:45551/
[rosmaster.master][INFO] 2017-11-04 12:32:44,893: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:45551/
[rosmaster.master][INFO] 2017-11-04 12:32:44,990: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:45551/
[rosmaster.master][INFO] 2017-11-04 12:32:44,993: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:45287
[rosmaster.master][INFO] 2017-11-04 12:32:44,996: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:45287
[rosmaster.master][INFO] 2017-11-04 12:32:45,087: publisherUpdate[/rosout] -> http://mdas-Meerkat:43015/
[rosmaster.master][INFO] 2017-11-04 12:32:45,235: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:36023/
[rosmaster.master][INFO] 2017-11-04 12:32:45,237: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:36023/
[rosmaster.master][INFO] 2017-11-04 12:32:45,238: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:36023/
[rosmaster.master][INFO] 2017-11-04 12:32:45,248: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:36023/
