[rosmaster.main][INFO] 2017-11-02 15:48:24,434: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-02 15:48:24,434: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-02 15:48:24,435: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-02 15:48:24,435: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-02 15:48:24,435: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-02 15:48:24,435: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-02 15:48:24,452: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-02 15:48:24,452: +PARAM [/roslaunch/uris/host_mdas_meerkat__44581] by /roslaunch
[rosmaster.master][INFO] 2017-11-02 15:48:24,512: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-02 15:48:24,512: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-02 15:48:24,525: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:44767/
[rosmaster.master][INFO] 2017-11-02 15:48:24,526: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:44767/
[rosmaster.master][INFO] 2017-11-02 15:48:24,527: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:44767/
[rosmaster.master][INFO] 2017-11-02 15:48:24,529: +SUB [/rosout] /rosout http://mdas-Meerkat:44767/
[rosmaster.master][INFO] 2017-11-02 15:48:24,665: +PUB [/rosout] /rviz http://mdas-Meerkat:45155/
[rosmaster.master][INFO] 2017-11-02 15:48:24,666: +SERVICE [/rviz/get_loggers] /rviz http://mdas-Meerkat:45155/
[rosmaster.master][INFO] 2017-11-02 15:48:24,666: +SERVICE [/rviz/set_logger_level] /rviz http://mdas-Meerkat:45155/
[rosmaster.master][INFO] 2017-11-02 15:48:24,735: publisherUpdate[/rosout] -> http://mdas-Meerkat:44767/
[rosmaster.master][INFO] 2017-11-02 15:48:25,258: +SUB [/tf] /rviz http://mdas-Meerkat:45155/
[rosmaster.master][INFO] 2017-11-02 15:48:25,261: +SUB [/tf_static] /rviz http://mdas-Meerkat:45155/
[rosmaster.master][INFO] 2017-11-02 15:48:25,348: +PUB [/initialpose] /rviz http://mdas-Meerkat:45155/
[rosmaster.master][INFO] 2017-11-02 15:48:25,349: +PUB [/goal] /rviz http://mdas-Meerkat:45155/
[rosmaster.master][INFO] 2017-11-02 15:48:25,391: +SUB [/map] /rviz http://mdas-Meerkat:45155/
[rosmaster.master][INFO] 2017-11-02 15:48:25,393: +SUB [/map_updates] /rviz http://mdas-Meerkat:45155/
[rosmaster.master][INFO] 2017-11-02 15:48:25,395: +SUB [/move_base/DWAPlannerROS/global_plan] /rviz http://mdas-Meerkat:45155/
[rosmaster.master][INFO] 2017-11-02 15:48:25,419: +SUB [/front_wobbler/point_cloud] /rviz http://mdas-Meerkat:45155/
[rosmaster.master][INFO] 2017-11-02 15:48:25,423: +SUB [/move_base/global_costmap/footprint] /rviz http://mdas-Meerkat:45155/
[rosmaster.master][INFO] 2017-11-02 15:48:25,425: +SUB [/move_base/local_costmap/footprint] /rviz http://mdas-Meerkat:45155/
[rosmaster.master][INFO] 2017-11-02 15:48:25,427: +SUB [/move_base/current_goal] /rviz http://mdas-Meerkat:45155/
[rosmaster.master][INFO] 2017-11-02 15:48:25,429: +SUB [/move_base/DWAPlannerROS/local_plan] /rviz http://mdas-Meerkat:45155/
[rosmaster.master][INFO] 2017-11-02 15:48:25,453: +SUB [/rear_wobbler/point_cloud] /rviz http://mdas-Meerkat:45155/
