[rosmaster.main][INFO] 2018-07-06 12:29:54,248: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-07-06 12:29:54,248: Starting ROS Master Node
[xmlrpc][INFO] 2018-07-06 12:29:54,249: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-07-06 12:29:54,249: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2018-07-06 12:29:54,249: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-07-06 12:29:54,249: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2018-07-06 12:29:54,277: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:29:54,278: +PARAM [/roslaunch/uris/host_mdas_meerkat__39997] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:29:54,334: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:29:54,334: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:29:54,335: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:29:54,335: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:29:54,335: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:29:54,335: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:29:54,335: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:29:54,335: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:29:54,335: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:29:54,335: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:29:54,335: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
