[rosmaster.main][INFO] 2017-11-03 15:25:59,408: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-03 15:25:59,408: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-03 15:25:59,409: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-03 15:25:59,409: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-03 15:25:59,409: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-03 15:25:59,409: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-03 15:25:59,434: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:25:59,435: +PARAM [/roslaunch/uris/host_mdas_meerkat__33999] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:25:59,497: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:25:59,497: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:25:59,497: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:25:59,498: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:25:59,498: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:25:59,498: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-03 15:25:59,518: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:42909/
[rosmaster.master][INFO] 2017-11-03 15:25:59,519: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:34531/
[rosmaster.master][INFO] 2017-11-03 15:25:59,519: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:42909/
[rosmaster.master][INFO] 2017-11-03 15:25:59,519: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:34531/
[rosmaster.master][INFO] 2017-11-03 15:25:59,520: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:34531/
[rosmaster.master][INFO] 2017-11-03 15:25:59,521: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:42909/
[rosmaster.master][INFO] 2017-11-03 15:25:59,526: +SUB [/rosout] /rosout http://mdas-Meerkat:42909/
[rosmaster.master][INFO] 2017-11-03 15:25:59,529: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:34531/
[rosmaster.master][INFO] 2017-11-03 15:25:59,530: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:34531/
[rosmaster.master][INFO] 2017-11-03 15:25:59,534: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:34531/
[rosmaster.master][INFO] 2017-11-03 15:25:59,535: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:34531/
[rosmaster.master][INFO] 2017-11-03 15:25:59,722: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:34531/
[rosmaster.master][INFO] 2017-11-03 15:25:59,725: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:50745
[rosmaster.master][INFO] 2017-11-03 15:25:59,728: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:50745
[rosmaster.master][INFO] 2017-11-03 15:25:59,810: publisherUpdate[/rosout] -> http://mdas-Meerkat:42909/
[rosmaster.master][INFO] 2017-11-03 15:25:59,952: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:36343/
[rosmaster.master][INFO] 2017-11-03 15:25:59,955: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:36343/
[rosmaster.master][INFO] 2017-11-03 15:25:59,956: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:36343/
[rosmaster.master][INFO] 2017-11-03 15:25:59,965: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:36343/
[rosmaster.master][INFO] 2017-11-03 15:25:59,967: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:36343/
