[rosmaster.main][INFO] 2017-11-04 12:40:10,385: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 12:40:10,385: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 12:40:10,386: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 12:40:10,386: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 12:40:10,386: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 12:40:10,386: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 12:40:10,411: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:40:10,412: +PARAM [/roslaunch/uris/host_mdas_meerkat__36389] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:40:10,471: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:40:10,471: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:40:10,471: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:40:10,472: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:40:10,472: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:40:10,472: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:40:10,476: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:35005/
[rosmaster.master][INFO] 2017-11-04 12:40:10,477: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:35005/
[rosmaster.master][INFO] 2017-11-04 12:40:10,478: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:35005/
[rosmaster.master][INFO] 2017-11-04 12:40:10,480: +SUB [/rosout] /rosout http://mdas-Meerkat:35005/
[rosmaster.master][INFO] 2017-11-04 12:40:10,482: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:41559/
[rosmaster.master][INFO] 2017-11-04 12:40:10,483: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:41559/
[rosmaster.master][INFO] 2017-11-04 12:40:10,484: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:41559/
[rosmaster.master][INFO] 2017-11-04 12:40:10,486: publisherUpdate[/rosout] -> http://mdas-Meerkat:35005/
[rosmaster.master][INFO] 2017-11-04 12:40:10,488: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:41559/
[rosmaster.master][INFO] 2017-11-04 12:40:10,490: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:41559/
[rosmaster.master][INFO] 2017-11-04 12:40:10,494: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:41559/
[rosmaster.master][INFO] 2017-11-04 12:40:10,494: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:41559/
[rosmaster.master][INFO] 2017-11-04 12:40:10,590: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:41559/
[rosmaster.master][INFO] 2017-11-04 12:40:10,592: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:56089
[rosmaster.master][INFO] 2017-11-04 12:40:10,594: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:56089
[rosmaster.master][INFO] 2017-11-04 12:40:10,687: publisherUpdate[/rosout] -> http://mdas-Meerkat:35005/
[rosmaster.master][INFO] 2017-11-04 12:40:10,834: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:39127/
[rosmaster.master][INFO] 2017-11-04 12:40:10,835: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:39127/
[rosmaster.master][INFO] 2017-11-04 12:40:10,836: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:39127/
[rosmaster.master][INFO] 2017-11-04 12:40:10,846: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:39127/
[rosmaster.master][INFO] 2017-11-04 12:40:10,849: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:39127/
[rosmaster.master][INFO] 2017-11-04 12:40:10,860: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:39127/
[rosmaster.master][INFO] 2017-11-04 12:40:10,861: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:39127/
[rosmaster.master][INFO] 2017-11-04 12:40:10,889: publisherUpdate[/rosout] -> http://mdas-Meerkat:35005/
[rosmaster.master][INFO] 2017-11-04 12:40:10,992: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:39127/
[rosmaster.master][INFO] 2017-11-04 12:40:10,995: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:45713
[rosmaster.master][INFO] 2017-11-04 12:40:10,998: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:45713
[rosmaster.master][INFO] 2017-11-04 12:40:11,089: publisherUpdate[/rosout] -> http://mdas-Meerkat:35005/
[rosmaster.master][INFO] 2017-11-04 12:40:11,244: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:44747/
[rosmaster.master][INFO] 2017-11-04 12:40:11,245: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:44747/
[rosmaster.master][INFO] 2017-11-04 12:40:11,246: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:44747/
[rosmaster.master][INFO] 2017-11-04 12:40:11,255: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:44747/
[rosmaster.master][INFO] 2017-11-04 12:40:11,257: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:44747/
[rosmaster.master][INFO] 2017-11-04 12:40:11,269: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:44747/
[rosmaster.master][INFO] 2017-11-04 12:40:11,270: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:44747/
[rosmaster.master][INFO] 2017-11-04 12:40:11,291: publisherUpdate[/rosout] -> http://mdas-Meerkat:35005/
[rosmaster.master][INFO] 2017-11-04 12:40:11,395: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:44747/
[rosmaster.master][INFO] 2017-11-04 12:40:11,398: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:60525
[rosmaster.master][INFO] 2017-11-04 12:40:11,400: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:60525
[rosmaster.master][INFO] 2017-11-04 12:40:11,492: publisherUpdate[/rosout] -> http://mdas-Meerkat:35005/
[rosmaster.master][INFO] 2017-11-04 12:40:11,556: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:39757/
[rosmaster.master][INFO] 2017-11-04 12:40:11,558: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:39757/
[rosmaster.master][INFO] 2017-11-04 12:40:11,559: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:39757/
[rosmaster.master][INFO] 2017-11-04 12:40:11,569: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:39757/
[rosmaster.master][INFO] 2017-11-04 12:40:11,572: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:39757/
[rosmaster.master][INFO] 2017-11-04 12:40:11,583: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:39757/
[rosmaster.master][INFO] 2017-11-04 12:40:11,584: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:39757/
[rosmaster.master][INFO] 2017-11-04 12:40:11,593: publisherUpdate[/rosout] -> http://mdas-Meerkat:35005/
[rosmaster.master][INFO] 2017-11-04 12:40:11,697: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:39757/
[rosmaster.master][INFO] 2017-11-04 12:40:11,699: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:52087
[rosmaster.master][INFO] 2017-11-04 12:40:11,702: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:52087
