[rosmaster.main][INFO] 2017-11-08 13:37:17,970: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-08 13:37:17,971: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-08 13:37:17,971: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-08 13:37:17,971: Started XML-RPC server [http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-08 13:37:17,972: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-08 13:37:17,972: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-08 13:37:17,999: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:37:18,000: +PARAM [/roslaunch/uris/host_mdas_meerkat__38393] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:37:18,057: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:37:18,057: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:37:18,057: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:37:18,057: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:37:18,057: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:37:18,057: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:37:18,057: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:37:18,057: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:37:18,057: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:37:18,057: +PARAM [/base_laser1/resolution] by /roslaunch
