[rosmaster.main][INFO] 2017-11-04 12:33:18,074: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-04 12:33:18,075: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-04 12:33:18,075: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-04 12:33:18,075: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-04 12:33:18,075: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-04 12:33:18,076: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-04 12:33:18,102: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:33:18,103: +PARAM [/roslaunch/uris/host_mdas_meerkat__42739] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:33:18,163: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:33:18,163: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:33:18,163: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:33:18,163: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:33:18,163: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:33:18,163: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-04 12:33:18,167: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:37929/
[rosmaster.master][INFO] 2017-11-04 12:33:18,167: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:37929/
[rosmaster.master][INFO] 2017-11-04 12:33:18,168: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:37929/
[rosmaster.master][INFO] 2017-11-04 12:33:18,170: +SUB [/rosout] /rosout http://mdas-Meerkat:37929/
[rosmaster.master][INFO] 2017-11-04 12:33:18,173: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:36465/
[rosmaster.master][INFO] 2017-11-04 12:33:18,175: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:36465/
[rosmaster.master][INFO] 2017-11-04 12:33:18,175: publisherUpdate[/rosout] -> http://mdas-Meerkat:37929/
[rosmaster.master][INFO] 2017-11-04 12:33:18,176: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:36465/
[rosmaster.master][INFO] 2017-11-04 12:33:18,179: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:36465/
[rosmaster.master][INFO] 2017-11-04 12:33:18,180: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:36465/
[rosmaster.master][INFO] 2017-11-04 12:33:18,185: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:36465/
[rosmaster.master][INFO] 2017-11-04 12:33:18,185: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:36465/
[rosmaster.master][INFO] 2017-11-04 12:33:18,380: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:36465/
[rosmaster.master][INFO] 2017-11-04 12:33:18,383: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:41761
[rosmaster.master][INFO] 2017-11-04 12:33:18,386: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:41761
[rosmaster.master][INFO] 2017-11-04 12:33:18,476: publisherUpdate[/rosout] -> http://mdas-Meerkat:37929/
[rosmaster.master][INFO] 2017-11-04 12:33:18,620: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:43897/
[rosmaster.master][INFO] 2017-11-04 12:33:18,622: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:43897/
[rosmaster.master][INFO] 2017-11-04 12:33:18,623: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:43897/
[rosmaster.master][INFO] 2017-11-04 12:33:18,633: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:43897/
[rosmaster.master][INFO] 2017-11-04 12:33:18,635: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:43897/
[rosmaster.master][INFO] 2017-11-04 12:33:18,643: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:43897/
[rosmaster.master][INFO] 2017-11-04 12:33:18,644: -PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:43897/
[rosmaster.master][INFO] 2017-11-04 12:33:18,677: publisherUpdate[/rosout] -> http://mdas-Meerkat:37929/
[rosmaster.master][INFO] 2017-11-04 12:33:18,782: -PUB [/rosout] /base_laser1 http://mdas-Meerkat:43897/
[rosmaster.master][INFO] 2017-11-04 12:33:18,785: -SERVICE [/base_laser1/get_loggers] /base_laser1 rosrpc://mdas-Meerkat:39715
[rosmaster.master][INFO] 2017-11-04 12:33:18,788: -SERVICE [/base_laser1/set_logger_level] /base_laser1 rosrpc://mdas-Meerkat:39715
[rosmaster.master][INFO] 2017-11-04 12:33:18,878: publisherUpdate[/rosout] -> http://mdas-Meerkat:37929/
[rosmaster.master][INFO] 2017-11-04 12:33:18,933: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:38539/
[rosmaster.master][INFO] 2017-11-04 12:33:18,935: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:38539/
[rosmaster.master][INFO] 2017-11-04 12:33:18,936: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:38539/
[rosmaster.master][INFO] 2017-11-04 12:33:18,943: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:38539/
[rosmaster.master][INFO] 2017-11-04 12:33:18,946: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:38539/
[rosmaster.master][INFO] 2017-11-04 12:33:18,955: -PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:38539/
