[rosmaster.main][INFO] 2017-11-08 13:23:10,654: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-08 13:23:10,654: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-08 13:23:10,655: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-08 13:23:10,655: Started XML-RPC server [http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2017-11-08 13:23:10,655: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2017-11-08 13:23:10,655: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-08 13:23:10,683: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,684: +PARAM [/roslaunch/uris/host_mdas_meerkat__36437] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,738: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,739: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,739: +PARAM [/base_laser1/baud] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,739: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,739: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,739: +PARAM [/base_laser1/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,739: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,739: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,739: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,739: +PARAM [/base_laser1/resolution] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,739: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,739: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,739: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,739: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,739: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,739: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,739: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,739: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,739: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,739: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,740: +PARAM [/base_laser1/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,740: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,740: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:10,741: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:43661/
[rosmaster.master][INFO] 2017-11-08 13:23:10,742: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:43661/
[rosmaster.master][INFO] 2017-11-08 13:23:10,743: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:43661/
[rosmaster.master][INFO] 2017-11-08 13:23:10,752: +SUB [/rosout] /rosout http://mdas-Meerkat:43661/
[rosmaster.master][INFO] 2017-11-08 13:23:10,752: +PUB [/rosout] /base_laser1 http://mdas-Meerkat:46221/
[rosmaster.master][INFO] 2017-11-08 13:23:10,753: +SERVICE [/base_laser1/get_loggers] /base_laser1 http://mdas-Meerkat:46221/
[rosmaster.master][INFO] 2017-11-08 13:23:10,753: +SERVICE [/base_laser1/set_logger_level] /base_laser1 http://mdas-Meerkat:46221/
[rosmaster.master][INFO] 2017-11-08 13:23:10,755: publisherUpdate[/rosout] -> http://mdas-Meerkat:43661/
[rosmaster.master][INFO] 2017-11-08 13:23:10,759: +PUB [/rosout] /novatel_node http://mdas-Meerkat:39175/
[rosmaster.master][INFO] 2017-11-08 13:23:10,760: +PUB [/diagnostics] /base_laser1 http://mdas-Meerkat:46221/
[rosmaster.master][INFO] 2017-11-08 13:23:10,760: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:39175/
[rosmaster.master][INFO] 2017-11-08 13:23:10,761: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:39175/
[rosmaster.master][INFO] 2017-11-08 13:23:10,762: +PUB [/sensor_msgs/LaserScan] /base_laser1 http://mdas-Meerkat:46221/
[rosmaster.master][INFO] 2017-11-08 13:23:10,767: +PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:46573/
[rosmaster.master][INFO] 2017-11-08 13:23:10,768: +SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 http://mdas-Meerkat:46573/
[rosmaster.master][INFO] 2017-11-08 13:23:10,769: +SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 http://mdas-Meerkat:46573/
[rosmaster.master][INFO] 2017-11-08 13:23:10,778: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:39175/
[rosmaster.master][INFO] 2017-11-08 13:23:10,778: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:39175/
[rosmaster.master][INFO] 2017-11-08 13:23:10,779: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:39175/
[rosmaster.master][INFO] 2017-11-08 13:23:10,779: +PUB [/range] /novatel_node http://mdas-Meerkat:39175/
[rosmaster.master][INFO] 2017-11-08 13:23:10,780: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:39175/
[rosmaster.master][INFO] 2017-11-08 13:23:10,780: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:39175/
[rosmaster.master][INFO] 2017-11-08 13:23:10,814: +PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:46573/
[rosmaster.master][INFO] 2017-11-08 13:23:10,815: +PUB [/usb_cam_1/camera_info] /usb_cam_1 http://mdas-Meerkat:46573/
[rosmaster.master][INFO] 2017-11-08 13:23:10,824: +SERVICE [/usb_cam_1/set_camera_info] /usb_cam_1 http://mdas-Meerkat:46573/
[rosmaster.master][INFO] 2017-11-08 13:23:10,825: +SERVICE [/usb_cam_1/start_capture] /usb_cam_1 http://mdas-Meerkat:46573/
[rosmaster.master][INFO] 2017-11-08 13:23:10,825: +SERVICE [/usb_cam_1/stop_capture] /usb_cam_1 http://mdas-Meerkat:46573/
[rosmaster.master][INFO] 2017-11-08 13:23:10,856: publisherUpdate[/rosout] -> http://mdas-Meerkat:43661/
[rosmaster.master][INFO] 2017-11-08 13:23:10,857: publisherUpdate[/rosout] -> http://mdas-Meerkat:43661/
[rosmaster.master][INFO] 2017-11-08 13:23:10,962: -PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:46573/
[rosmaster.master][INFO] 2017-11-08 13:23:10,964: -PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:46573/
[rosmaster.master][INFO] 2017-11-08 13:23:10,966: -PUB [/usb_cam_1/camera_info] /usb_cam_1 http://mdas-Meerkat:46573/
[rosmaster.master][INFO] 2017-11-08 13:23:10,969: -SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 rosrpc://mdas-Meerkat:35527
[rosmaster.master][INFO] 2017-11-08 13:23:10,971: -SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 rosrpc://mdas-Meerkat:35527
[rosmaster.master][INFO] 2017-11-08 13:23:10,973: -SERVICE [/usb_cam_1/set_camera_info] /usb_cam_1 rosrpc://mdas-Meerkat:35527
[rosmaster.master][INFO] 2017-11-08 13:23:10,976: -SERVICE [/usb_cam_1/start_capture] /usb_cam_1 rosrpc://mdas-Meerkat:35527
[rosmaster.master][INFO] 2017-11-08 13:23:10,978: -SERVICE [/usb_cam_1/stop_capture] /usb_cam_1 rosrpc://mdas-Meerkat:35527
[rosmaster.master][INFO] 2017-11-08 13:23:11,057: publisherUpdate[/rosout] -> http://mdas-Meerkat:43661/
[rosmaster.master][INFO] 2017-11-08 13:23:19,994: +PARAM [/roslaunch/uris/host_mdas_meerkat__37397] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:19,996: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:19,996: +PARAM [/usb_cam_1/video_device] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:19,996: +PARAM [/usb_cam_1/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:19,996: +PARAM [/usb_cam_1/image_width] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:19,997: +PARAM [/usb_cam_1/io_method] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:19,997: +PARAM [/usb_cam_1/framerate] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:19,997: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:19,997: +PARAM [/usb_cam_1/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:19,997: +PARAM [/usb_cam_1/image_height] by /roslaunch
[rosmaster.master][INFO] 2017-11-08 13:23:20,058: +PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:39139/
[rosmaster.master][INFO] 2017-11-08 13:23:20,059: +SERVICE [/usb_cam_1/get_loggers] /usb_cam_1 http://mdas-Meerkat:39139/
[rosmaster.master][INFO] 2017-11-08 13:23:20,060: +SERVICE [/usb_cam_1/set_logger_level] /usb_cam_1 http://mdas-Meerkat:39139/
[rosmaster.master][INFO] 2017-11-08 13:23:20,072: publisherUpdate[/rosout] -> http://mdas-Meerkat:43661/
[rosmaster.master][INFO] 2017-11-08 13:23:20,103: +PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:39139/
[rosmaster.master][INFO] 2017-11-08 13:23:20,104: +PUB [/usb_cam_1/camera_info] /usb_cam_1 http://mdas-Meerkat:39139/
[rosmaster.master][INFO] 2017-11-08 13:23:20,113: +SERVICE [/usb_cam_1/set_camera_info] /usb_cam_1 http://mdas-Meerkat:39139/
[rosmaster.master][INFO] 2017-11-08 13:23:20,113: +SERVICE [/usb_cam_1/start_capture] /usb_cam_1 http://mdas-Meerkat:39139/
[rosmaster.master][INFO] 2017-11-08 13:23:20,113: +SERVICE [/usb_cam_1/stop_capture] /usb_cam_1 http://mdas-Meerkat:39139/
[rosmaster.master][INFO] 2017-11-08 13:23:20,174: -PUB [/rosout] /usb_cam_1 http://mdas-Meerkat:39139/
[rosmaster.master][INFO] 2017-11-08 13:23:20,174: publisherUpdate[/rosout] -> http://mdas-Meerkat:43661/
[rosmaster.master][INFO] 2017-11-08 13:23:20,175: -PUB [/usb_cam_1/image_raw] /usb_cam_1 http://mdas-Meerkat:39139/
