[rosmaster.main][INFO] 2018-07-06 12:44:41,865: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2018-07-06 12:44:41,865: Starting ROS Master Node
[xmlrpc][INFO] 2018-07-06 12:44:41,866: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2018-07-06 12:44:41,866: Started XML-RPC server [http://mdas-Meerkat:11311/]
[xmlrpc][INFO] 2018-07-06 12:44:41,866: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2018-07-06 12:44:41,866: Master initialized: port[11311], uri[http://mdas-Meerkat:11311/]
[rosmaster.master][INFO] 2018-07-06 12:44:41,894: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:44:41,894: +PARAM [/roslaunch/uris/host_mdas_meerkat__45765] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:44:41,949: +PARAM [/novatel_node/psrpos_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:44:41,949: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:44:41,949: +PARAM [/novatel_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:44:41,949: +PARAM [/novatel_node/log_commands] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:44:41,949: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:44:41,949: +PARAM [/novatel_node/psrpos_topic] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:44:41,949: +PARAM [/novatel_node/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:44:41,950: +PARAM [/novatel_node/port] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:44:41,950: +PARAM [/novatel_node/span_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:44:41,950: +PARAM [/novatel_node/ephem_log] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:44:41,950: +PARAM [/novatel_node/range_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:44:41,950: +PARAM [/novatel_node/gps_default_logs_period] by /roslaunch
[rosmaster.master][INFO] 2018-07-06 12:44:41,953: +SERVICE [/rosout/get_loggers] /rosout http://mdas-Meerkat:45911/
[rosmaster.master][INFO] 2018-07-06 12:44:41,953: +SERVICE [/rosout/set_logger_level] /rosout http://mdas-Meerkat:45911/
[rosmaster.master][INFO] 2018-07-06 12:44:41,954: +PUB [/rosout_agg] /rosout http://mdas-Meerkat:45911/
[rosmaster.master][INFO] 2018-07-06 12:44:41,958: +SUB [/rosout] /rosout http://mdas-Meerkat:45911/
[rosmaster.master][INFO] 2018-07-06 12:44:41,961: +PUB [/rosout] /novatel_node http://mdas-Meerkat:45845/
[rosmaster.master][INFO] 2018-07-06 12:44:41,961: +SERVICE [/novatel_node/get_loggers] /novatel_node http://mdas-Meerkat:45845/
[rosmaster.master][INFO] 2018-07-06 12:44:41,962: +SERVICE [/novatel_node/set_logger_level] /novatel_node http://mdas-Meerkat:45845/
[rosmaster.master][INFO] 2018-07-06 12:44:41,965: publisherUpdate[/rosout] -> http://mdas-Meerkat:45911/
[rosmaster.master][INFO] 2018-07-06 12:44:41,972: +PUB [/gps_odom] /novatel_node http://mdas-Meerkat:45845/
[rosmaster.master][INFO] 2018-07-06 12:44:41,972: +PUB [/gps_fix] /novatel_node http://mdas-Meerkat:45845/
[rosmaster.master][INFO] 2018-07-06 12:44:41,973: +PUB [/ephemeris] /novatel_node http://mdas-Meerkat:45845/
[rosmaster.master][INFO] 2018-07-06 12:44:41,973: +PUB [/range] /novatel_node http://mdas-Meerkat:45845/
[rosmaster.master][INFO] 2018-07-06 12:44:41,973: +PUB [/gps_fix_psr] /novatel_node http://mdas-Meerkat:45845/
[rosmaster.master][INFO] 2018-07-06 12:44:41,974: +PUB [/novatel_node/gps_fix_ecef] /novatel_node http://mdas-Meerkat:45845/
[rosmaster.master][INFO] 2018-07-06 12:45:19,382: +PUB [/rosout] /rostopic_3517_1530895519256 http://mdas-Meerkat:44995/
[rosmaster.master][INFO] 2018-07-06 12:45:19,383: publisherUpdate[/rosout] -> http://mdas-Meerkat:45911/
[rosmaster.master][INFO] 2018-07-06 12:45:19,394: +SERVICE [/rostopic_3517_1530895519256/get_loggers] /rostopic_3517_1530895519256 http://mdas-Meerkat:44995/
